23867462,Jan/15/2017 23:03,Momentum,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,1900 KB,2017-01-15 23:03:00
23902823,Jan/17/2017 16:25,qitiany,755D - PolandBall and Polygon,MS C++,Accepted,763 ms,2000 KB,2017-01-17 16:25:00
23852802,Jan/15/2017 20:29,linpaws,755D - PolandBall and Polygon,GNU C++,Accepted,701 ms,2000 KB,2017-01-15 20:29:00
23861061,Jan/15/2017 21:23,WoodcutKnife,755D - PolandBall and Polygon,GNU C++11,Accepted,374 ms,1800 KB,2017-01-15 21:23:00
23996340,Jan/20/2017 21:48,gs12117,755D - PolandBall and Polygon,GNU C++11,Accepted,358 ms,1900 KB,2017-01-20 21:48:00
23858392,Jan/15/2017 20:59,tomlau,755D - PolandBall and Polygon,GNU C++14,Accepted,312 ms,1800 KB,2017-01-15 20:59:00
23859957,Jan/15/2017 21:12,Skand,755D - PolandBall and Polygon,Python 2,Accepted,951 ms,86800 KB,2017-01-15 21:12:00
23923760,Jan/18/2017 16:57,hardik_iitr,755D - PolandBall and Polygon,GNU C++14,Accepted,577 ms,1900 KB,2017-01-18 16:57:00
23864853,Jan/15/2017 22:00,SpeedCuber,755D - PolandBall and Polygon,GNU C++11,Accepted,795 ms,2000 KB,2017-01-15 22:00:00
23870806,Jan/16/2017 04:27,abdullayev.ahror97,755D - PolandBall and Polygon,GNU C++,Accepted,685 ms,2000 KB,2017-01-16 04:27:00
23892031,Jan/17/2017 03:06,rop,755D - PolandBall and Polygon,GNU C++11,Accepted,764 ms,2000 KB,2017-01-17 03:06:00
23879098,Jan/16/2017 13:13,maheshwarishubh98,755D - PolandBall and Polygon,GNU C++14,Accepted,295 ms,1900 KB,2017-01-16 13:13:00
29709236,Aug/23/2017 16:58,Eva,755D - PolandBall and Polygon,JavaScript,Accepted,576 ms,83600 KB,2017-08-23 16:58:00
62542051,Oct/14/2019 07:10,Evrik,755D - PolandBall and Polygon,GNU C++17,Accepted,326 ms,0 KB,2019-10-14 07:10:00
24107401,Jan/25/2017 11:30,ljz,755D - PolandBall and Polygon,GNU C++,Accepted,1154 ms,2000 KB,2017-01-25 11:30:00
23889175,Jan/16/2017 22:03,ice_tea,755D - PolandBall and Polygon,FPC,Accepted,2402 ms,1600 KB,2017-01-16 22:03:00
27307828,May/23/2017 22:42,The_Winners#,755D - PolandBall and Polygon,FPC,Accepted,1949 ms,0 KB,2017-05-23 22:42:00
23864018,Jan/15/2017 21:53,longhuenchan,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,2000 KB,2017-01-15 21:53:00
32981231,Dec/06/2017 19:08,dionysios,755D - PolandBall and Polygon,GNU C++14,Accepted,296 ms,1800 KB,2017-12-06 19:08:00
23858210,Jan/15/2017 20:58,linkret,755D - PolandBall and Polygon,GNU C++11,Accepted,717 ms,2000 KB,2017-01-15 20:58:00
24001301,Jan/21/2017 05:51,Vishal_Kumar9,755D - PolandBall and Polygon,GNU C++11,Accepted,935 ms,2000 KB,2017-01-21 05:51:00
