43603909,Sep/30/2018 14:25,luogu_bot2,10D - LCIS,GNU C++11,Accepted,46 ms,0 KB,2018-09-30 14:25:00
54264058,May/17/2019 07:32,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,200 KB,2019-05-17 07:32:00
38427709,May/19/2018 13:49,G_Y_R,10D - LCIS,GNU C++,Accepted,30 ms,0 KB,2018-05-19 13:49:00
45235564,Nov/03/2018 12:05,fsy2017,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-11-03 12:05:00
65159375,Nov/16/2019 13:42,luogu_bot5,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-11-16 13:42:00
49494075,Feb/05/2019 14:52,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,15800 KB,2019-02-05 14:52:00
10029516,Feb/26/2015 10:53,xxxyyyzzz,10D - LCIS,GNU C++0x,Accepted,30 ms,100 KB,2015-02-26 10:53:00
44524408,Oct/19/2018 03:23,yugao,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-19 03:23:00
44182835,Oct/12/2018 15:03,jacky0705,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-12 15:03:00
70162665,Feb/03/2020 18:40,luogu_bot5,10D - LCIS,GNU C++11,Accepted,46 ms,7900 KB,2020-02-03 18:40:00
7275686,Jul/28/2014 12:28,Cr0wley,10D - LCIS,GNU C++,Accepted,60 ms,0 KB,2014-07-28 12:28:00
57882506,Jul/28/2019 11:26,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 11:26:00
44182713,Oct/12/2018 15:00,jacky0705,10D - LCIS,MS C++,Accepted,46 ms,300 KB,2018-10-12 15:00:00
57291566,Jul/18/2019 19:58,Kylin_,10D - LCIS,GNU C++11,Accepted,31 ms,15500 KB,2019-07-18 19:58:00
49075905,Jan/28/2019 05:58,luogu_bot2,10D - LCIS,GNU C++11,Accepted,46 ms,2000 KB,2019-01-28 05:58:00
49080401,Jan/28/2019 08:55,luogu_bot4,10D - LCIS,GNU C++11,Accepted,46 ms,2000 KB,2019-01-28 08:55:00
71740568,Feb/24/2020 06:06,luogu_bot5,10D - LCIS,GNU C++11,Accepted,46 ms,0 KB,2020-02-24 06:06:00
4758427,Oct/12/2013 17:18,Akzhol,10D - LCIS,GNU C++,Accepted,60 ms,0 KB,2013-10-12 17:18:00
4758428,Oct/12/2013 17:18,Akzhol,10D - LCIS,GNU C++,Accepted,60 ms,0 KB,2013-10-12 17:18:00
65698782,Nov/25/2019 12:43,RealFreddy,10D - LCIS,GNU C++11,Accepted,31 ms,100 KB,2019-11-25 12:43:00
44899622,Oct/26/2018 11:28,luogu_bot4,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2018-10-26 11:28:00
44354383,Oct/15/2018 14:46,Stump,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2018-10-15 14:46:00
44319615,Oct/14/2018 16:47,luogu_bot4,10D - LCIS,GNU C++11,Accepted,46 ms,0 KB,2018-10-14 16:47:00
75523904,Apr/05/2020 01:32,see_sha_2000,10D - LCIS,GNU C++17,Accepted,31 ms,300 KB,2020-04-05 01:32:00
51405678,Mar/17/2019 12:42,jrcd,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-03-17 12:42:00
53006539,Apr/19/2019 12:52,luogu_bot2,10D - LCIS,GNU C++11,Accepted,31 ms,2000 KB,2019-04-19 12:52:00
61059782,Sep/22/2019 12:09,G_A_TS,10D - LCIS,GNU C++11,Accepted,31 ms,0 KB,2019-09-22 12:09:00
57890359,Jul/28/2019 14:36,luogu_bot1,10D - LCIS,GNU C++11,Accepted,31 ms,4900 KB,2019-07-28 14:36:00
2695283,Dec/04/2012 23:03,chert1,10D - LCIS,GNU C++,Accepted,31 ms,0 KB,2012-12-04 23:03:00
