31791241,Oct/27/2017 13:14,vaibhav711,875D - High Cry,GNU C++14,Accepted,421 ms,12700 KB,2017-10-27 13:14:00
50639782,Mar/01/2019 16:26,xielinhan,875D - High Cry,GNU C++11,Accepted,93 ms,65000 KB,2019-03-01 16:26:00
31446897,Oct/17/2017 14:47,orz010orz,876F - High Cry,GNU C++14,Accepted,77 ms,5800 KB,2017-10-17 14:47:00
32111247,Nov/07/2017 09:44,0c.c0,875D - High Cry,GNU C++11,Accepted,140 ms,58500 KB,2017-11-07 09:44:00
31407822,Oct/16/2017 15:34,lsonan,876F - High Cry,GNU C++,Accepted,265 ms,10700 KB,2017-10-16 15:34:00
31491543,Oct/18/2017 22:11,abhaygupta97,875D - High Cry,GNU C++14,Accepted,62 ms,2700 KB,2017-10-18 22:11:00
31530423,Oct/20/2017 14:06,Mithrandir_14,875D - High Cry,GNU C++14,Accepted,93 ms,6700 KB,2017-10-20 14:06:00
31946725,Nov/01/2017 13:57,txingml,876F - High Cry,GNU C++11,Accepted,46 ms,2500 KB,2017-11-01 13:57:00
31416330,Oct/16/2017 18:25,binsjl,876F - High Cry,GNU C++11,Accepted,202 ms,13800 KB,2017-10-16 18:25:00
63768678,Oct/30/2019 10:09,lenaAlyth#,875D - High Cry,GNU C++11,Accepted,452 ms,25800 KB,2019-10-30 10:09:00
31401274,Oct/16/2017 14:53,C.Edward,876F - High Cry,GNU C++,Accepted,202 ms,10900 KB,2017-10-16 14:53:00
72217180,Mar/01/2020 23:59,vjudge2,876F - High Cry,GNU C++11,Accepted,265 ms,8700 KB,2020-03-01 23:59:00
31436820,Oct/17/2017 05:44,dqhungdl,876F - High Cry,GNU C++11,Accepted,156 ms,6700 KB,2017-10-17 05:44:00
31606540,Oct/22/2017 17:27,Fedya001,876F - High Cry,GNU C++,Accepted,202 ms,11500 KB,2017-10-22 17:27:00
31465381,Oct/18/2017 02:54,vjudge1,875D - High Cry,GNU C++,Accepted,62 ms,4400 KB,2017-10-18 02:54:00
73868049,Mar/21/2020 11:47,CaiJiZXY,876F - High Cry,GNU C++11,Accepted,280 ms,8700 KB,2020-03-21 11:47:00
31488659,Oct/18/2017 20:11,kataki,876F - High Cry,GNU C++14,Accepted,420 ms,6100 KB,2017-10-18 20:11:00
33885493,Jan/03/2018 16:24,wym6912,876F - High Cry,GNU C++,Accepted,156 ms,60500 KB,2018-01-03 16:24:00
