36750993,Mar/30/2018 18:08,CaNDidaTE_FaSTer,367B - Sereja ans Anagrams,GNU C++,Accepted,686 ms,16800 KB,2018-03-30 18:08:00
14557777,Nov/29/2015 15:29,vjudge2,368D - Sereja ans Anagrams,GNU C++,Accepted,93 ms,4500 KB,2015-11-29 15:29:00
53642054,May/01/2019 20:02,jdh,367B - Sereja ans Anagrams,GNU C++17,Accepted,171 ms,12400 KB,2019-05-01 20:02:00
14858839,Dec/18/2015 12:50,vanogam,367B - Sereja ans Anagrams,GNU C++11,Accepted,234 ms,10100 KB,2015-12-18 12:50:00
13280319,Sep/28/2015 17:33,Deemo,367B - Sereja ans Anagrams,GNU C++11,Accepted,312 ms,13300 KB,2015-09-28 17:33:00
25360308,Mar/09/2017 16:00,vjudge3,367B - Sereja ans Anagrams,GNU C++,Accepted,312 ms,16100 KB,2017-03-09 16:00:00
34786677,Feb/01/2018 05:46,kataki,367B - Sereja ans Anagrams,GNU C++14,Accepted,327 ms,16100 KB,2018-02-01 05:46:00
25373433,Mar/10/2017 09:10,vjudge4,367B - Sereja ans Anagrams,GNU C++,Accepted,233 ms,16100 KB,2017-03-10 09:10:00
7916205,Sep/23/2014 08:36,Valaky,367B - Sereja ans Anagrams,GNU C++,Accepted,358 ms,27600 KB,2014-09-23 08:36:00
5249014,Nov/26/2013 20:03,squarefk,367B - Sereja ans Anagrams,GNU C++,Accepted,468 ms,13500 KB,2013-11-26 20:03:00
25361488,Mar/09/2017 16:53,vjudge1,367B - Sereja ans Anagrams,GNU C++,Accepted,265 ms,26400 KB,2017-03-09 16:53:00
27838218,Jun/17/2017 08:22,knayam_sharma,367B - Sereja ans Anagrams,GNU C++11,Accepted,436 ms,14900 KB,2017-06-17 08:22:00
20039685,Aug/22/2016 09:22,Prateek1996,367B - Sereja ans Anagrams,GNU C++11,Accepted,405 ms,20900 KB,2016-08-22 09:22:00
42022354,Aug/24/2018 12:57,shishirsharad,367B - Sereja ans Anagrams,GNU C++11,Accepted,499 ms,10400 KB,2018-08-24 12:57:00
44073264,Oct/10/2018 15:19,vjudge1,368D - Sereja ans Anagrams,GNU C++14,Accepted,452 ms,13500 KB,2018-10-10 15:19:00
60007015,Sep/04/2019 13:43,Chjwisj,367B - Sereja ans Anagrams,GNU C++11,Accepted,218 ms,58800 KB,2019-09-04 13:43:00
10365843,Mar/20/2015 15:04,vjudge2,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,14200 KB,2015-03-20 15:04:00
21958937,Nov/01/2016 09:51,Georeth,367B - Sereja ans Anagrams,GNU C++14,Accepted,998 ms,7000 KB,2016-11-01 09:51:00
15190253,Jan/05/2016 13:55,shubhamgoyal__,367B - Sereja ans Anagrams,GNU C++11,Accepted,421 ms,18900 KB,2016-01-05 13:55:00
5403447,Dec/10/2013 17:26,reink,367B - Sereja ans Anagrams,GNU C++,Accepted,561 ms,13800 KB,2013-12-10 17:26:00
5403457,Dec/10/2013 17:27,reink,367B - Sereja ans Anagrams,GNU C++,Accepted,483 ms,13800 KB,2013-12-10 17:27:00
25469610,Mar/14/2017 12:44,fenozipam,368D - Sereja ans Anagrams,Python 3,Accepted,763 ms,31800 KB,2017-03-14 12:44:00
17075418,Mar/31/2016 17:00,vjudge1,368D - Sereja ans Anagrams,GNU C++,Accepted,249 ms,15300 KB,2016-03-31 17:00:00
28359302,Jul/08/2017 05:14,vjudge2,368D - Sereja ans Anagrams,GNU C++,Accepted,389 ms,15400 KB,2017-07-08 05:14:00
18127714,May/28/2016 10:38,vjudge3,368D - Sereja ans Anagrams,GNU C++,Accepted,249 ms,16400 KB,2016-05-28 10:38:00
28358852,Jul/08/2017 04:26,wust_Lee,368D - Sereja ans Anagrams,GNU C++11,Accepted,358 ms,26300 KB,2017-07-08 04:26:00
27786426,Jun/15/2017 08:11,WhitePaper,367B - Sereja ans Anagrams,GNU C++14,Accepted,452 ms,13400 KB,2017-06-15 08:11:00
5260766,Nov/26/2013 22:49,yxdb,367B - Sereja ans Anagrams,GNU C++,Accepted,171 ms,7600 KB,2013-11-26 22:49:00
17083002,Apr/01/2016 03:27,vjudge4,368D - Sereja ans Anagrams,GNU C++,Accepted,265 ms,15400 KB,2016-04-01 03:27:00
28362117,Jul/08/2017 09:22,vjudge1,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,15400 KB,2017-07-08 09:22:00
25361453,Mar/09/2017 16:51,statusrank,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,26300 KB,2017-03-09 16:51:00
18128160,May/28/2016 11:12,vjudge4,368D - Sereja ans Anagrams,GNU C++,Accepted,436 ms,15300 KB,2016-05-28 11:12:00
58228227,Aug/03/2019 18:27,sabuj073,367B - Sereja ans Anagrams,GNU C++11,Accepted,218 ms,24300 KB,2019-08-03 18:27:00
5267564,Nov/27/2013 07:22,lanmao,368D - Sereja ans Anagrams,GNU C++0x,Accepted,436 ms,8000 KB,2013-11-27 07:22:00
5259445,Nov/26/2013 22:03,brainomega,368D - Sereja ans Anagrams,GNU C++,Accepted,468 ms,8000 KB,2013-11-26 22:03:00
5294028,Nov/29/2013 17:41,ayakut,367B - Sereja ans Anagrams,GNU C++,Accepted,343 ms,12700 KB,2013-11-29 17:41:00
28361880,Jul/08/2017 09:06,vjudge1,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,15400 KB,2017-07-08 09:06:00
44087595,Oct/10/2018 20:33,kzvd4729,368D - Sereja ans Anagrams,GNU C++14,Accepted,436 ms,13500 KB,2018-10-10 20:33:00
64148531,Nov/03/2019 13:40,kzvd4729,367B - Sereja ans Anagrams,GNU C++11,Accepted,546 ms,13400 KB,2019-11-03 13:40:00
7367161,Aug/07/2014 16:45,vjudge2,367B - Sereja ans Anagrams,GNU C++,Accepted,327 ms,7900 KB,2014-08-07 16:45:00
23810512,Jan/14/2017 19:32,vjudge3,367B - Sereja ans Anagrams,GNU C++11,Accepted,577 ms,15400 KB,2017-01-14 19:32:00
5248856,Nov/26/2013 20:02,Cypi,367B - Sereja ans Anagrams,Python 2,Accepted,608 ms,26300 KB,2013-11-26 20:02:00
5472351,Dec/19/2013 08:06,hliu20,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,13500 KB,2013-12-19 08:06:00
65564076,Nov/23/2019 07:57,JCC_,367B - Sereja ans Anagrams,GNU C++11,Accepted,468 ms,13400 KB,2019-11-23 07:57:00
23810525,Jan/14/2017 19:33,Shayan,367B - Sereja ans Anagrams,GNU C++11,Accepted,763 ms,15400 KB,2017-01-14 19:33:00
77613422,Apr/22/2020 09:43,palsoumyadeep,367B - Sereja ans Anagrams,GNU C++17,Accepted,966 ms,16700 KB,2020-04-22 09:43:00
5260194,Nov/26/2013 22:23,PSDEV,367B - Sereja ans Anagrams,GNU C++,Accepted,374 ms,13500 KB,2013-11-26 22:23:00
7654706,Aug/31/2014 17:59,rxdoi,367B - Sereja ans Anagrams,GNU C++,Accepted,187 ms,14900 KB,2014-08-31 17:59:00
18129418,May/28/2016 12:28,Ice_Cream,368D - Sereja ans Anagrams,GNU C++11,Accepted,358 ms,15300 KB,2016-05-28 12:28:00
5247628,Nov/26/2013 19:52,Ra16bit,367B - Sereja ans Anagrams,GNU C++,Accepted,327 ms,13500 KB,2013-11-26 19:52:00
42125257,Aug/26/2018 17:45,Mk_Python_v1,367B - Sereja ans Anagrams,Python 3,Accepted,841 ms,26500 KB,2018-08-26 17:45:00
17075363,Mar/31/2016 16:58,vjudge4,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,15300 KB,2016-03-31 16:58:00
7344482,Aug/04/2014 16:00,delta_4d,367B - Sereja ans Anagrams,GNU C++0x,Accepted,140 ms,5800 KB,2014-08-04 16:00:00
67654391,Dec/26/2019 16:22,shenky,368D - Sereja ans Anagrams,GNU C++14,Accepted,249 ms,13500 KB,2019-12-26 16:22:00
5290679,Nov/29/2013 05:23,oilover,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,23700 KB,2013-11-29 05:23:00
5260063,Nov/26/2013 22:19,heike520,368D - Sereja ans Anagrams,GNU C++,Accepted,655 ms,18200 KB,2013-11-26 22:19:00
17083033,Apr/01/2016 03:36,vjudge1,368D - Sereja ans Anagrams,GNU C++,Accepted,264 ms,15300 KB,2016-04-01 03:36:00
24605349,Feb/12/2017 12:33,vjudge3,367B - Sereja ans Anagrams,GNU C++,Accepted,233 ms,16200 KB,2017-02-12 12:33:00
42296246,Aug/31/2018 06:25,thebes,367B - Sereja ans Anagrams,GNU C++14,Accepted,374 ms,16100 KB,2018-08-31 06:25:00
17083024,Apr/01/2016 03:34,vjudge1,368D - Sereja ans Anagrams,GNU C++,Accepted,249 ms,15400 KB,2016-04-01 03:34:00
16607933,Mar/08/2016 23:02,arnabsamanta,367B - Sereja ans Anagrams,GNU C++11,Accepted,234 ms,12800 KB,2016-03-08 23:02:00
5285589,Nov/28/2013 14:20,HekpoMaH,368D - Sereja ans Anagrams,GNU C++,Accepted,577 ms,13500 KB,2013-11-28 14:20:00
17183574,Apr/06/2016 12:49,vjudge4,367B - Sereja ans Anagrams,GNU C++,Accepted,249 ms,16900 KB,2016-04-06 12:49:00
5290736,Nov/29/2013 05:44,oilover,367B - Sereja ans Anagrams,GNU C++,Accepted,234 ms,13500 KB,2013-11-29 05:44:00
11133257,May/18/2015 12:33,vjudge5,367B - Sereja ans Anagrams,GNU C++,Accepted,295 ms,17900 KB,2015-05-18 12:33:00
