36990994,Apr/05/2018 10:41,brightsompong,190D - Non-Secret Cypher,GNU C++11,Accepted,778 ms,17600 KB,2018-04-05 10:41:00
33990165,Jan/07/2018 22:54,Bassel,190D - Non-Secret Cypher,GNU C++14,Accepted,748 ms,27200 KB,2018-01-07 22:54:00
25573995,Mar/17/2017 16:38,riverm,190D - Non-Secret Cypher,GNU C++14,Accepted,2120 ms,20800 KB,2017-03-17 16:38:00
25376130,Mar/10/2017 12:49,rawr,190D - Non-Secret Cypher,GNU C++14,Accepted,560 ms,20000 KB,2017-03-10 12:49:00
58871011,Aug/15/2019 18:26,JustForRating007,190D - Non-Secret Cypher,GNU C++14,Accepted,1590 ms,16500 KB,2019-08-15 18:26:00
12275032,Jul/30/2015 15:21,anh1l1ator,190D - Non-Secret Cypher,GNU C++11,Accepted,2370 ms,14200 KB,2015-07-30 15:21:00
1696436,May/17/2012 04:49,natsugiri,190D - Non-Secret Cypher,GNU C++,Accepted,670 ms,15500 KB,2012-05-17 04:49:00
10781734,Apr/19/2015 16:09,mindbeats,190D - Non-Secret Cypher,GNU C++,Accepted,2276 ms,16200 KB,2015-04-19 16:09:00
56784895,Jul/10/2019 10:56,vjudge2,190D - Non-Secret Cypher,MS C++,Accepted,1464 ms,14200 KB,2019-07-10 10:56:00
61924001,Oct/05/2019 17:03,56476,190D - Non-Secret Cypher,MS C++ 2017,Accepted,1590 ms,14100 KB,2019-10-05 17:03:00
28649640,Jul/18/2017 00:54,abdulla.ashraf,190D - Non-Secret Cypher,GNU C++14,Accepted,2370 ms,16200 KB,2017-07-18 00:54:00
1851607,Jul/03/2012 17:21,vjudge2,190D - Non-Secret Cypher,GNU C++,Accepted,1000 ms,15900 KB,2012-07-03 17:21:00
16386519,Feb/27/2016 18:57,phamminh91,190D - Non-Secret Cypher,GNU C++11,Accepted,686 ms,14100 KB,2016-02-27 18:57:00
39056588,Jun/09/2018 02:46,vjudge3,190D - Non-Secret Cypher,GNU C++17,Accepted,842 ms,14300 KB,2018-06-09 02:46:00
21472947,Oct/16/2016 09:36,gaporf,190D - Non-Secret Cypher,GNU C++14,Accepted,902 ms,20800 KB,2016-10-16 09:36:00
6002671,Mar/12/2014 15:44,synapse,190D - Non-Secret Cypher,GNU C++,Accepted,560 ms,14300 KB,2014-03-12 15:44:00
56811008,Jul/10/2019 19:07,vjudge1,190D - Non-Secret Cypher,MS C++,Accepted,716 ms,14200 KB,2019-07-10 19:07:00
79472811,May/09/2020 17:26,tomastomov,190D - Non-Secret Cypher,GNU C++14,Accepted,1932 ms,17900 KB,2020-05-09 17:26:00
9345249,Jan/02/2015 13:36,nikola12345,190D - Non-Secret Cypher,GNU C++0x,Accepted,1932 ms,50300 KB,2015-01-02 13:36:00
12579390,Aug/17/2015 21:26,nishanthvydana,190D - Non-Secret Cypher,GNU C++,Accepted,2338 ms,14200 KB,2015-08-17 21:26:00
16520776,Mar/04/2016 21:03,backPacker,190D - Non-Secret Cypher,GNU C++11,Accepted,686 ms,14200 KB,2016-03-04 21:03:00
