59565830,Aug/27/2019 13:40,ryan10bansal,863D - Yet Another Array Queries Problem,GNU C++17,Accepted,1060 ms,3100 KB,2019-08-27 13:40:00
30588912,Sep/21/2017 19:02,cthbst,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,280 ms,3900 KB,2017-09-21 19:02:00
40690486,Jul/24/2018 08:37,HuiBing,863D - Yet Another Array Queries Problem,GNU C++17,Accepted,312 ms,3100 KB,2018-07-24 08:37:00
30603880,Sep/22/2017 04:45,Willix,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,249 ms,3100 KB,2017-09-22 04:45:00
30911557,Oct/01/2017 17:33,Fuko_Ibuki,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,280 ms,3900 KB,2017-10-01 17:33:00
35757241,Feb/27/2018 12:42,Fuko_Ibuki,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,530 ms,5900 KB,2018-02-27 12:42:00
30689397,Sep/24/2017 22:47,WhiteFantasy#,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1481 ms,15700 KB,2017-09-24 22:47:00
30585999,Sep/21/2017 18:36,Toxel,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,233 ms,3100 KB,2017-09-21 18:36:00
30608327,Sep/22/2017 10:34,voxel,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,312 ms,3100 KB,2017-09-22 10:34:00
32042348,Nov/04/2017 07:45,vjudge2,863D - Yet Another Array Queries Problem,GNU C++,Accepted,514 ms,3900 KB,2017-11-04 07:45:00
30609514,Sep/22/2017 11:40,saumyadip,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,1169 ms,3100 KB,2017-09-22 11:40:00
30795709,Sep/28/2017 08:44,89991807,863D - Yet Another Array Queries Problem,GNU C++,Accepted,218 ms,3000 KB,2017-09-28 08:44:00
31937542,Nov/01/2017 06:48,DeaphetS#,863D - Yet Another Array Queries Problem,GNU C++,Accepted,249 ms,3100 KB,2017-11-01 06:48:00
32973585,Dec/06/2017 14:29,Jiburiru,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1575 ms,5900 KB,2017-12-06 14:29:00
41195614,Aug/04/2018 03:39,luogu_bot2,863D - Yet Another Array Queries Problem,GNU C++,Accepted,1481 ms,3200 KB,2018-08-04 03:39:00
32132633,Nov/08/2017 03:38,D_XF,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,218 ms,3100 KB,2017-11-08 03:38:00
39877875,Jul/02/2018 23:08,aeternalis1,863D - Yet Another Array Queries Problem,PyPy 2,Accepted,1404 ms,16400 KB,2018-07-02 23:08:00
40468620,Jul/17/2018 11:00,haiwenhan.IterType,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,1497 ms,3100 KB,2018-07-17 11:00:00
32071405,Nov/05/2017 11:43,AMnu,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,295 ms,3100 KB,2017-11-05 11:43:00
63104138,Oct/22/2019 06:19,He_Ren,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,217 ms,3000 KB,2019-10-22 06:19:00
41153456,Aug/03/2018 13:27,luogu_bot2,863D - Yet Another Array Queries Problem,GNU C++,Accepted,218 ms,3100 KB,2018-08-03 13:27:00
30625454,Sep/22/2017 23:52,RompeElAlba,863D - Yet Another Array Queries Problem,PyPy 2,Accepted,1310 ms,23000 KB,2017-09-22 23:52:00
32047885,Nov/04/2017 12:30,Warawreh,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,280 ms,3100 KB,2017-11-04 12:30:00
30901511,Oct/01/2017 10:19,fanyining#,863D - Yet Another Array Queries Problem,GNU C++,Accepted,234 ms,3900 KB,2017-10-01 10:19:00
30589453,Sep/21/2017 19:08,LeSoleil,863D - Yet Another Array Queries Problem,GNU C++,Accepted,202 ms,2900 KB,2017-09-21 19:08:00
30630121,Sep/23/2017 07:46,bi11a1,863D - Yet Another Array Queries Problem,GNU C++,Accepted,233 ms,3100 KB,2017-09-23 07:46:00
30591573,Sep/21/2017 19:32,Yuri123581321,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,218 ms,3100 KB,2017-09-21 19:32:00
65735250,Nov/26/2019 10:27,JCC_,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,202 ms,3000 KB,2019-11-26 10:27:00
30594448,Sep/21/2017 20:11,wxz97121,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,592 ms,3100 KB,2017-09-21 20:11:00
31215350,Oct/11/2017 15:01,dllp,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,233 ms,3100 KB,2017-10-11 15:01:00
31056414,Oct/06/2017 09:39,lintanxi,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,280 ms,3100 KB,2017-10-06 09:39:00
35811968,Mar/01/2018 16:08,Neymars,863D - Yet Another Array Queries Problem,GNU C++,Accepted,218 ms,5000 KB,2018-03-01 16:08:00
48872636,Jan/24/2019 09:45,dongshunyao,863D - Yet Another Array Queries Problem,GNU C++17,Accepted,311 ms,3400 KB,2019-01-24 09:45:00
30634226,Sep/23/2017 10:31,njuwz15,863D - Yet Another Array Queries Problem,GNU C++11,Accepted,218 ms,3100 KB,2017-09-23 10:31:00
72129726,Mar/01/2020 06:17,wzh520wzh,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,296 ms,3900 KB,2020-03-01 06:17:00
30762761,Sep/26/2017 23:17,cxrost,863D - Yet Another Array Queries Problem,FPC,Accepted,327 ms,3100 KB,2017-09-26 23:17:00
31446240,Oct/17/2017 14:28,Scut82,863D - Yet Another Array Queries Problem,GNU C++,Accepted,1513 ms,5200 KB,2017-10-17 14:28:00
30588129,Sep/21/2017 18:55,guille,863D - Yet Another Array Queries Problem,GNU C++,Accepted,623 ms,15700 KB,2017-09-21 18:55:00
51960628,Mar/29/2019 09:34,AceIn,863D - Yet Another Array Queries Problem,GNU C++14,Accepted,404 ms,6300 KB,2019-03-29 09:34:00
