51783447,Mar/24/2019 12:33,jaaguptamme,359D - Pair of Numbers,GNU C++17,Accepted,452 ms,4700 KB,2019-03-24 12:33:00
4970551,Nov/02/2013 17:25,stas_sl,359D - Pair of Numbers,Ruby,Accepted,1388 ms,37400 KB,2013-11-02 17:25:00
29907149,Aug/30/2017 06:45,vjudge2,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2017-08-30 06:45:00
25002431,Feb/25/2017 08:25,vjudge1,359D - Pair of Numbers,MS C++,Accepted,109 ms,4500 KB,2017-02-25 08:25:00
5333366,Dec/02/2013 17:14,shsoul,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2300 KB,2013-12-02 17:14:00
23516560,Jan/03/2017 15:48,vjudge3,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,4200 KB,2017-01-03 15:48:00
4964465,Nov/02/2013 12:59,howsiwei,359D - Pair of Numbers,Ruby,Accepted,733 ms,27600 KB,2013-11-02 12:59:00
23527104,Jan/04/2017 05:48,vjudge4,359D - Pair of Numbers,GNU C++14,Accepted,139 ms,4200 KB,2017-01-04 05:48:00
4964805,Nov/02/2013 13:05,storyn43767,359D - Pair of Numbers,GNU C,Accepted,124 ms,2400 KB,2013-11-02 13:05:00
24274609,Jan/30/2017 21:16,madwingis,359D - Pair of Numbers,GNU C++,Accepted,108 ms,25500 KB,2017-01-30 21:16:00
36518790,Mar/23/2018 05:36,zero-light-some,359D - Pair of Numbers,GNU C++,Accepted,124 ms,11200 KB,2018-03-23 05:36:00
16892951,Mar/23/2016 20:14,cxaphoenix#,359D - Pair of Numbers,GNU C++11,Accepted,670 ms,5300 KB,2016-03-23 20:14:00
27865960,Jun/17/2017 20:46,mainstring,359D - Pair of Numbers,GNU C++,Accepted,124 ms,2400 KB,2017-06-17 20:46:00
18385789,Jun/12/2016 10:22,rarate4v,359D - Pair of Numbers,GNU C++11,Accepted,701 ms,4500 KB,2016-06-12 10:22:00
14362778,Nov/20/2015 19:12,nazaninnnnn,359D - Pair of Numbers,GNU C++11,Accepted,343 ms,4200 KB,2015-11-20 19:12:00
4969650,Nov/02/2013 16:06,tjandra,359D - Pair of Numbers,GNU C,Accepted,109 ms,3500 KB,2013-11-02 16:06:00
11380635,Jun/01/2015 18:20,Luqman,359D - Pair of Numbers,GNU C++11,Accepted,139 ms,2400 KB,2015-06-01 18:20:00
23224863,Dec/22/2016 15:38,Snow_Leopard,359D - Pair of Numbers,GNU C++14,Accepted,124 ms,4200 KB,2016-12-22 15:38:00
76228611,Apr/11/2020 06:36,manvirag123,359D - Pair of Numbers,GNU C++17,Accepted,436 ms,2600 KB,2020-04-11 06:36:00
5020265,Nov/07/2013 10:02,XiaoDan,359D - Pair of Numbers,GNU C++,Accepted,109 ms,5600 KB,2013-11-07 10:02:00
57007292,Jul/14/2019 10:27,vjudge5,359D - Pair of Numbers,GNU C++17,Accepted,139 ms,4300 KB,2019-07-14 10:27:00
9136038,Dec/15/2014 04:50,instantkill,359D - Pair of Numbers,GNU C++,Accepted,249 ms,3900 KB,2014-12-15 04:50:00
20557138,Sep/13/2016 00:44,Deathly_Hallows,359D - Pair of Numbers,GNU C++11,Accepted,124 ms,2400 KB,2016-09-13 00:44:00
5534421,Dec/28/2013 11:52,randomstr,359D - Pair of Numbers,GNU C++,Accepted,124 ms,4800 KB,2013-12-28 11:52:00
31553384,Oct/21/2017 09:23,sandeep__,359D - Pair of Numbers,GNU C++14,Accepted,140 ms,6200 KB,2017-10-21 09:23:00
4965954,Nov/02/2013 13:29,* xxTastyHypeBeast666xx,359D - Pair of Numbers,GNU C++,Accepted,124 ms,9600 KB,2013-11-02 13:29:00
5243054,Nov/26/2013 16:28,PSDEV,359D - Pair of Numbers,GNU C++,Accepted,124 ms,9700 KB,2013-11-26 16:28:00
77292384,Apr/19/2020 18:54,pruthvi0105,359D - Pair of Numbers,GNU C++14,Accepted,140 ms,2400 KB,2020-04-19 18:54:00
12580440,Aug/17/2015 23:07,Navick,359D - Pair of Numbers,GNU C++,Accepted,717 ms,4800 KB,2015-08-17 23:07:00
12580435,Aug/17/2015 23:07,vjudge4,359D - Pair of Numbers,GNU C++,Accepted,732 ms,4800 KB,2015-08-17 23:07:00
23225022,Dec/22/2016 15:45,Snow_Leopard,359D - Pair of Numbers,GNU C++14,Accepted,139 ms,7000 KB,2016-12-22 15:45:00
29717405,Aug/24/2017 00:01,nologic,359D - Pair of Numbers,GNU C++11,Accepted,311 ms,5200 KB,2017-08-24 00:01:00
55199200,Jun/06/2019 12:50,chaorenhaha,359D - Pair of Numbers,FPC,Accepted,966 ms,3900 KB,2019-06-06 12:50:00
4992808,Nov/05/2013 15:59,YIZHONG,359D - Pair of Numbers,GNU C,Accepted,124 ms,2400 KB,2013-11-05 15:59:00
18709466,Jun/24/2016 23:27,santa_mota,359D - Pair of Numbers,GNU C++,Accepted,139 ms,2400 KB,2016-06-24 23:27:00
