16947418,Mar/26/2016 10:48,fadeeva.kate.22.03,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,5900 KB,2016-03-26 10:48:00
16950388,Mar/26/2016 11:59,vasiliydz,649D - Дефрагментация памяти,Java 7,Accepted,421 ms,38500 KB,2016-03-26 11:59:00
16947924,Mar/26/2016 11:00,* AHTuTTuTyX,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,33300 KB,2016-03-26 11:00:00
16947547,Mar/26/2016 10:51,* Kamfucius,649D - Дефрагментация памяти,GNU C++,Accepted,140 ms,2800 KB,2016-03-26 10:51:00
16948768,Mar/26/2016 11:19,* 112,649D - Дефрагментация памяти,GNU C++,Accepted,374 ms,3600 KB,2016-03-26 11:19:00
16946477,Mar/26/2016 10:26,Eran,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,4000 KB,2016-03-26 10:26:00
16946500,Mar/26/2016 10:27,JewRaper,649D - Дефрагментация памяти,GNU C++11,Accepted,218 ms,20100 KB,2016-03-26 10:27:00
16947300,Mar/26/2016 10:45,ivankrut856,649D - Дефрагментация памяти,MS C++,Accepted,155 ms,3900 KB,2016-03-26 10:45:00
16948780,Mar/26/2016 11:19,vekarpov,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,3600 KB,2016-03-26 11:19:00
16950391,Mar/26/2016 11:59,Pollux,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,2800 KB,2016-03-26 11:59:00
16949958,Mar/26/2016 11:49,samatbor,649D - Дефрагментация памяти,GNU C++11,Accepted,124 ms,2800 KB,2016-03-26 11:49:00
16948520,Mar/26/2016 11:13,ForceMaster,649D - Дефрагментация памяти,GNU C++11,Accepted,1762 ms,3600 KB,2016-03-26 11:13:00
16948839,Mar/26/2016 11:21,ninexty,649D - Дефрагментация памяти,Java 8,Accepted,654 ms,20500 KB,2016-03-26 11:21:00
16947733,Mar/26/2016 10:55,THORinHOODIE,649D - Дефрагментация памяти,Java 8,Accepted,420 ms,20500 KB,2016-03-26 10:55:00
16947821,Mar/26/2016 10:58,GoToCoding,649D - Дефрагментация памяти,GNU C++11,Accepted,140 ms,5900 KB,2016-03-26 10:58:00
16946927,Mar/26/2016 10:37,Farhod_Farmon,649D - Дефрагментация памяти,GNU C++,Accepted,46 ms,4400 KB,2016-03-26 10:37:00
16947320,Mar/26/2016 10:46,chiyar1,649D - Дефрагментация памяти,MS C++,Accepted,46 ms,4400 KB,2016-03-26 10:46:00
16948212,Mar/26/2016 11:06,Murtazo.Ali,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,17700 KB,2016-03-26 11:06:00
16946605,Mar/26/2016 10:29,totsamyzed,649D - Дефрагментация памяти,GNU C++11,Accepted,46 ms,10700 KB,2016-03-26 10:29:00
16950296,Mar/26/2016 11:57,Ibodullo_Yorov,649D - Дефрагментация памяти,GNU C++,Accepted,420 ms,4400 KB,2016-03-26 11:57:00
16948026,Mar/26/2016 11:03,makut,649D - Дефрагментация памяти,GNU C++,Accepted,358 ms,5100 KB,2016-03-26 11:03:00
16948230,Mar/26/2016 11:07,TerMax,649D - Дефрагментация памяти,GNU C++,Accepted,140 ms,2800 KB,2016-03-26 11:07:00
16948218,Mar/26/2016 11:07,mira318,649D - Дефрагментация памяти,GNU C++,Accepted,577 ms,2800 KB,2016-03-26 11:07:00
16948556,Mar/26/2016 11:15,kUDES,649D - Дефрагментация памяти,MS C++,Accepted,140 ms,2800 KB,2016-03-26 11:15:00
16947103,Mar/26/2016 10:40,den41k2204,649D - Дефрагментация памяти,GNU C++11,Accepted,374 ms,9000 KB,2016-03-26 10:40:00
16950334,Mar/26/2016 11:58,valeriy227,649D - Дефрагментация памяти,Java 8,Accepted,420 ms,20500 KB,2016-03-26 11:58:00
16950056,Mar/26/2016 11:52,fba,649D - Дефрагментация памяти,Java 8,Accepted,311 ms,32100 KB,2016-03-26 11:52:00
16948269,Mar/26/2016 11:08,l21561,649D - Дефрагментация памяти,GNU C++,Accepted,421 ms,4400 KB,2016-03-26 11:08:00
16947108,Mar/26/2016 10:40,AlvinMax,649D - Дефрагментация памяти,GNU C++11,Accepted,358 ms,5900 KB,2016-03-26 10:40:00
16947014,Mar/26/2016 10:38,annikura,649D - Дефрагментация памяти,GNU C++,Accepted,140 ms,5900 KB,2016-03-26 10:38:00
