29712305,Aug/23/2017 19:09,N.E.R.O,799D - Field expansion,GNU C++14,Accepted,31 ms,16500 KB,2017-08-23 19:09:00
29857173,Aug/29/2017 05:59,aniket23,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-08-29 05:59:00
27033531,May/11/2017 20:18,aangairbender,799D - Field expansion,GNU C++14,Accepted,31 ms,1000 KB,2017-05-11 20:18:00
27888745,Jun/18/2017 20:23,xskhirtladze,799D - Field expansion,GNU C++,Accepted,156 ms,55600 KB,2017-06-18 20:23:00
32516158,Nov/21/2017 08:28,vjudge5,799D - Field expansion,GNU C++14,Accepted,31 ms,900 KB,2017-11-21 08:28:00
27680137,Jun/09/2017 02:52,sarwar,799D - Field expansion,GNU C++14,Accepted,78 ms,8900 KB,2017-06-09 02:52:00
28771528,Jul/22/2017 09:43,EurusHolmes,799D - Field expansion,GNU C++,Accepted,46 ms,3000 KB,2017-07-22 09:43:00
32516132,Nov/21/2017 08:26,bktl1love,799D - Field expansion,GNU C++11,Accepted,31 ms,900 KB,2017-11-21 08:26:00
70179005,Feb/03/2020 22:25,Stolf,799D - Field expansion,GNU C++11,Accepted,124 ms,55600 KB,2020-02-03 22:25:00
41591695,Aug/14/2018 17:24,vjudge1,799D - Field expansion,GNU C++,Accepted,31 ms,400 KB,2018-08-14 17:24:00
27188311,May/18/2017 03:37,supy,799D - Field expansion,GNU C++,Accepted,15 ms,200 KB,2017-05-18 03:37:00
27181607,May/17/2017 17:21,chinmay_sd,799D - Field expansion,GNU C++14,Accepted,78 ms,44600 KB,2017-05-17 17:21:00
46935422,Dec/12/2018 16:37,huzaifa242,799D - Field expansion,GNU C++14,Accepted,46 ms,800 KB,2018-12-12 16:37:00
28063696,Jun/26/2017 22:21,Vosatorp,799D - Field expansion,GNU C++14,Accepted,561 ms,9700 KB,2017-06-26 22:21:00
37543544,Apr/23/2018 06:07,wdyd2004#,799D - Field expansion,GNU C++11,Accepted,78 ms,47500 KB,2018-04-23 06:07:00
71262114,Feb/17/2020 10:10,stArliGht,799D - Field expansion,GNU C++17,Accepted,61 ms,27800 KB,2020-02-17 10:10:00
27053292,May/12/2017 14:55,artyom.fedosov,799D - Field expansion,Python 2,Accepted,124 ms,1600 KB,2017-05-12 14:55:00
28389946,Jul/09/2017 18:22,Juno,799D - Field expansion,GNU C++11,Accepted,46 ms,30600 KB,2017-07-09 18:22:00
