22323718,Nov/19/2016 13:36,-Sali-,144D - Missile Silos,GNU C++11,Accepted,654 ms,11300 KB,2016-11-19 13:36:00
38707333,May/29/2018 05:00,Scut82,144D - Missile Silos,GNU C++,Accepted,186 ms,6300 KB,2018-05-29 05:00:00
25489291,Mar/15/2017 07:13,Sirivasv,144D - Missile Silos,GNU C++11,Accepted,1184 ms,13300 KB,2017-03-15 07:13:00
48661637,Jan/21/2019 09:15,vjudge1,144D - Missile Silos,GNU C++11,Accepted,404 ms,11500 KB,2019-01-21 09:15:00
1094905,Jan/19/2012 23:22,mage,144D - Missile Silos,GNU C,Accepted,110 ms,8500 KB,2012-01-19 23:22:00
15591226,Jan/26/2016 13:51,vanogam,144D - Missile Silos,GNU C++11,Accepted,1248 ms,9100 KB,2016-01-26 13:51:00
18383445,Jun/12/2016 05:08,Superty,144D - Missile Silos,GNU C++11,Accepted,560 ms,7800 KB,2016-06-12 05:08:00
15505535,Jan/23/2016 03:11,vjudge2,144D - Missile Silos,GNU C++,Accepted,92 ms,43600 KB,2016-01-23 03:11:00
48667563,Jan/21/2019 11:54,vjudge3,144D - Missile Silos,GNU C++11,Accepted,372 ms,8400 KB,2019-01-21 11:54:00
43813819,Oct/05/2018 06:32,luogu_bot3,144D - Missile Silos,GNU C++11,Accepted,248 ms,7400 KB,2018-10-05 06:32:00
67007386,Dec/16/2019 11:32,GioChkhaidze,144D - Missile Silos,GNU C++17,Accepted,248 ms,6700 KB,2019-12-16 11:32:00
34728642,Jan/31/2018 09:49,Passenger,144D - Missile Silos,GNU C++14,Accepted,156 ms,9500 KB,2018-01-31 09:49:00
1079968,Jan/18/2012 20:20,Nicholas,144D - Missile Silos,GNU C++,Accepted,420 ms,10600 KB,2012-01-18 20:20:00
29915825,Aug/30/2017 14:30,vjudge5,144D - Missile Silos,GNU C++,Accepted,124 ms,4100 KB,2017-08-30 14:30:00
38518022,May/21/2018 23:26,AdolfoAiresSchneider,144D - Missile Silos,GNU C++17,Accepted,842 ms,11700 KB,2018-05-21 23:26:00
36049720,Mar/07/2018 18:40,vjudge4,144D - Missile Silos,GNU C++14,Accepted,216 ms,8400 KB,2018-03-07 18:40:00
38656194,May/27/2018 16:26,Scut82,144D - Missile Silos,GNU C++,Accepted,1060 ms,9400 KB,2018-05-27 16:26:00
1084243,Jan/19/2012 08:25,GaryWong,144D - Missile Silos,GNU C++,Accepted,160 ms,8900 KB,2012-01-19 08:25:00
27739088,Jun/12/2017 16:55,Math_Master,144D - Missile Silos,GNU C++14,Accepted,904 ms,9100 KB,2017-06-12 16:55:00
56022189,Jun/25/2019 07:31,Mjgonzales,144D - Missile Silos,GNU C++17,Accepted,218 ms,7000 KB,2019-06-25 07:31:00
35821231,Mar/02/2018 01:57,vjudge5,144D - Missile Silos,GNU C++11,Accepted,528 ms,9500 KB,2018-03-02 01:57:00
35748712,Feb/27/2018 04:16,Brough,144D - Missile Silos,GNU C++11,Accepted,560 ms,9500 KB,2018-02-27 04:16:00
1079679,Jan/18/2012 20:14,* mjmjmj,144D - Missile Silos,GNU C++,Accepted,110 ms,45200 KB,2012-01-18 20:14:00
1079296,Jan/18/2012 20:06,* asklzxn2,144D - Missile Silos,GNU C++,Accepted,130 ms,45200 KB,2012-01-18 20:06:00
1079513,Jan/18/2012 20:10,* hqztrue,144D - Missile Silos,GNU C++,Accepted,130 ms,45200 KB,2012-01-18 20:10:00
45210644,Nov/02/2018 18:00,kozima,144D - Missile Silos,GNU C++11,Accepted,904 ms,5300 KB,2018-11-02 18:00:00
11599138,Jun/15/2015 23:34,ziad.mohamed,144D - Missile Silos,GNU C++11,Accepted,186 ms,7100 KB,2015-06-15 23:34:00
12998402,Sep/14/2015 19:59,hello_codeforces,144D - Missile Silos,GNU C++11,Accepted,154 ms,5100 KB,2015-09-14 19:59:00
23724181,Jan/11/2017 21:45,Shayan,144D - Missile Silos,GNU C++11,Accepted,560 ms,13000 KB,2017-01-11 21:45:00
45506537,Nov/10/2018 13:52,Photon_,144D - Missile Silos,GNU C++17,Accepted,248 ms,5300 KB,2018-11-10 13:52:00
19374296,Jul/24/2016 05:03,rr_,144D - Missile Silos,GNU C++11,Accepted,498 ms,8000 KB,2016-07-24 05:03:00
12225358,Jul/25/2015 17:55,The-Legend,144D - Missile Silos,GNU C++,Accepted,156 ms,6500 KB,2015-07-25 17:55:00
39891135,Jul/03/2018 13:49,Vinay_Katare,144D - Missile Silos,GNU C++17,Accepted,218 ms,35200 KB,2018-07-03 13:49:00
43083318,Sep/19/2018 17:52,KnightOfGotham,144D - Missile Silos,GNU C++14,Accepted,872 ms,5800 KB,2018-09-19 17:52:00
29915804,Aug/30/2017 14:29,fyy2603,144D - Missile Silos,GNU C++11,Accepted,124 ms,4100 KB,2017-08-30 14:29:00
1095471,Jan/20/2012 00:02,boba,144D - Missile Silos,FPC,Accepted,110 ms,7300 KB,2012-01-20 00:02:00
17560890,Apr/29/2016 07:22,The-Legend,144D - Missile Silos,GNU C++,Accepted,218 ms,8800 KB,2016-04-29 07:22:00
1095952,Jan/20/2012 11:01,kovshi,144D - Missile Silos,MS C++,Accepted,470 ms,6100 KB,2012-01-20 11:01:00
24462254,Feb/06/2017 07:19,DeadPillow,144D - Missile Silos,GNU C++11,Accepted,248 ms,12300 KB,2017-02-06 07:19:00
46582895,Dec/04/2018 14:57,qwscaln,144D - Missile Silos,GNU C++17,Accepted,716 ms,6200 KB,2018-12-04 14:57:00
72964071,Mar/11/2020 18:00,shpsi,144D - Missile Silos,GNU C++14,Accepted,716 ms,5400 KB,2020-03-11 18:00:00
1083331,Jan/19/2012 00:41,Martial,144D - Missile Silos,GNU C++,Accepted,200 ms,7300 KB,2012-01-19 00:41:00
15853749,Feb/07/2016 10:59,stewjon,144D - Missile Silos,GNU C++11,Accepted,1028 ms,5300 KB,2016-02-07 10:59:00
30279685,Sep/12/2017 10:08,rahul_bhardwaj,144D - Missile Silos,GNU C++14,Accepted,810 ms,20000 KB,2017-09-12 10:08:00
18784401,Jun/29/2016 17:12,TMC,144D - Missile Silos,GNU C++11,Accepted,528 ms,5700 KB,2016-06-29 17:12:00
17084081,Apr/01/2016 06:05,freebsdx,144D - Missile Silos,GNU C++11,Accepted,154 ms,7900 KB,2016-04-01 06:05:00
58182026,Aug/02/2019 18:35,SuiT_Up,144D - Missile Silos,GNU C++17,Accepted,780 ms,5800 KB,2019-08-02 18:35:00
71847995,Feb/25/2020 12:53,luogu_bot5,144D - Missile Silos,GNU C++11,Accepted,248 ms,7300 KB,2020-02-25 12:53:00
17478920,Apr/24/2016 14:13,Amir_Ghouil,144D - Missile Silos,GNU C++11,Accepted,1122 ms,11800 KB,2016-04-24 14:13:00
55476281,Jun/12/2019 03:09,chongryong,144D - Missile Silos,GNU C++17,Accepted,218 ms,5700 KB,2019-06-12 03:09:00
1095437,Jan/19/2012 23:36,mage,144D - Missile Silos,GNU C,Accepted,110 ms,5300 KB,2012-01-19 23:36:00
1095439,Jan/19/2012 23:37,mage,144D - Missile Silos,GNU C,Accepted,130 ms,5000 KB,2012-01-19 23:37:00
48678706,Jan/21/2019 15:24,vjudge3,144D - Missile Silos,GNU C++14,Accepted,778 ms,15000 KB,2019-01-21 15:24:00
38010866,May/08/2018 06:52,alechuang98,144D - Missile Silos,GNU C++14,Accepted,218 ms,8600 KB,2018-05-08 06:52:00
10638399,Apr/09/2015 12:49,thocevar,144D - Missile Silos,GNU C++11,Accepted,186 ms,5200 KB,2015-04-09 12:49:00
31821064,Oct/28/2017 02:40,demonsbane,144D - Missile Silos,GNU C++14,Accepted,218 ms,6600 KB,2017-10-28 02:40:00
1176839,Feb/14/2012 15:56,rankalee,144D - Missile Silos,GNU C++,Accepted,390 ms,10700 KB,2012-02-14 15:56:00
17751871,May/06/2016 04:28,tunneln,144D - Missile Silos,GNU C++,Accepted,186 ms,8100 KB,2016-05-06 04:28:00
48668008,Jan/21/2019 12:05,Yazmau,144D - Missile Silos,GNU C++14,Accepted,218 ms,8500 KB,2019-01-21 12:05:00
1083695,Jan/19/2012 04:27,yakitori,144D - Missile Silos,GNU C++,Accepted,160 ms,7600 KB,2012-01-19 04:27:00
43813479,Oct/05/2018 06:11,luogu_bot1,144D - Missile Silos,GNU C++11,Accepted,124 ms,4600 KB,2018-10-05 06:11:00
29290615,Aug/08/2017 20:25,MeGaa,144D - Missile Silos,GNU C++14,Accepted,248 ms,8500 KB,2017-08-08 20:25:00
44422119,Oct/17/2018 03:09,akashkw,144D - Missile Silos,Python 3,Accepted,1714 ms,25800 KB,2018-10-17 03:09:00
11387770,Jun/02/2015 12:18,Tanay1998,144D - Missile Silos,GNU C++,Accepted,1090 ms,9500 KB,2015-06-02 12:18:00
