14541926,Nov/28/2015 16:52,BARF,601B - Lipshitz Sequence,GNU C++11,Accepted,140 ms,3100 KB,2015-11-28 16:52:00
14692570,Dec/08/2015 03:18,Neumann,601B - Lipshitz Sequence,GNU C++,Accepted,108 ms,2000 KB,2015-12-08 03:18:00
14558906,Nov/29/2015 16:56,IMAN_GH,601B - Lipshitz Sequence,GNU C++11,Accepted,171 ms,700 KB,2015-11-29 16:56:00
14541880,Nov/28/2015 16:50,ahparyald,602D - Lipshitz Sequence,GNU C++,Accepted,140 ms,3100 KB,2015-11-28 16:50:00
17758518,May/06/2016 12:53,Ahmad_RH,602D - Lipshitz Sequence,GNU C++11,Accepted,140 ms,5300 KB,2016-05-06 12:53:00
23504396,Jan/02/2017 21:15,MhdMohammadi,601B - Lipshitz Sequence,GNU C++14,Accepted,234 ms,4500 KB,2017-01-02 21:15:00
73845349,Mar/21/2020 05:06,CaiJiZXY,602D - Lipshitz Sequence,GNU C++11,Accepted,61 ms,15700 KB,2020-03-21 05:06:00
71500575,Feb/20/2020 17:41,vjudge2,602D - Lipshitz Sequence,GNU C++11,Accepted,124 ms,2400 KB,2020-02-20 17:41:00
14461961,Nov/25/2015 06:14,lungly1,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,600 KB,2015-11-25 06:14:00
15893872,Feb/08/2016 13:15,dhh1995,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,2200 KB,2016-02-08 13:15:00
14459371,Nov/25/2015 00:01,george_stelian,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,600 KB,2015-11-25 00:01:00
28368459,Jul/08/2017 15:05,fanzhirui#,601B - Lipshitz Sequence,GNU C++14,Accepted,109 ms,5200 KB,2017-07-08 15:05:00
46918285,Dec/12/2018 03:17,Timsei#,601B - Lipshitz Sequence,GNU C++11,Accepted,78 ms,1200 KB,2018-12-12 03:17:00
16017995,Feb/14/2016 15:51,Erona,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1400 KB,2016-02-14 15:51:00
16018003,Feb/14/2016 15:51,vjudge2,602D - Lipshitz Sequence,GNU C++11,Accepted,77 ms,1400 KB,2016-02-14 15:51:00
63820632,Oct/30/2019 16:19,bouncypi,601B - Lipshitz Sequence,GNU C++11,Accepted,171 ms,1100 KB,2019-10-30 16:19:00
30495898,Sep/19/2017 14:49,FallDream,601B - Lipshitz Sequence,GNU C++14,Accepted,93 ms,2000 KB,2017-09-19 14:49:00
14459911,Nov/25/2015 00:55,Deemo,601B - Lipshitz Sequence,GNU C++11,Accepted,187 ms,1200 KB,2015-11-25 00:55:00
50275649,Feb/21/2019 12:50,vjudge1,601B - Lipshitz Sequence,MS C++,Accepted,62 ms,1200 KB,2019-02-21 12:50:00
14556599,Nov/29/2015 13:48,ez_zkj,601B - Lipshitz Sequence,FPC,Accepted,171 ms,1600 KB,2015-11-29 13:48:00
14475398,Nov/25/2015 19:11,ladpro98,601B - Lipshitz Sequence,GNU C++11,Accepted,265 ms,1600 KB,2015-11-25 19:11:00
14487604,Nov/26/2015 07:52,jimola,601B - Lipshitz Sequence,GNU C++11,Accepted,280 ms,2000 KB,2015-11-26 07:52:00
14533398,Nov/28/2015 06:00,YxyxyxyxyxyxyX,602D - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2015-11-28 06:00:00
30991798,Oct/04/2017 15:34,vjudge3,602D - Lipshitz Sequence,GNU C++14,Accepted,109 ms,3100 KB,2017-10-04 15:34:00
14467312,Nov/25/2015 13:35,IrOty1oX5uSp4,601B - Lipshitz Sequence,GNU C++11,Accepted,139 ms,600 KB,2015-11-25 13:35:00
34151974,Jan/13/2018 18:01,minson123,601B - Lipshitz Sequence,GNU C++11,Accepted,108 ms,3200 KB,2018-01-13 18:01:00
14458474,Nov/24/2015 23:09,naij,602D - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2015-11-24 23:09:00
24275931,Jan/30/2017 22:24,Shayan,601B - Lipshitz Sequence,GNU C++11,Accepted,171 ms,3000 KB,2017-01-30 22:24:00
30991741,Oct/04/2017 15:31,aidinhnkhn,601B - Lipshitz Sequence,GNU C++14,Accepted,109 ms,3100 KB,2017-10-04 15:31:00
73659704,Mar/19/2020 17:08,Zhu_Xiangyu,601B - Lipshitz Sequence,GNU C++11,Accepted,155 ms,3900 KB,2020-03-19 17:08:00
14453703,Nov/24/2015 20:59,Semarapura,602D - Lipshitz Sequence,GNU C,Accepted,46 ms,2600 KB,2015-11-24 20:59:00
14921979,Dec/22/2015 10:39,function348,601B - Lipshitz Sequence,GNU C++,Accepted,109 ms,2000 KB,2015-12-22 10:39:00
30991805,Oct/04/2017 15:35,aidinhnkhn,601B - Lipshitz Sequence,GNU C++14,Accepted,124 ms,3100 KB,2017-10-04 15:35:00
40985635,Jul/30/2018 23:03,ReaLNero1,601B - Lipshitz Sequence,GNU C,Accepted,61 ms,2600 KB,2018-07-30 23:03:00
14827024,Dec/15/2015 23:16,Waegj,602D - Lipshitz Sequence,GNU C++11,Accepted,187 ms,800 KB,2015-12-15 23:16:00
15084107,Dec/29/2015 14:53,tommyricardo,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,1600 KB,2015-12-29 14:53:00
23526622,Jan/04/2017 04:59,Philipsweng#,601B - Lipshitz Sequence,GNU C++14,Accepted,93 ms,3800 KB,2017-01-04 04:59:00
14450461,Nov/24/2015 20:27,gs12117,601B - Lipshitz Sequence,GNU C++,Accepted,93 ms,1000 KB,2015-11-24 20:27:00
73845315,Mar/21/2020 05:05,CaiJiZXY,601B - Lipshitz Sequence,GNU C++11,Accepted,171 ms,3900 KB,2020-03-21 05:05:00
14835938,Dec/16/2015 17:59,sfiction,601B - Lipshitz Sequence,GNU C++,Accepted,62 ms,1400 KB,2015-12-16 17:59:00
14847620,Dec/17/2015 18:06,rr30027,601B - Lipshitz Sequence,GNU C++11,Accepted,62 ms,600 KB,2015-12-17 18:06:00
23503978,Jan/02/2017 20:48,aliris,601B - Lipshitz Sequence,GNU C++11,Accepted,140 ms,6700 KB,2017-01-02 20:48:00
48722484,Jan/22/2019 17:08,rawatds,601B - Lipshitz Sequence,GNU C++14,Accepted,93 ms,3100 KB,2019-01-22 17:08:00
14464420,Nov/25/2015 10:30,M.Mahdi#,601B - Lipshitz Sequence,GNU C++11,Accepted,109 ms,1600 KB,2015-11-25 10:30:00
30539666,Sep/20/2017 12:18,ditoly,601B - Lipshitz Sequence,GNU C++11,Accepted,156 ms,8000 KB,2017-09-20 12:18:00
17933631,May/16/2016 18:38,vjudge2,602D - Lipshitz Sequence,GNU C++,Accepted,155 ms,4900 KB,2016-05-16 18:38:00
14495388,Nov/26/2015 18:54,Hikari9,601B - Lipshitz Sequence,GNU C++,Accepted,109 ms,2000 KB,2015-11-26 18:54:00
14616400,Dec/02/2015 12:58,njzwj2007,601B - Lipshitz Sequence,GNU C++11,Accepted,93 ms,1600 KB,2015-12-02 12:58:00
14455765,Nov/24/2015 21:23,2013300262,602D - Lipshitz Sequence,GNU C++,Accepted,108 ms,1600 KB,2015-11-24 21:23:00
17933652,May/16/2016 18:39,KMPBison,601B - Lipshitz Sequence,GNU C++,Accepted,156 ms,4900 KB,2016-05-16 18:39:00
24274437,Jan/30/2017 21:08,vjudge1,601B - Lipshitz Sequence,GNU C++11,Accepted,156 ms,3000 KB,2017-01-30 21:08:00
19613770,Aug/04/2016 14:04,Not_A_SingleDogQrz,602D - Lipshitz Sequence,GNU C++,Accepted,77 ms,1200 KB,2016-08-04 14:04:00
14461652,Nov/25/2015 05:37,xiper,602D - Lipshitz Sequence,GNU C++11,Accepted,62 ms,1600 KB,2015-11-25 05:37:00
19888654,Aug/15/2016 16:12,code_cola,602D - Lipshitz Sequence,GNU C++,Accepted,78 ms,3400 KB,2016-08-15 16:12:00
14556507,Nov/29/2015 13:41,yusufziya,602D - Lipshitz Sequence,GNU C++,Accepted,109 ms,5000 KB,2015-11-29 13:41:00
73659766,Mar/19/2020 17:09,vjudge2,602D - Lipshitz Sequence,GNU C++17,Accepted,124 ms,3900 KB,2020-03-19 17:09:00
14448254,Nov/24/2015 20:08,svanidz1,601B - Lipshitz Sequence,GNU C++,Accepted,77 ms,1800 KB,2015-11-24 20:08:00
24819908,Feb/20/2017 13:40,YangHong,602D - Lipshitz Sequence,GNU C++14,Accepted,296 ms,5800 KB,2017-02-20 13:40:00
14465782,Nov/25/2015 11:55,wu6shen#,601B - Lipshitz Sequence,GNU C++,Accepted,93 ms,2000 KB,2015-11-25 11:55:00
19317091,Jul/22/2016 10:13,vjudge1,601B - Lipshitz Sequence,GNU C++,Accepted,109 ms,2200 KB,2016-07-22 10:13:00
38209195,May/14/2018 11:31,sayo_szzx,601B - Lipshitz Sequence,GNU C++,Accepted,249 ms,5800 KB,2018-05-14 11:31:00
18072632,May/25/2016 17:04,vjtest,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,4400 KB,2016-05-25 17:04:00
18072679,May/25/2016 17:08,vjtest,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,4400 KB,2016-05-25 17:08:00
14631425,Dec/03/2015 12:21,vjudge2,601B - Lipshitz Sequence,GNU C++,Accepted,108 ms,3200 KB,2015-12-03 12:21:00
14634943,Dec/03/2015 17:12,XC_KiwiBerry,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,500 KB,2015-12-03 17:12:00
14460925,Nov/25/2015 03:30,yummy,601B - Lipshitz Sequence,GNU C++11,Accepted,343 ms,2600 KB,2015-11-25 03:30:00
19174442,Jul/16/2016 16:44,szawinis,601B - Lipshitz Sequence,GNU C++11,Accepted,124 ms,1500 KB,2016-07-16 16:44:00
30750204,Sep/26/2017 15:23,lll0421,601B - Lipshitz Sequence,GNU C++,Accepted,78 ms,1000 KB,2017-09-26 15:23:00
