37995838,May/07/2018 16:01,MrPoJ,762D - Maximum path,GNU C++17,Accepted,139 ms,11100 KB,2018-05-07 16:01:00
40517184,Jul/18/2018 16:53,rareone0602,762D - Maximum path,GNU C++14,Accepted,124 ms,4700 KB,2018-07-18 16:53:00
24395955,Feb/02/2017 23:35,Apyukin,762D - Maximum path,GNU C++11,Accepted,873 ms,6700 KB,2017-02-02 23:35:00
24268958,Jan/30/2017 17:05,U6121071173,762D - Maximum path,GNU C++,Accepted,93 ms,6700 KB,2017-01-30 17:05:00
25534874,Mar/16/2017 02:00,Mohammad.Sj,762D - Maximum path,GNU C++14,Accepted,124 ms,6600 KB,2017-03-16 02:00:00
25691861,Mar/21/2017 16:55,vjudge1,762D - Maximum path,GNU C++,Accepted,93 ms,6700 KB,2017-03-21 16:55:00
24118596,Jan/25/2017 18:02,sfiction,762D - Maximum path,GNU C++11,Accepted,109 ms,8100 KB,2017-01-25 18:02:00
60904555,Sep/20/2019 04:26,Pyqe,762D - Maximum path,GNU C++11,Accepted,78 ms,7100 KB,2019-09-20 04:26:00
25108270,Feb/28/2017 21:46,maups,762D - Maximum path,GNU C++11,Accepted,202 ms,8300 KB,2017-02-28 21:46:00
24425997,Feb/04/2017 09:25,newgate,762D - Maximum path,GNU C++11,Accepted,93 ms,6500 KB,2017-02-04 09:25:00
77620531,Apr/22/2020 11:04,Scut82,762D - Maximum path,GNU C++14,Accepted,109 ms,5800 KB,2020-04-22 11:04:00
24264628,Jan/30/2017 13:50,unused,762D - Maximum path,GNU C++14,Accepted,109 ms,5400 KB,2017-01-30 13:50:00
37562459,Apr/24/2018 05:22,user202729_,762D - Maximum path,GNU C++17,Accepted,655 ms,6800 KB,2018-04-24 05:22:00
25813418,Mar/26/2017 10:47,vjudge3,762D - Maximum path,GNU C++,Accepted,93 ms,6300 KB,2017-03-26 10:47:00
29822213,Aug/27/2017 11:44,lllllllllllllllllllllll,762D - Maximum path,GNU C++,Accepted,93 ms,6300 KB,2017-08-27 11:44:00
24410603,Feb/03/2017 15:55,PlayfulPanda,762D - Maximum path,GNU C++11,Accepted,93 ms,6700 KB,2017-02-03 15:55:00
77620677,Apr/22/2020 11:05,Scut82,762D - Maximum path,GNU C++14,Accepted,109 ms,7700 KB,2020-04-22 11:05:00
24243988,Jan/29/2017 12:58,y553546436,762D - Maximum path,GNU C++,Accepted,93 ms,6500 KB,2017-01-29 12:58:00
24244167,Jan/29/2017 13:06,parsa327,762D - Maximum path,GNU C++11,Accepted,780 ms,9900 KB,2017-01-29 13:06:00
25172864,Mar/03/2017 17:15,mouse416,762D - Maximum path,GNU C++,Accepted,78 ms,6300 KB,2017-03-03 17:15:00
36777754,Mar/31/2018 18:25,vjudge1,762D - Maximum path,GNU C++,Accepted,93 ms,7600 KB,2018-03-31 18:25:00
24139128,Jan/26/2017 02:32,please_delete_account,762D - Maximum path,GNU C++14,Accepted,140 ms,8100 KB,2017-01-26 02:32:00
24426052,Feb/04/2017 09:29,ws_syx,762D - Maximum path,GNU C++,Accepted,31 ms,6400 KB,2017-02-04 09:29:00
24158854,Jan/27/2017 01:10,stasiek008,762D - Maximum path,GNU C++11,Accepted,124 ms,10700 KB,2017-01-27 01:10:00
36672482,Mar/27/2018 18:27,vjudge5,762D - Maximum path,GNU C++,Accepted,811 ms,11500 KB,2018-03-27 18:27:00
36744309,Mar/30/2018 13:56,vjudge4,762D - Maximum path,GNU C++,Accepted,93 ms,7700 KB,2018-03-30 13:56:00
24640276,Feb/14/2017 04:49,kornbergfresnel,762D - Maximum path,GNU C++11,Accepted,78 ms,6300 KB,2017-02-14 04:49:00
24134903,Jan/25/2017 21:31,with,762D - Maximum path,GNU C++11,Accepted,155 ms,6700 KB,2017-01-25 21:31:00
24217906,Jan/28/2017 12:14,LoveIsSoFar,762D - Maximum path,GNU C++11,Accepted,124 ms,8300 KB,2017-01-28 12:14:00
24731602,Feb/17/2017 07:54,imverypupil,762D - Maximum path,GNU C++,Accepted,46 ms,6700 KB,2017-02-17 07:54:00
25789626,Mar/25/2017 09:28,vjudge3,762D - Maximum path,GNU C++,Accepted,108 ms,6800 KB,2017-03-25 09:28:00
33201221,Dec/13/2017 06:45,CVH,762D - Maximum path,GNU C++14,Accepted,109 ms,6600 KB,2017-12-13 06:45:00
24179214,Jan/27/2017 04:33,Mjgonzales,762D - Maximum path,GNU C++14,Accepted,140 ms,15200 KB,2017-01-27 04:33:00
25704146,Mar/22/2017 08:45,vjudge3,762D - Maximum path,GNU C++11,Accepted,93 ms,7500 KB,2017-03-22 08:45:00
24127663,Jan/25/2017 19:08,m.raszyk,762D - Maximum path,GNU C++11,Accepted,124 ms,6700 KB,2017-01-25 19:08:00
26289220,Apr/11/2017 07:03,Thund3rwar,762D - Maximum path,GNU C++14,Accepted,124 ms,6600 KB,2017-04-11 07:03:00
67132898,Dec/18/2019 04:40,jhzjk,762D - Maximum path,GNU C++17,Accepted,124 ms,9400 KB,2019-12-18 04:40:00
26353266,Apr/14/2017 12:15,Morker,762D - Maximum path,GNU C++14,Accepted,140 ms,6600 KB,2017-04-14 12:15:00
26289274,Apr/11/2017 07:07,Thund3rwar,762D - Maximum path,GNU C++14,Accepted,124 ms,6600 KB,2017-04-11 07:07:00
26289259,Apr/11/2017 07:06,Thund3rwar,762D - Maximum path,GNU C++14,Accepted,124 ms,6600 KB,2017-04-11 07:06:00
28892428,Jul/26/2017 06:08,dhuacm10,762D - Maximum path,GNU C++,Accepted,93 ms,7300 KB,2017-07-26 06:08:00
26533424,Apr/21/2017 11:27,vjudge4,762D - Maximum path,GNU C++11,Accepted,78 ms,6400 KB,2017-04-21 11:27:00
25162908,Mar/03/2017 08:18,zhan8855,762D - Maximum path,GNU C++,Accepted,78 ms,6100 KB,2017-03-03 08:18:00
