1849040,Jul/02/2012 17:49,yiyezhiqiu,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,5400 KB,2012-07-02 17:49:00
15589967,Jan/26/2016 12:17,Arstine,195D - Analyzing Polyline,GNU C++,Accepted,1092 ms,4000 KB,2016-01-26 12:17:00
1782771,Jun/11/2012 10:43,LGM,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,4600 KB,2012-06-11 10:43:00
31232179,Oct/12/2017 07:56,vjudge3,195D - Analyzing Polyline,GNU C++,Accepted,184 ms,4000 KB,2017-10-12 07:56:00
1782768,Jun/11/2012 10:42,LGM,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,4600 KB,2012-06-11 10:42:00
44545062,Oct/19/2018 16:08,vjudge2,195D - Analyzing Polyline,GNU C++14,Accepted,1964 ms,4200 KB,2018-10-19 16:08:00
2675808,Nov/29/2012 11:28,watashi,195D - Analyzing Polyline,Haskell,Accepted,765 ms,12500 KB,2012-11-29 11:28:00
1782744,Jun/11/2012 10:32,LGM,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,4600 KB,2012-06-11 10:32:00
1782074,Jun/11/2012 00:55,citrux,195D - Analyzing Polyline,Python 2,Accepted,1280 ms,11600 KB,2012-06-11 00:55:00
1782608,Jun/11/2012 09:06,problem-solved,195D - Analyzing Polyline,GNU C++,Accepted,170 ms,4600 KB,2012-06-11 09:06:00
31212776,Oct/11/2017 12:53,vjudge5,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,3900 KB,2017-10-11 12:53:00
1784221,Jun/11/2012 15:00,Rotsor,195D - Analyzing Polyline,Haskell,Accepted,1330 ms,19600 KB,2012-06-11 15:00:00
31230459,Oct/12/2017 04:52,vjudge2,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,3900 KB,2017-10-12 04:52:00
17121607,Apr/02/2016 05:33,freebsdx,195D - Analyzing Polyline,GNU C++11,Accepted,1060 ms,6000 KB,2016-04-02 05:33:00
1848790,Jul/02/2012 15:30,vjudge2,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,5400 KB,2012-07-02 15:30:00
20350342,Sep/03/2016 03:41,ivanzuki,195D - Analyzing Polyline,GNU C++,Accepted,1122 ms,4000 KB,2016-09-03 03:41:00
1782011,Jun/11/2012 00:30,maratmiki,195D - Analyzing Polyline,GNU C++,Accepted,380 ms,5400 KB,2012-06-11 00:30:00
56859141,Jul/11/2019 23:31,Oleksandr228,195D - Analyzing Polyline,GNU C++17,Accepted,810 ms,4200 KB,2019-07-11 23:31:00
31204783,Oct/11/2017 04:33,vjudge1,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,3900 KB,2017-10-11 04:33:00
1833288,Jun/26/2012 19:47,WGuang,195D - Analyzing Polyline,GNU C++,Accepted,1420 ms,5400 KB,2012-06-26 19:47:00
1911033,Jul/19/2012 12:57,andrey_s,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,5400 KB,2012-07-19 12:57:00
56769397,Jul/09/2019 23:27,Anna1605,195D - Analyzing Polyline,GNU C++11,Accepted,996 ms,4000 KB,2019-07-09 23:27:00
1967413,Aug/01/2012 12:06,sdibt5,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,6100 KB,2012-08-01 12:06:00
33862571,Jan/02/2018 14:28,vjudge2,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,5900 KB,2018-01-02 14:28:00
33863278,Jan/02/2018 15:10,vjudge3,195D - Analyzing Polyline,GNU C++14,Accepted,186 ms,5900 KB,2018-01-02 15:10:00
31212186,Oct/11/2017 12:24,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,218 ms,4000 KB,2017-10-11 12:24:00
49501710,Feb/05/2019 18:31,AtillaAk,195D - Analyzing Polyline,GNU C++17,Accepted,1588 ms,9100 KB,2019-02-05 18:31:00
28801653,Jul/23/2017 16:00,vjudge1,195D - Analyzing Polyline,GNU C++,Accepted,374 ms,6000 KB,2017-07-23 16:00:00
44543230,Oct/19/2018 15:26,vjudge4,195D - Analyzing Polyline,GNU C++14,Accepted,186 ms,4900 KB,2018-10-19 15:26:00
1780319,Jun/10/2012 21:20,AmirAli,195D - Analyzing Polyline,GNU C++,Accepted,1450 ms,7700 KB,2012-06-10 21:20:00
1782417,Jun/11/2012 06:37,agr.bhavesh,195D - Analyzing Polyline,GNU C++,Accepted,190 ms,5400 KB,2012-06-11 06:37:00
43340834,Sep/23/2018 20:40,Capitan,195D - Analyzing Polyline,GNU C++14,Accepted,280 ms,3300 KB,2018-09-23 20:40:00
1801870,Jun/14/2012 09:40,nuptxxp,195D - Analyzing Polyline,GNU C++,Accepted,390 ms,4600 KB,2012-06-14 09:40:00
2691285,Dec/03/2012 18:07,vagnard,195D - Analyzing Polyline,GNU C++,Accepted,1437 ms,3900 KB,2012-12-03 18:07:00
1967346,Aug/01/2012 11:50,sdibt2,195D - Analyzing Polyline,GNU C++,Accepted,380 ms,6100 KB,2012-08-01 11:50:00
33862337,Jan/02/2018 14:15,xiaolin3,195D - Analyzing Polyline,GNU C++,Accepted,154 ms,5900 KB,2018-01-02 14:15:00
26677426,Apr/26/2017 10:24,RNS_JKS#,195D - Analyzing Polyline,GNU C++14,Accepted,124 ms,3100 KB,2017-04-26 10:24:00
33628721,Dec/25/2017 22:15,yaksha,195D - Analyzing Polyline,GNU C++14,Accepted,872 ms,6000 KB,2017-12-25 22:15:00
3257631,Mar/06/2013 11:48,Robert#,195D - Analyzing Polyline,GNU C++,Accepted,436 ms,3200 KB,2013-03-06 11:48:00
28813444,Jul/24/2017 06:55,kandrew,195D - Analyzing Polyline,Python 3,Accepted,1496 ms,14300 KB,2017-07-24 06:55:00
2563801,Nov/15/2012 18:29,vulpecula,195D - Analyzing Polyline,Python 2,Accepted,937 ms,17900 KB,2012-11-15 18:29:00
1836998,Jun/28/2012 22:19,nishant4,195D - Analyzing Polyline,Python 2,Accepted,1160 ms,11600 KB,2012-06-28 22:19:00
15141758,Jan/01/2016 00:49,HappyNewYearMike,195D - Analyzing Polyline,Python 2,Accepted,1340 ms,8900 KB,2016-01-01 00:49:00
1782713,Jun/11/2012 10:17,jyhuang,195D - Analyzing Polyline,GNU C++,Accepted,170 ms,5400 KB,2012-06-11 10:17:00
44542290,Oct/19/2018 15:02,vjudge5,195D - Analyzing Polyline,GNU C++11,Accepted,248 ms,3900 KB,2018-10-19 15:02:00
44543190,Oct/19/2018 15:25,vjudge3,195D - Analyzing Polyline,GNU C++14,Accepted,218 ms,4900 KB,2018-10-19 15:25:00
1913501,Jul/20/2012 12:51,neex.emil#,195D - Analyzing Polyline,Python 2,Accepted,1390 ms,11600 KB,2012-07-20 12:51:00
1999331,Aug/11/2012 11:34,sdad120#,195D - Analyzing Polyline,GNU C++,Accepted,1390 ms,5000 KB,2012-08-11 11:34:00
28813421,Jul/24/2017 06:53,vjudge3,195D - Analyzing Polyline,Python 3,Accepted,1464 ms,14200 KB,2017-07-24 06:53:00
29962022,Sep/01/2017 03:18,vjudge2,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,3900 KB,2017-09-01 03:18:00
33862603,Jan/02/2018 14:30,vjudge5,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,5900 KB,2018-01-02 14:30:00
29962025,Sep/01/2017 03:19,vjudge2,195D - Analyzing Polyline,GNU C++,Accepted,218 ms,3900 KB,2017-09-01 03:19:00
1807281,Jun/17/2012 04:24,EarlOfDitches,195D - Analyzing Polyline,GNU C++,Accepted,360 ms,5400 KB,2012-06-17 04:24:00
42804041,Sep/12/2018 19:03,vjudge1,195D - Analyzing Polyline,GNU C++11,Accepted,186 ms,3900 KB,2018-09-12 19:03:00
31204424,Oct/11/2017 03:31,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,280 ms,3900 KB,2017-10-11 03:31:00
44568990,Oct/20/2018 06:25,vjudge1,195D - Analyzing Polyline,GNU C++17,Accepted,186 ms,4100 KB,2018-10-20 06:25:00
44543425,Oct/19/2018 15:31,vjudge4,195D - Analyzing Polyline,GNU C++17,Accepted,248 ms,4300 KB,2018-10-19 15:31:00
75942033,Apr/09/2020 04:45,golfbaby,195D - Analyzing Polyline,PyPy 3,Accepted,778 ms,10600 KB,2020-04-09 04:45:00
71923841,Feb/26/2020 18:36,jschr,195D - Analyzing Polyline,GNU C++17,Accepted,248 ms,3300 KB,2020-02-26 18:36:00
47562904,Dec/27/2018 17:52,zaher__,195D - Analyzing Polyline,Python 3,Accepted,1464 ms,9400 KB,2018-12-27 17:52:00
56226157,Jun/28/2019 15:28,eduardonunes2525,195D - Analyzing Polyline,GNU C++17,Accepted,1434 ms,8900 KB,2019-06-28 15:28:00
69195804,Jan/20/2020 17:53,NMFF0B0H,195D - Analyzing Polyline,GNU C++17,Accepted,840 ms,4100 KB,2020-01-20 17:53:00
1781147,Jun/10/2012 21:54,foolish,195D - Analyzing Polyline,GNU C++,Accepted,170 ms,5400 KB,2012-06-10 21:54:00
7250176,Jul/26/2014 16:54,Kurosaki,195D - Analyzing Polyline,GNU C++,Accepted,436 ms,3300 KB,2014-07-26 16:54:00
14629774,Dec/03/2015 10:09,_noname#,195D - Analyzing Polyline,GNU C++11,Accepted,1060 ms,4000 KB,2015-12-03 10:09:00
14630440,Dec/03/2015 11:00,zxozxo4,195D - Analyzing Polyline,GNU C++11,Accepted,1060 ms,4000 KB,2015-12-03 11:00:00
1779779,Jun/10/2012 21:04,nCk,195D - Analyzing Polyline,Python 2,Accepted,1410 ms,11600 KB,2012-06-10 21:04:00
28817993,Jul/24/2017 10:42,lyf04210031,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,6000 KB,2017-07-24 10:42:00
31206631,Oct/11/2017 08:14,yzyyylx,195D - Analyzing Polyline,GNU C++14,Accepted,216 ms,4100 KB,2017-10-11 08:14:00
1967464,Aug/01/2012 12:20,sdibt5,195D - Analyzing Polyline,GNU C++,Accepted,1420 ms,5400 KB,2012-08-01 12:20:00
15846532,Feb/06/2016 20:20,NWO,195D - Analyzing Polyline,GNU C++,Accepted,342 ms,4000 KB,2016-02-06 20:20:00
1807284,Jun/17/2012 04:26,EarlOfDitches,195D - Analyzing Polyline,GNU C++,Accepted,140 ms,5400 KB,2012-06-17 04:26:00
10021388,Feb/25/2015 18:05,largequasargroup#,195D - Analyzing Polyline,GNU C++0x,Accepted,1994 ms,4000 KB,2015-02-25 18:05:00
33863367,Jan/02/2018 15:15,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,5900 KB,2018-01-02 15:15:00
44545036,Oct/19/2018 16:08,vjudge2,195D - Analyzing Polyline,GNU C++14,Accepted,186 ms,4100 KB,2018-10-19 16:08:00
2474166,Oct/31/2012 16:20,vjudge5,195D - Analyzing Polyline,GNU C++,Accepted,359 ms,1200 KB,2012-10-31 16:20:00
33862433,Jan/02/2018 14:20,xiaolin3,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,5900 KB,2018-01-02 14:20:00
28811210,Jul/24/2017 04:57,vjudge5,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,6000 KB,2017-07-24 04:57:00
32429927,Nov/18/2017 15:02,vjudge3,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,3900 KB,2017-11-18 15:02:00
28863555,Jul/25/2017 06:00,vjudge5,195D - Analyzing Polyline,GNU C++,Accepted,216 ms,6000 KB,2017-07-25 06:00:00
44543458,Oct/19/2018 15:31,lighting_kissing,195D - Analyzing Polyline,GNU C++11,Accepted,218 ms,3900 KB,2018-10-19 15:31:00
55946902,Jun/22/2019 23:29,Arrias,195D - Analyzing Polyline,GNU C++17,Accepted,1434 ms,8900 KB,2019-06-22 23:29:00
31360792,Oct/15/2017 13:26,vjudge1,195D - Analyzing Polyline,GNU C++,Accepted,156 ms,4800 KB,2017-10-15 13:26:00
33862443,Jan/02/2018 14:21,vjudge4,195D - Analyzing Polyline,GNU C++,Accepted,186 ms,5900 KB,2018-01-02 14:21:00
1781127,Jun/10/2012 21:53,foolish,195D - Analyzing Polyline,GNU C++,Accepted,190 ms,5400 KB,2012-06-10 21:53:00
18215793,Jun/02/2016 14:48,brainstorm,195D - Analyzing Polyline,GNU C++11,Accepted,466 ms,5200 KB,2016-06-02 14:48:00
44545325,Oct/19/2018 16:14,vjudge1,195D - Analyzing Polyline,GNU C++11,Accepted,186 ms,3900 KB,2018-10-19 16:14:00
