54385613,May/19/2019 16:12,boshi,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-05-19 16:12:00
40392800,Jul/16/2018 05:25,luogu_bot4,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-07-16 05:25:00
54546579,May/24/2019 09:34,Rayment,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-05-24 09:34:00
41261470,Aug/06/2018 06:05,luogu_bot2,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 06:05:00
40392770,Jul/16/2018 05:23,luogu_bot3,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-07-16 05:23:00
69808117,Jan/30/2020 06:02,Cyanic,838D - Airplane Arrangements,GNU C++14,Accepted,30 ms,200 KB,2020-01-30 06:02:00
41261921,Aug/06/2018 06:28,luogu_bot2,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 06:28:00
29607911,Aug/19/2017 23:23,satyaki3794,838D - Airplane Arrangements,GNU C++14,Accepted,62 ms,0 KB,2017-08-19 23:23:00
29273019,Aug/08/2017 00:05,DmitryGrigorev,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-08 00:05:00
41260760,Aug/06/2018 05:32,luogu_bot5,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:32:00
29286342,Aug/08/2017 16:39,haleyk100198,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-08 16:39:00
79975862,May/13/2020 14:52,vjudge5,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,3800 KB,2020-05-13 14:52:00
41260772,Aug/06/2018 05:32,luogu_bot5,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:32:00
41260754,Aug/06/2018 05:31,ifvisit,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:31:00
41260775,Aug/06/2018 05:33,luogu_bot4,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:33:00
29257632,Aug/07/2017 10:38,DBradac,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 10:38:00
40980306,Jul/30/2018 20:28,ReaLNero1,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2018-07-30 20:28:00
79975986,May/13/2020 14:53,Glu_TtoNy,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,4000 KB,2020-05-13 14:53:00
41242899,Aug/05/2018 14:28,ShichengXiao,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2018-08-05 14:28:00
41260931,Aug/06/2018 05:41,luogu_bot4,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:41:00
45034778,Oct/29/2018 09:59,ConnectorB,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-10-29 09:59:00
41260978,Aug/06/2018 05:42,luogu_bot4,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:42:00
41260809,Aug/06/2018 05:35,luogu_bot5,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:35:00
