24110484,Jan/25/2017 14:59,WeHaveInt,237D - T-decomposition,GNU C++11,Accepted,780 ms,17300 KB,2017-01-25 14:59:00
2433206,Oct/25/2012 21:09,* xlk,237D - T-decomposition,GNU C++,Accepted,203 ms,1200 KB,2012-10-25 21:09:00
2436938,Oct/26/2012 12:24,ttiplea,237D - T-decomposition,GNU C++,Accepted,500 ms,3700 KB,2012-10-26 12:24:00
4059725,Jul/13/2013 17:04,bnuvjudge2,237D - T-decomposition,GNU C++,Accepted,406 ms,4600 KB,2013-07-13 17:04:00
2433583,Oct/25/2012 21:18,* yukim,237D - T-decomposition,GNU C++,Accepted,281 ms,4400 KB,2012-10-25 21:18:00
5904129,Feb/05/2014 18:03,vjudge5,237D - T-decomposition,GNU C++,Accepted,218 ms,2000 KB,2014-02-05 18:03:00
36606267,Mar/25/2018 06:07,vjudge2,237D - T-decomposition,GNU C++17,Accepted,1184 ms,21400 KB,2018-03-25 06:07:00
2496306,Nov/04/2012 04:53,zhengyuanhang,237D - T-decomposition,GNU C++,Accepted,218 ms,1900 KB,2012-11-04 04:53:00
4058497,Jul/13/2013 11:51,bnuvjudge2,237D - T-decomposition,GNU C++,Accepted,218 ms,3800 KB,2013-07-13 11:51:00
42183120,Aug/27/2018 22:20,crathva,237D - T-decomposition,GNU C++17,Accepted,342 ms,3800 KB,2018-08-27 22:20:00
10058960,Feb/28/2015 06:32,vjudge2,237D - T-decomposition,GNU C++,Accepted,312 ms,6700 KB,2015-02-28 06:32:00
10155790,Mar/05/2015 06:30,until_the_end,237D - T-decomposition,GNU C++,Accepted,280 ms,6700 KB,2015-03-05 06:30:00
2488926,Nov/02/2012 07:24,msg555#,237D - T-decomposition,GNU C++,Accepted,468 ms,2000 KB,2012-11-02 07:24:00
3964922,Jun/26/2013 22:15,moji,237D - T-decomposition,GNU C++,Accepted,203 ms,3500 KB,2013-06-26 22:15:00
4066376,Jul/14/2013 05:40,bnuvjudge2,237D - T-decomposition,GNU C++,Accepted,218 ms,4600 KB,2013-07-14 05:40:00
69849633,Jan/30/2020 18:15,NMFF0B0H,237D - T-decomposition,GNU C++17,Accepted,1434 ms,8500 KB,2020-01-30 18:15:00
10133978,Mar/03/2015 17:40,vjudge1,237D - T-decomposition,GNU C++,Accepted,278 ms,6100 KB,2015-03-03 17:40:00
2468924,Oct/30/2012 03:30,Yarko,237D - T-decomposition,GNU C++,Accepted,453 ms,4700 KB,2012-10-30 03:30:00
74718558,Mar/29/2020 13:28,invictus_123#,237D - T-decomposition,GNU C++14,Accepted,280 ms,6800 KB,2020-03-29 13:28:00
2454787,Oct/28/2012 11:15,cuiaoxiang,237D - T-decomposition,GNU C++0x,Accepted,265 ms,7300 KB,2012-10-28 11:15:00
