74232989,Mar/24/2020 21:47,Sevlll,939D - Love Rescue,PyPy 3,Accepted,171 ms,2400 KB,2020-03-24 21:47:00
36724817,Mar/29/2018 18:17,trngyennhi124,939D - Love Rescue,GNU C++14,Accepted,15 ms,3800 KB,2018-03-29 18:17:00
35420303,Feb/17/2018 17:31,aya_elymany,939D - Love Rescue,GNU C++11,Accepted,15 ms,2200 KB,2018-02-17 17:31:00
37502859,Apr/21/2018 07:40,gabrielliu2001,939D - Love Rescue,GNU C++11,Accepted,46 ms,4100 KB,2018-04-21 07:40:00
35420715,Feb/17/2018 17:40,aya_elymany,939D - Love Rescue,GNU C++11,Accepted,15 ms,2200 KB,2018-02-17 17:40:00
45175310,Nov/01/2018 17:27,numbersense,939D - Love Rescue,Python 3,Accepted,171 ms,500 KB,2018-11-01 17:27:00
35473530,Feb/19/2018 17:39,BelowLuminous,939D - Love Rescue,GNU C++14,Accepted,30 ms,2000 KB,2018-02-19 17:39:00
43683210,Oct/02/2018 14:15,Atalasion#,939D - Love Rescue,GNU C++17,Accepted,46 ms,700 KB,2018-10-02 14:15:00
45947967,Nov/19/2018 06:05,nicoing,939D - Love Rescue,GNU C++11,Accepted,30 ms,200 KB,2018-11-19 06:05:00
52472728,Apr/07/2019 22:43,milutin_,939D - Love Rescue,GNU C++14,Accepted,62 ms,400 KB,2019-04-07 22:43:00
35395891,Feb/17/2018 13:27,* ruhan.habib39,939D - Love Rescue,GNU C++17,Accepted,15 ms,2100 KB,2018-02-17 13:27:00
62076772,Oct/07/2019 21:45,deadguy#,939D - Love Rescue,PyPy 3,Accepted,202 ms,3700 KB,2019-10-07 21:45:00
35762884,Feb/27/2018 16:07,bert30702,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-27 16:07:00
38795698,May/31/2018 12:05,vjudge4,939D - Love Rescue,GNU C++14,Accepted,46 ms,3700 KB,2018-05-31 12:05:00
39826637,Jul/01/2018 17:16,xuzhiyuan,939D - Love Rescue,GNU C++,Accepted,31 ms,200 KB,2018-07-01 17:16:00
69673543,Jan/28/2020 16:40,LeThanhLong582000,939D - Love Rescue,GNU C++17,Accepted,62 ms,400 KB,2020-01-28 16:40:00
35510563,Feb/20/2018 06:52,quhengyi11,939D - Love Rescue,GNU C++,Accepted,15 ms,2200 KB,2018-02-20 06:52:00
35648644,Feb/24/2018 17:30,hicodeworld,939D - Love Rescue,GNU C++14,Accepted,46 ms,3500 KB,2018-02-24 17:30:00
69244487,Jan/21/2020 15:29,luogu_bot2,939D - Love Rescue,GNU C++11,Accepted,93 ms,200 KB,2020-01-21 15:29:00
35428676,Feb/17/2018 21:56,Brankonymous,939D - Love Rescue,GNU C++14,Accepted,46 ms,2100 KB,2018-02-17 21:56:00
45347142,Nov/06/2018 07:26,luogu_bot3,939D - Love Rescue,GNU C++11,Accepted,31 ms,200 KB,2018-11-06 07:26:00
35412632,Feb/17/2018 14:50,Windows_XP,939D - Love Rescue,GNU C++11,Accepted,30 ms,2500 KB,2018-02-17 14:50:00
35462112,Feb/19/2018 08:04,Wil12Fred#,939D - Love Rescue,GNU C++14,Accepted,46 ms,2400 KB,2018-02-19 08:04:00
35529746,Feb/20/2018 21:01,go_on_coding,939D - Love Rescue,GNU C++14,Accepted,62 ms,2300 KB,2018-02-20 21:01:00
35405875,Feb/17/2018 14:11,AdolfQ,939D - Love Rescue,GNU C++,Accepted,15 ms,4000 KB,2018-02-17 14:11:00
