12545572,Aug/15/2015 13:00,coder05,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,6300 KB,2015-08-15 13:00:00
15283794,Jan/10/2016 22:57,bluefi,567D - One-Dimensional Battle Ships,GNU C++,Accepted,499 ms,6300 KB,2016-01-10 22:57:00
27004959,May/11/2017 04:54,dailong,567D - One-Dimensional Battle Ships,GNU C++,Accepted,374 ms,800 KB,2017-05-11 04:54:00
67585896,Dec/25/2019 11:16,r57shell,567D - One-Dimensional Battle Ships,PyPy 3,Accepted,795 ms,19500 KB,2019-12-25 11:16:00
12386785,Aug/06/2015 13:33,duongtnhat,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,374 ms,800 KB,2015-08-06 13:33:00
40772253,Jul/26/2018 12:06,WhuNoel,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,499 ms,6300 KB,2018-07-26 12:06:00
17181922,Apr/06/2016 11:05,freebsdx,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,8300 KB,2016-04-06 11:05:00
12361687,Aug/05/2015 19:39,* fram,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,202 ms,6300 KB,2015-08-05 19:39:00
13522572,Oct/10/2015 09:42,tommyricardo,567D - One-Dimensional Battle Ships,GNU C++,Accepted,171 ms,6300 KB,2015-10-10 09:42:00
20459782,Sep/08/2016 17:02,CHAOS.,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,6300 KB,2016-09-08 17:02:00
12417603,Aug/08/2015 21:05,tanmaysahay94,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-08 21:05:00
18642233,Jun/22/2016 10:44,MightyToMo,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,795 ms,6300 KB,2016-06-22 10:44:00
12365809,Aug/05/2015 20:07,vladvis,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,468 ms,6300 KB,2015-08-05 20:07:00
13522584,Oct/10/2015 09:43,ntu-vjudge,567D - One-Dimensional Battle Ships,GNU C++,Accepted,155 ms,6300 KB,2015-10-10 09:43:00
78427386,Apr/29/2020 01:01,tamajitbuba,567D - One-Dimensional Battle Ships,GNU C++14,Accepted,171 ms,6400 KB,2020-04-29 01:01:00
33990981,Jan/08/2018 00:06,Kaitokid,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,140 ms,8300 KB,2018-01-08 00:06:00
17569096,Apr/29/2016 19:05,vjudge5,567D - One-Dimensional Battle Ships,GNU C++,Accepted,249 ms,14800 KB,2016-04-29 19:05:00
12486040,Aug/13/2015 05:20,vjudge5,567D - One-Dimensional Battle Ships,GNU C++,Accepted,156 ms,6300 KB,2015-08-13 05:20:00
15189876,Jan/05/2016 13:14,shubhamgoyal__,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,468 ms,6300 KB,2016-01-05 13:14:00
12379289,Aug/06/2015 02:55,OMG_wc,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,139 ms,6300 KB,2015-08-06 02:55:00
17901892,May/14/2016 09:38,hungchuhui,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,171 ms,8300 KB,2016-05-14 09:38:00
23723067,Jan/11/2017 20:30,FLYSKY,567D - One-Dimensional Battle Ships,GNU C++,Accepted,62 ms,3000 KB,2017-01-11 20:30:00
40772338,Jul/26/2018 12:09,WhuNoel,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,483 ms,6300 KB,2018-07-26 12:09:00
13140246,Sep/22/2015 15:11,wozszym,567D - One-Dimensional Battle Ships,GNU C++,Accepted,186 ms,6400 KB,2015-09-22 15:11:00
17063306,Mar/31/2016 01:46,maratonando3,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,156 ms,8300 KB,2016-03-31 01:46:00
14698113,Dec/08/2015 15:55,Majid,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,280 ms,6300 KB,2015-12-08 15:55:00
58704145,Aug/13/2019 11:51,vjudge2,567D - One-Dimensional Battle Ships,MS C++,Accepted,312 ms,6300 KB,2019-08-13 11:51:00
72041216,Feb/28/2020 17:09,satanicO#,567D - One-Dimensional Battle Ships,GNU C++17,Accepted,389 ms,6400 KB,2020-02-28 17:09:00
12365041,Aug/05/2015 20:01,* jzh,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-05 20:01:00
12377534,Aug/05/2015 23:14,numbertheorist17,567D - One-Dimensional Battle Ships,GNU C++11,Accepted,452 ms,6300 KB,2015-08-05 23:14:00
