21038582,Sep/30/2016 18:44,altairashish,721D - Maxim and Array,GNU C++14,Accepted,685 ms,11200 KB,2016-09-30 18:44:00
41380708,Aug/09/2018 05:02,vjudge2,721D - Maxim and Array,GNU C++,Accepted,280 ms,9400 KB,2018-08-09 05:02:00
56039094,Jun/25/2019 16:28,igba,721D - Maxim and Array,GNU C++17,Accepted,187 ms,3100 KB,2019-06-25 16:28:00
21039567,Sep/30/2016 18:50,* ec24,721D - Maxim and Array,GNU C++11,Accepted,685 ms,7700 KB,2016-09-30 18:50:00
25945182,Mar/30/2017 11:18,vjudge2,721D - Maxim and Array,GNU C++11,Accepted,156 ms,9600 KB,2017-03-30 11:18:00
57725086,Jul/25/2019 09:53,vjudge1,721D - Maxim and Array,GNU C++14,Accepted,171 ms,7800 KB,2019-07-25 09:53:00
25646630,Mar/19/2017 16:04,BBuf,721D - Maxim and Array,GNU C++11,Accepted,249 ms,11500 KB,2017-03-19 16:04:00
21045185,Sep/30/2016 20:23,Antimony,721D - Maxim and Array,GNU C++,Accepted,187 ms,7600 KB,2016-09-30 20:23:00
25945173,Mar/30/2017 11:18,Mentholzzz,721D - Maxim and Array,GNU C++11,Accepted,187 ms,9600 KB,2017-03-30 11:18:00
21390045,Oct/12/2016 21:51,IcyGirl#,721D - Maxim and Array,GNU C++11,Accepted,312 ms,13500 KB,2016-10-12 21:51:00
21059852,Oct/01/2016 10:35,TRiddle,721D - Maxim and Array,GNU C++,Accepted,171 ms,7700 KB,2016-10-01 10:35:00
27830717,Jun/16/2017 20:47,Dalgerok,721D - Maxim and Array,GNU C++11,Accepted,405 ms,9500 KB,2017-06-16 20:47:00
21115541,Oct/02/2016 16:13,dzhavaharnal,721D - Maxim and Array,GNU C++11,Accepted,732 ms,3500 KB,2016-10-02 16:13:00
21278435,Oct/08/2016 14:10,Bryan1220,721D - Maxim and Array,Python 3,Accepted,1403 ms,44600 KB,2016-10-08 14:10:00
29305921,Aug/09/2017 15:40,XieNaoban,721D - Maxim and Array,GNU C++11,Accepted,670 ms,10600 KB,2017-08-09 15:40:00
33223160,Dec/13/2017 21:46,realcomplex,721D - Maxim and Array,GNU C++11,Accepted,670 ms,9700 KB,2017-12-13 21:46:00
57729273,Jul/25/2019 11:06,vjudge2,721D - Maxim and Array,GNU C++17,Accepted,186 ms,3100 KB,2019-07-25 11:06:00
21125971,Oct/03/2016 01:52,sherlock_96,721D - Maxim and Array,GNU C++14,Accepted,701 ms,23600 KB,2016-10-03 01:52:00
21169636,Oct/03/2016 20:52,thanhan.ttth#,721D - Maxim and Array,GNU C++,Accepted,171 ms,7700 KB,2016-10-03 20:52:00
21048646,Sep/30/2016 22:03,otrecnoc,721D - Maxim and Array,GNU C++11,Accepted,218 ms,7700 KB,2016-09-30 22:03:00
75649016,Apr/06/2020 14:09,dontquit,721D - Maxim and Array,GNU C++17,Accepted,249 ms,9600 KB,2020-04-06 14:09:00
29347242,Aug/11/2017 11:05,wanggann,721D - Maxim and Array,GNU C++14,Accepted,514 ms,10400 KB,2017-08-11 11:05:00
