7306486,Aug/01/2014 14:18,WuxinyuJason,416D - Population Size,GNU C++,Accepted,46 ms,0 KB,2014-08-01 14:18:00
7214815,Jul/24/2014 12:17,DaibaNana,416D - Population Size,FPC,Accepted,46 ms,1600 KB,2014-07-24 12:17:00
8507470,Nov/01/2014 04:29,VictorWonder,416D - Population Size,GNU C++,Accepted,77 ms,1600 KB,2014-11-01 04:29:00
37506523,Apr/21/2018 10:27,liyifeng,416D - Population Size,GNU C++,Accepted,467 ms,5300 KB,2018-04-21 10:27:00
7401004,Aug/09/2014 08:58,Tzn-40,416D - Population Size,GNU C++,Accepted,171 ms,0 KB,2014-08-09 08:58:00
22694333,Dec/04/2016 14:16,vjudge3,416D - Population Size,GNU C++,Accepted,46 ms,1600 KB,2016-12-04 14:16:00
6341551,Apr/13/2014 13:23,* watashi,416D - Population Size,Haskell,Accepted,77 ms,5100 KB,2014-04-13 13:23:00
7303577,Aug/01/2014 06:52,yzm,416D - Population Size,GNU C++,Accepted,171 ms,0 KB,2014-08-01 06:52:00
17888984,May/13/2016 15:33,Tzn-40,416D - Population Size,GNU C++,Accepted,171 ms,3800 KB,2016-05-13 15:33:00
27070989,May/13/2017 10:56,AnnieCai,416D - Population Size,GNU C++,Accepted,452 ms,1600 KB,2017-05-13 10:56:00
27070926,May/13/2017 10:52,hbxiaohao,416D - Population Size,GNU C++14,Accepted,374 ms,1600 KB,2017-05-13 10:52:00
35006085,Feb/07/2018 20:10,BEAR0131,416D - Population Size,GNU C++11,Accepted,46 ms,4000 KB,2018-02-07 20:10:00
31738396,Oct/26/2017 15:44,htc001,416D - Population Size,GNU C++,Accepted,452 ms,1600 KB,2017-10-26 15:44:00
14889714,Dec/19/2015 21:05,Elshiko,416D - Population Size,GNU C++11,Accepted,467 ms,1600 KB,2015-12-19 21:05:00
12480050,Aug/12/2015 16:20,BillGatesXXXNew,416D - Population Size,GNU C++,Accepted,62 ms,1900 KB,2015-08-12 16:20:00
37254039,Apr/12/2018 17:52,syx2018,416D - Population Size,MS C++,Accepted,234 ms,5000 KB,2018-04-12 17:52:00
7727819,Sep/09/2014 15:57,liyang21,416D - Population Size,GNU C++,Accepted,46 ms,7800 KB,2014-09-09 15:57:00
6352412,Apr/14/2014 08:41,galois25,416D - Population Size,MS C++,Accepted,187 ms,1600 KB,2014-04-14 08:41:00
14925358,Dec/22/2015 15:57,shubhamgoyal__,416D - Population Size,GNU C++11,Accepted,451 ms,1700 KB,2015-12-22 15:57:00
6355937,Apr/14/2014 15:33,keroro520,416D - Population Size,GNU C++,Accepted,46 ms,1500 KB,2014-04-14 15:33:00
6345429,Apr/13/2014 16:19,safarisoul,416D - Population Size,Java 7,Accepted,405 ms,3100 KB,2014-04-13 16:19:00
6385343,Apr/17/2014 18:54,gconeice,416D - Population Size,GNU C++,Accepted,61 ms,800 KB,2014-04-17 18:54:00
6569378,May/08/2014 00:41,ReaverSe,416D - Population Size,MS C++,Accepted,46 ms,0 KB,2014-05-08 00:41:00
37511598,Apr/21/2018 13:53,liyifeng,416D - Population Size,GNU C++,Accepted,468 ms,5300 KB,2018-04-21 13:53:00
6362935,Apr/15/2014 10:21,1101050424,416D - Population Size,GNU C++,Accepted,62 ms,11700 KB,2014-04-15 10:21:00
6370965,Apr/16/2014 05:48,vjudge4,416D - Population Size,GNU C++,Accepted,62 ms,1500 KB,2014-04-16 05:48:00
12492254,Aug/13/2015 16:11,KLNSncn,416D - Population Size,GNU C++,Accepted,467 ms,1600 KB,2015-08-13 16:11:00
20911613,Sep/25/2016 19:21,theodor.moroianu,416D - Population Size,GNU C++11,Accepted,467 ms,800 KB,2016-09-25 19:21:00
6371204,Apr/16/2014 07:21,waterman1009#,416D - Population Size,GNU C++,Accepted,62 ms,1500 KB,2014-04-16 07:21:00
7513684,Aug/20/2014 10:58,Loner0822,416D - Population Size,GNU C++,Accepted,61 ms,1600 KB,2014-08-20 10:58:00
28417698,Jul/11/2017 04:44,15310520303,416D - Population Size,GNU C++,Accepted,483 ms,2000 KB,2017-07-11 04:44:00
10029317,Feb/26/2015 10:35,Plumrain,416D - Population Size,Haskell,Accepted,62 ms,5200 KB,2015-02-26 10:35:00
31148806,Oct/08/2017 18:54,971958171,416D - Population Size,MS C++,Accepted,187 ms,200 KB,2017-10-08 18:54:00
6401240,Apr/18/2014 13:00,capttawish,416D - Population Size,GNU C++,Accepted,46 ms,1600 KB,2014-04-18 13:00:00
9813571,Feb/13/2015 09:12,ryunosuke.iwai,416D - Population Size,GNU C++,Accepted,62 ms,1400 KB,2015-02-13 09:12:00
