9716329,Feb/04/2015 17:00,AhmedElsayedMahmoud,47D - Safe,GNU C,Accepted,62 ms,0 KB,2015-02-04 17:00:00
9719410,Feb/04/2015 19:29,AhmedElsayedMahmoud,47D - Safe,GNU C,Accepted,92 ms,0 KB,2015-02-04 19:29:00
5836592,Jan/30/2014 10:47,vjudge2,47D - Safe,GNU C++,Accepted,60 ms,0 KB,2014-01-30 10:47:00
3077959,Feb/06/2013 18:47,hananahmad114,47D - Safe,Java 7,Accepted,234 ms,100 KB,2013-02-06 18:47:00
24276959,Jan/30/2017 23:20,MohammadJA,47D - Safe,GNU C++14,Accepted,60 ms,25400 KB,2017-01-30 23:20:00
214627,Dec/07/2010 20:21,kurakun,47D - Safe,GNU C++,Accepted,1050 ms,1300 KB,2010-12-07 20:21:00
41235164,Aug/05/2018 09:48,sjc_fan#,47D - Safe,GNU C++11,Accepted,60 ms,0 KB,2018-08-05 09:48:00
17382683,Apr/19/2016 05:25,Match_Moving,47D - Safe,GNU C++11,Accepted,810 ms,11400 KB,2016-04-19 05:25:00
569117,Jul/29/2011 10:14,vjudge4,47D - Safe,GNU C++,Accepted,2160 ms,126000 KB,2011-07-29 10:14:00
9185925,Dec/18/2014 14:23,bnuvjudge,47D - Safe,GNU C++,Accepted,62 ms,0 KB,2014-12-18 14:23:00
37984748,May/07/2018 07:24,ruo,47D - Safe,GNU C++17,Accepted,124 ms,3300 KB,2018-05-07 07:24:00
1186426,Feb/17/2012 11:26,QZAR,47D - Safe,GNU C++,Accepted,130 ms,1400 KB,2012-02-17 11:26:00
15143432,Jan/01/2016 02:18,HappyNewYearMike,47D - Safe,GNU C++,Accepted,154 ms,0 KB,2016-01-01 02:18:00
67607054,Dec/25/2019 16:59,NMFF0B0H,47D - Safe,GNU C++17,Accepted,62 ms,0 KB,2019-12-25 16:59:00
63059858,Oct/21/2019 11:11,XyzL,47D - Safe,GNU C++11,Accepted,592 ms,35700 KB,2019-10-21 11:11:00
876420,Dec/07/2010 20:13,Suvorov#,47D - Safe,MS C++,Accepted,2130 ms,1400 KB,2010-12-07 20:13:00
47593832,Dec/27/2018 20:29,moss3s,47D - Safe,Kotlin,Accepted,2026 ms,5900 KB,2018-12-27 20:29:00
215187,Dec/08/2010 00:41,mohammadrdeh,47D - Safe,GNU C++,Accepted,90 ms,1300 KB,2010-12-08 00:41:00
18035807,May/22/2016 23:27,Shayan,47D - Safe,GNU C++11,Accepted,92 ms,2200 KB,2016-05-22 23:27:00
215698,Dec/10/2010 19:37,pshtanko,47D - Safe,MS C++,Accepted,300 ms,1300 KB,2010-12-10 19:37:00
5836599,Jan/30/2014 10:49,vjudge4,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2014-01-30 10:49:00
70742114,Feb/10/2020 19:16,kpgong,47D - Safe,GNU C++11,Accepted,2246 ms,24400 KB,2020-02-10 19:16:00
214240,Dec/07/2010 19:47,* KrK,47D - Safe,GNU C++,Accepted,130 ms,1300 KB,2010-12-07 19:47:00
23563841,Jan/06/2017 01:25,Ali.Pi,47D - Safe,GNU C++14,Accepted,124 ms,1900 KB,2017-01-06 01:25:00
277500,Feb/09/2011 07:17,ahmadabdolkader,47D - Safe,Java 6,Accepted,380 ms,42400 KB,2011-02-09 07:17:00
1895301,Jul/12/2012 14:09,vjudge5,47D - Safe,MS C++,Accepted,170 ms,1400 KB,2012-07-12 14:09:00
53493766,Apr/29/2019 13:30,kenimo,47D - Safe,GNU C++17,Accepted,186 ms,0 KB,2019-04-29 13:30:00
18881042,Jul/04/2016 13:08,Batman,47D - Safe,GNU C++11,Accepted,156 ms,32800 KB,2016-07-04 13:08:00
214853,Dec/07/2010 20:50,* Sereja,47D - Safe,FPC,Accepted,200 ms,800 KB,2010-12-07 20:50:00
406640,Apr/23/2011 23:01,Sereja,47D - Safe,FPC,Accepted,190 ms,1000 KB,2011-04-23 23:01:00
52849978,Apr/16/2019 18:35,spacewalker,47D - Safe,GNU C++11,Accepted,92 ms,0 KB,2019-04-16 18:35:00
30046210,Sep/04/2017 06:20,sturdyplum,47D - Safe,GNU C++14,Accepted,92 ms,0 KB,2017-09-04 06:20:00
260212,Jan/23/2011 13:04,lasten,47D - Safe,MS C++,Accepted,1300 ms,1300 KB,2011-01-23 13:04:00
17083397,Apr/01/2016 04:31,freebsdx,47D - Safe,GNU C++11,Accepted,560 ms,11400 KB,2016-04-01 04:31:00
29295632,Aug/09/2017 04:29,spsmoj2,47D - Safe,GNU C++,Accepted,218 ms,1900 KB,2017-08-09 04:29:00
60590671,Sep/15/2019 04:57,AyaBenSaad,47D - Safe,GNU C++14,Accepted,466 ms,31000 KB,2019-09-15 04:57:00
214139,Dec/07/2010 19:40,* Copymaster,47D - Safe,MS C++,Accepted,270 ms,1300 KB,2010-12-07 19:40:00
29151705,Aug/03/2017 12:26,theodor.moroianu,47D - Safe,GNU C++11,Accepted,62 ms,2100 KB,2017-08-03 12:26:00
722824,Sep/24/2011 20:42,mkagenius,47D - Safe,GNU C++,Accepted,80 ms,1400 KB,2011-09-24 20:42:00
5836468,Jan/30/2014 10:28,vjudge1,47D - Safe,GNU C++,Accepted,92 ms,200 KB,2014-01-30 10:28:00
52634187,Apr/12/2019 11:59,vjudge2,47D - Safe,GNU C++11,Accepted,124 ms,0 KB,2019-04-12 11:59:00
74227154,Mar/24/2020 20:34,ivan24,47D - Safe,GNU C++14,Accepted,218 ms,0 KB,2020-03-24 20:34:00
3968566,Jun/28/2013 00:12,marspeople#,47D - Safe,GNU C++,Accepted,62 ms,7200 KB,2013-06-28 00:12:00
5318712,Dec/01/2013 08:45,cxlove,47D - Safe,GNU C++,Accepted,92 ms,0 KB,2013-12-01 08:45:00
215578,Dec/09/2010 15:53,zt5840,47D - Safe,GNU C++,Accepted,130 ms,1300 KB,2010-12-09 15:53:00
42157582,Aug/27/2018 18:46,TISparta,47D - Safe,GNU C++14,Accepted,466 ms,17700 KB,2018-08-27 18:46:00
603783,Aug/12/2011 13:04,mj123,47D - Safe,GNU C++,Accepted,80 ms,1300 KB,2011-08-12 13:04:00
214462,Dec/07/2010 20:03,zjf.sjtu,47D - Safe,MS C++,Accepted,140 ms,1400 KB,2010-12-07 20:03:00
215682,Dec/10/2010 14:15,Spoorock,47D - Safe,Delphi,Accepted,1610 ms,900 KB,2010-12-10 14:15:00
29091084,Aug/01/2017 10:24,Jayzhang,47D - Safe,GNU C++11,Accepted,92 ms,2100 KB,2017-08-01 10:24:00
