20587988,Sep/13/2016 20:37,Whalanator,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-13 20:37:00
51281851,Mar/14/2019 07:40,RobeZH,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2019-03-14 07:40:00
20616514,Sep/14/2016 16:48,BENYAM1N,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 16:48:00
20677333,Sep/17/2016 12:08,plzrun,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-17 12:08:00
20603112,Sep/14/2016 05:03,lzr010506,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-14 05:03:00
20642395,Sep/15/2016 17:38,lzw4896s,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 17:38:00
22869392,Dec/11/2016 06:03,YxuanwKeith,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-12-11 06:03:00
20656756,Sep/16/2016 12:27,basasuya,714D - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-16 12:27:00
20602027,Sep/14/2016 03:18,Wuvin,713B - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-14 03:18:00
20938026,Sep/27/2016 08:10,Randolph87#,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-27 08:10:00
27008596,May/11/2017 11:28,RNS_JKS,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-11 11:28:00
29353894,Aug/11/2017 16:18,Asuna1149,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,1900 KB,2017-08-11 16:18:00
29354004,Aug/11/2017 16:24,Jeremy1149,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,1900 KB,2017-08-11 16:24:00
37970381,May/06/2018 19:02,crathva,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,3300 KB,2018-05-06 19:02:00
25602891,Mar/18/2017 17:32,vjudge2,713B - Searching Rectangles,GNU C++,Accepted,15 ms,2000 KB,2017-03-18 17:32:00
20613852,Sep/14/2016 15:26,yanQval,713B - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-14 15:26:00
20588743,Sep/13/2016 20:41,Meirambek,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-13 20:41:00
20593009,Sep/13/2016 21:10,Baklazan,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-13 21:10:00
20605898,Sep/14/2016 08:21,Shinta,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-14 08:21:00
20582209,Sep/13/2016 20:10,ballon,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-13 20:10:00
20597648,Sep/13/2016 22:49,ainta,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 22:49:00
20665923,Sep/16/2016 20:50,sundariam,714D - Searching Rectangles,MS C++,Accepted,30 ms,0 KB,2016-09-16 20:50:00
38585488,May/24/2018 14:59,Fish_Li,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2018-05-24 14:59:00
25602819,Mar/18/2017 17:29,vjudge2,713B - Searching Rectangles,GNU C++,Accepted,15 ms,2000 KB,2017-03-18 17:29:00
20644306,Sep/15/2016 19:37,zagidullina,714D - Searching Rectangles,MS C++,Accepted,15 ms,0 KB,2016-09-15 19:37:00
20641500,Sep/15/2016 17:00,J_X,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 17:00:00
20607266,Sep/14/2016 09:34,quailty,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 09:34:00
20643749,Sep/15/2016 19:08,udashi,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-15 19:08:00
40479383,Jul/17/2018 16:21,cw151310210,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2018-07-17 16:21:00
23914309,Jan/18/2017 07:35,vjudge4,713B - Searching Rectangles,GNU C++,Accepted,31 ms,2000 KB,2017-01-18 07:35:00
20603107,Sep/14/2016 05:03,lzr010506,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 05:03:00
20589523,Sep/13/2016 20:46,yarek,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:46:00
20589836,Sep/13/2016 20:48,jiaqiyang,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-13 20:48:00
20716749,Sep/17/2016 21:11,MBogda,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2016-09-17 21:11:00
20617716,Sep/14/2016 17:14,khasanovaa,714D - Searching Rectangles,MS C++,Accepted,15 ms,0 KB,2016-09-14 17:14:00
20774060,Sep/20/2016 14:28,zkGaia,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-20 14:28:00
35433247,Feb/18/2018 02:17,rainboy,714D - Searching Rectangles,GNU C,Accepted,15 ms,1800 KB,2018-02-18 02:17:00
50664368,Mar/02/2019 05:49,ezoilearner,714D - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2019-03-02 05:49:00
20604254,Sep/14/2016 06:38,nobystander,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 06:38:00
26654481,Apr/25/2017 10:02,EurusHolmes,714D - Searching Rectangles,GNU C++,Accepted,15 ms,1900 KB,2017-04-25 10:02:00
20588525,Sep/13/2016 20:40,mariand,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:40:00
20644192,Sep/15/2016 19:33,Vosatorp,713B - Searching Rectangles,PyPy 3,Accepted,186 ms,300 KB,2016-09-15 19:33:00
20644207,Sep/15/2016 19:33,Vosatorp,714D - Searching Rectangles,PyPy 3,Accepted,186 ms,300 KB,2016-09-15 19:33:00
20660635,Sep/16/2016 16:19,LsFlyt,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-16 16:19:00
27135605,May/15/2017 19:31,naij,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-05-15 19:31:00
20588354,Sep/13/2016 20:39,loser21,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2016-09-13 20:39:00
27315953,May/24/2017 10:25,YukimiNan,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2017-05-24 10:25:00
20583314,Sep/13/2016 20:14,hohomu,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-13 20:14:00
20671152,Sep/17/2016 04:44,XenoAmess,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-17 04:44:00
20583213,Sep/13/2016 20:14,IvL,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:14:00
23914303,Jan/18/2017 07:34,Vo1d,714D - Searching Rectangles,GNU C++11,Accepted,31 ms,2000 KB,2017-01-18 07:34:00
40479412,Jul/17/2018 16:22,dhuacm11,713B - Searching Rectangles,GNU C++11,Accepted,31 ms,0 KB,2018-07-17 16:22:00
20632834,Sep/15/2016 09:16,PItS,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-15 09:16:00
20723687,Sep/18/2016 05:46,Petru,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-18 05:46:00
27924320,Jun/20/2017 14:58,barsa492,714D - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-06-20 14:58:00
20648069,Sep/15/2016 22:53,mariapro,713B - Searching Rectangles,MS C++,Accepted,15 ms,0 KB,2016-09-15 22:53:00
20588978,Sep/13/2016 20:43,sigma425,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:43:00
23355559,Dec/27/2016 11:50,NiroBC,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,1800 KB,2016-12-27 11:50:00
32560325,Nov/22/2017 22:37,gaporf,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2017-11-22 22:37:00
20591230,Sep/13/2016 20:57,blackbori,713B - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-13 20:57:00
43044636,Sep/18/2018 20:22,realcomplex,713B - Searching Rectangles,GNU C++14,Accepted,31 ms,0 KB,2018-09-18 20:22:00
20583914,Sep/13/2016 20:16,azneyes,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:16:00
20584268,Sep/13/2016 20:18,I_Love_Tina,713B - Searching Rectangles,GNU C++14,Accepted,30 ms,0 KB,2016-09-13 20:18:00
23412090,Dec/30/2016 06:14,orbitingflea,713B - Searching Rectangles,GNU C++,Accepted,15 ms,1800 KB,2016-12-30 06:14:00
20589604,Sep/13/2016 20:46,aurinegro,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-13 20:46:00
20596299,Sep/13/2016 21:32,zgncycz,714D - Searching Rectangles,GNU C++,Accepted,30 ms,0 KB,2016-09-13 21:32:00
20825287,Sep/22/2016 22:16,pas.andrei,714D - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-22 22:16:00
37840229,May/02/2018 15:43,SovietPower,714D - Searching Rectangles,GNU C++,Accepted,31 ms,3300 KB,2018-05-02 15:43:00
28591351,Jul/16/2017 11:26,vjudge3,714D - Searching Rectangles,GNU C++,Accepted,15 ms,2100 KB,2017-07-16 11:26:00
20611917,Sep/14/2016 13:55,DBradac#,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-14 13:55:00
20595472,Sep/13/2016 21:27,M.Mahdi,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB,2016-09-13 21:27:00
20605717,Sep/14/2016 08:11,Shinta,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-14 08:11:00
20605836,Sep/14/2016 08:17,Shinta,713B - Searching Rectangles,GNU C++14,Accepted,15 ms,0 KB,2016-09-14 08:17:00
20617103,Sep/14/2016 17:00,IcyGirl#,713B - Searching Rectangles,GNU C++,Accepted,15 ms,0 KB,2016-09-14 17:00:00
20583018,Sep/13/2016 20:13,ITDOI,713B - Searching Rectangles,GNU C++11,Accepted,15 ms,0 KB,2016-09-13 20:13:00
80045273,May/14/2020 10:53,sharrad99,714D - Searching Rectangles,GNU C++17 (64),Accepted,31 ms,4200 KB,2020-05-14 10:53:00
20609090,Sep/14/2016 11:09,ParhamMLK,714D - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-14 11:09:00
23495404,Jan/02/2017 11:34,Viva Arpa!: shengdebao#,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,2000 KB,2017-01-02 11:34:00
20603440,Sep/14/2016 05:31,SoiMae,713B - Searching Rectangles,GNU C++,Accepted,31 ms,0 KB,2016-09-14 05:31:00
80056611,May/14/2020 13:07,sharrad99,714D - Searching Rectangles,GNU C++17 (64),Accepted,46 ms,4200 KB,2020-05-14 13:07:00
49195173,Jan/30/2019 13:05,vjudge5,713B - Searching Rectangles,MS C++,Accepted,31 ms,0 KB,2019-01-30 13:05:00
