36123823,Mar/09/2018 19:35,zjo_2001,949D - Curfew,GNU C++,Accepted,31 ms,3200 KB,2018-03-09 19:35:00
39984781,Jul/05/2018 15:54,Manstein_Zhukov,950F - Curfew,FPC,Accepted,46 ms,2400 KB,2018-07-05 15:54:00
44475951,Oct/18/2018 11:57,Junlier,949D - Curfew,GNU C++11,Accepted,31 ms,800 KB,2018-10-18 11:57:00
58519619,Aug/10/2019 06:34,Sunflash#,949D - Curfew,GNU C++14,Accepted,46 ms,1600 KB,2019-08-10 06:34:00
37433422,Apr/18/2018 14:16,fyy2603,949D - Curfew,GNU C++14,Accepted,62 ms,4300 KB,2018-04-18 14:16:00
58662603,Aug/12/2019 14:29,luogu_bot1,949D - Curfew,GNU C++14,Accepted,46 ms,1600 KB,2019-08-12 14:29:00
70549223,Feb/08/2020 11:25,RednaxelAlanrete#,949D - Curfew,GNU C++11,Accepted,156 ms,1600 KB,2020-02-08 11:25:00
70571538,Feb/08/2020 17:30,luogu_bot4,949D - Curfew,GNU C++11,Accepted,156 ms,1600 KB,2020-02-08 17:30:00
36142609,Mar/10/2018 10:58,milanovic,949D - Curfew,GNU C++17,Accepted,46 ms,3100 KB,2018-03-10 10:58:00
36103236,Mar/09/2018 12:15,black_horse2014,949D - Curfew,GNU C++14,Accepted,46 ms,3100 KB,2018-03-09 12:15:00
43399201,Sep/25/2018 10:31,vjudge2,949D - Curfew,GNU C++17,Accepted,46 ms,1500 KB,2018-09-25 10:31:00
43234379,Sep/22/2018 10:30,vjudge2,949D - Curfew,GNU C++11,Accepted,31 ms,1200 KB,2018-09-22 10:30:00
43366114,Sep/24/2018 15:21,luogu_bot4,949D - Curfew,GNU C++11,Accepted,46 ms,600 KB,2018-09-24 15:21:00
43366263,Sep/24/2018 15:25,cx233666,949D - Curfew,GNU C++11,Accepted,31 ms,600 KB,2018-09-24 15:25:00
43263922,Sep/22/2018 18:37,dsl2002,949D - Curfew,GNU C++11,Accepted,31 ms,400 KB,2018-09-22 18:37:00
44255811,Oct/13/2018 15:17,luogu_bot3,949D - Curfew,GNU C++11,Accepted,46 ms,15700 KB,2018-10-13 15:17:00
36262310,Mar/14/2018 02:20,AlanWaP,950F - Curfew,GNU C++11,Accepted,78 ms,4400 KB,2018-03-14 02:20:00
36108839,Mar/09/2018 13:03,lsmll,949D - Curfew,GNU C++,Accepted,31 ms,3600 KB,2018-03-09 13:03:00
36149629,Mar/10/2018 15:04,superguymj,949D - Curfew,GNU C++14,Accepted,46 ms,3400 KB,2018-03-10 15:04:00
39983176,Jul/05/2018 14:55,Peppa_Pig,950F - Curfew,FPC,Accepted,46 ms,1600 KB,2018-07-05 14:55:00
36118840,Mar/09/2018 16:48,bestFy,949D - Curfew,GNU C++,Accepted,31 ms,6700 KB,2018-03-09 16:48:00
36298088,Mar/15/2018 14:57,zhouyuyang,949D - Curfew,GNU C++11,Accepted,31 ms,6700 KB,2018-03-15 14:57:00
42120345,Aug/26/2018 15:08,yujinwunz,949D - Curfew,GNU C++11,Accepted,171 ms,400 KB,2018-08-26 15:08:00
43264120,Sep/22/2018 18:42,dsl2002,949D - Curfew,GNU C++11,Accepted,31 ms,400 KB,2018-09-22 18:42:00
44912099,Oct/26/2018 16:56,zxy613,949D - Curfew,GNU C++11,Accepted,31 ms,1200 KB,2018-10-26 16:56:00
56859421,Jul/11/2019 23:44,RobeZH,949D - Curfew,GNU C++14,Accepted,46 ms,400 KB,2019-07-11 23:44:00
70439314,Feb/06/2020 16:41,geneanlyz,949D - Curfew,GNU C++11,Accepted,46 ms,1100 KB,2020-02-06 16:41:00
36108980,Mar/09/2018 13:04,yml,949D - Curfew,GNU C++,Accepted,46 ms,2900 KB,2018-03-09 13:04:00
39987894,Jul/05/2018 17:53,gmh77,950F - Curfew,GNU C++,Accepted,31 ms,800 KB,2018-07-05 17:53:00
39985750,Jul/05/2018 16:30,Stupid_dog,950F - Curfew,FPC,Accepted,46 ms,31400 KB,2018-07-05 16:30:00
44358367,Oct/15/2018 16:28,Wallyssaa,949D - Curfew,GNU C++11,Accepted,31 ms,1600 KB,2018-10-15 16:28:00
36118940,Mar/09/2018 16:52,foolishhmy,950F - Curfew,GNU C++14,Accepted,46 ms,4600 KB,2018-03-09 16:52:00
