41125595,Aug/02/2018 17:06,i_akash,671A - Recycling Bottles,GNU C++17,Accepted,748 ms,200 KB,2018-08-02 17:06:00
52477989,Apr/08/2019 04:59,gtx1080,671A - Recycling Bottles,GNU C++17,Accepted,140 ms,1600 KB,2019-04-08 04:59:00
17852150,May/11/2016 20:02,tjandra,672C - Recycling Bottles,GNU C,Accepted,140 ms,4600 KB,2016-05-11 20:02:00
18006264,May/20/2016 17:34,SkyFire,671A - Recycling Bottles,Python 3,Accepted,1075 ms,9400 KB,2016-05-20 17:34:00
18006267,May/20/2016 17:34,SkyFire,671A - Recycling Bottles,PyPy 3,Accepted,1309 ms,39000 KB,2016-05-20 17:34:00
18159114,May/30/2016 19:08,Rezwan.Arefin01,672C - Recycling Bottles,GNU C++11,Accepted,561 ms,2200 KB,2016-05-30 19:08:00
17865363,May/11/2016 23:03,RUSH_D_CAT,672C - Recycling Bottles,GNU C++,Accepted,483 ms,6900 KB,2016-05-11 23:03:00
17898019,May/14/2016 07:12,orailly,671A - Recycling Bottles,Python 3,Accepted,373 ms,12100 KB,2016-05-14 07:12:00
17868640,May/12/2016 06:05,Yasola,672C - Recycling Bottles,GNU C++11,Accepted,109 ms,5300 KB,2016-05-12 06:05:00
36387937,Mar/18/2018 15:14,vjudge4,671A - Recycling Bottles,GNU C,Accepted,62 ms,3300 KB,2018-03-18 15:14:00
39940333,Jul/04/2018 05:34,AhMedGaMal,672C - Recycling Bottles,GNU C++14,Accepted,171 ms,3100 KB,2018-07-04 05:34:00
17925916,May/16/2016 03:35,BinGoo0o0o,672C - Recycling Bottles,GNU C++,Accepted,46 ms,3700 KB,2016-05-16 03:35:00
18568883,Jun/18/2016 04:20,H0ngJun77#,671A - Recycling Bottles,GNU C++11,Accepted,109 ms,1400 KB,2016-06-18 04:20:00
21826333,Oct/27/2016 17:30,fatbear,671A - Recycling Bottles,GNU C++11,Accepted,1621 ms,4700 KB,2016-10-27 17:30:00
21813860,Oct/27/2016 10:12,vjudge5,671A - Recycling Bottles,GNU C++,Accepted,46 ms,11700 KB,2016-10-27 10:12:00
42143008,Aug/27/2018 10:00,XieXianWang,672C - Recycling Bottles,GNU C++17,Accepted,78 ms,1800 KB,2018-08-27 10:00:00
18008327,May/20/2016 19:59,SkyFire,671A - Recycling Bottles,Python 2,Accepted,889 ms,11200 KB,2016-05-20 19:59:00
18015682,May/21/2016 11:42,SkyFire,671A - Recycling Bottles,Python 2,Accepted,873 ms,11200 KB,2016-05-21 11:42:00
18016045,May/21/2016 12:12,SkyFire,671A - Recycling Bottles,Python 2,Accepted,904 ms,11200 KB,2016-05-21 12:12:00
18016111,May/21/2016 12:18,SkyFire,671A - Recycling Bottles,Python 2,Accepted,1013 ms,11200 KB,2016-05-21 12:18:00
18008277,May/20/2016 19:55,SkyFire,671A - Recycling Bottles,Python 2,Accepted,873 ms,11200 KB,2016-05-20 19:55:00
18016059,May/21/2016 12:13,SkyFire,671A - Recycling Bottles,Python 2,Accepted,873 ms,11200 KB,2016-05-21 12:13:00
18016208,May/21/2016 12:24,SkyFire,671A - Recycling Bottles,Python 2,Accepted,982 ms,11200 KB,2016-05-21 12:24:00
18018126,May/21/2016 15:02,SkyFire,671A - Recycling Bottles,Python 2,Accepted,966 ms,11200 KB,2016-05-21 15:02:00
18006049,May/20/2016 17:19,SkyFire,671A - Recycling Bottles,PyPy 2,Accepted,654 ms,31800 KB,2016-05-20 17:19:00
18006106,May/20/2016 17:22,SkyFire,671A - Recycling Bottles,Python 2,Accepted,936 ms,9600 KB,2016-05-20 17:22:00
18016272,May/21/2016 12:29,SkyFire,671A - Recycling Bottles,Python 2,Accepted,1060 ms,9500 KB,2016-05-21 12:29:00
20671859,Sep/17/2016 06:01,Hermera,671A - Recycling Bottles,GNU C++14,Accepted,93 ms,0 KB,2016-09-17 06:01:00
37561780,Apr/24/2018 03:42,yaren#,671A - Recycling Bottles,GNU C++,Accepted,93 ms,5000 KB,2018-04-24 03:42:00
19016817,Jul/11/2016 02:13,Math76,672C - Recycling Bottles,Python 3,Accepted,858 ms,300 KB,2016-07-11 02:13:00
21813847,Oct/27/2016 10:11,phile,671A - Recycling Bottles,GNU C++,Accepted,62 ms,11700 KB,2016-10-27 10:11:00
28012229,Jun/25/2017 00:31,sara_elkady,671A - Recycling Bottles,GNU C++14,Accepted,405 ms,4200 KB,2017-06-25 00:31:00
20263692,Aug/29/2016 22:56,gargankur74,671A - Recycling Bottles,GNU C++11,Accepted,1294 ms,1600 KB,2016-08-29 22:56:00
22186234,Nov/13/2016 05:38,lisc,671A - Recycling Bottles,GNU C++,Accepted,124 ms,1400 KB,2016-11-13 05:38:00
17890194,May/13/2016 16:54,fourele,672C - Recycling Bottles,Python 3,Accepted,1029 ms,37600 KB,2016-05-13 16:54:00
47841542,Jan/02/2019 15:16,AMR-KELEG,671A - Recycling Bottles,Python 3,Accepted,935 ms,18200 KB,2019-01-02 15:16:00
17868696,May/12/2016 06:13,lifechan91n9,672C - Recycling Bottles,GNU C++,Accepted,920 ms,3800 KB,2016-05-12 06:13:00
17893281,May/13/2016 20:33,nagibator,672C - Recycling Bottles,Haskell,Accepted,1278 ms,86200 KB,2016-05-13 20:33:00
63300139,Oct/24/2019 17:04,jtybsdd,671A - Recycling Bottles,GNU C++11,Accepted,998 ms,0 KB,2019-10-24 17:04:00
