17998577,May/20/2016 04:42,labape,32C - Flea,GNU C++11,Accepted,30 ms,2200 KB,2016-05-20 04:42:00
56030300,Jun/25/2019 12:10,yuanshaorong,32C - Flea,GNU C++17,Accepted,62 ms,0 KB,2019-06-25 12:10:00
140969,Oct/08/2010 16:48,Savelyev_Evgeny,32C - Flea,FPC,Accepted,30 ms,800 KB,2010-10-08 16:48:00
61776219,Oct/03/2019 14:50,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-03 14:50:00
485536,Jun/11/2011 14:12,aan93,32C - Flea,MS C++,Accepted,30 ms,1400 KB,2011-06-11 14:12:00
63710623,Oct/29/2019 12:54,luogu_bot3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-29 12:54:00
10332403,Mar/18/2015 07:40,I_love_Hoang_Yen,32C - Flea,Python 2,Accepted,124 ms,0 KB,2015-03-18 07:40:00
70410707,Feb/06/2020 08:04,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-02-06 08:04:00
138488,Oct/02/2010 11:58,alive,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-02 11:58:00
9860118,Feb/15/2015 17:11,vjudge3,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2015-02-15 17:11:00
65613484,Nov/24/2019 04:37,spsmoj3,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-24 04:37:00
15072216,Dec/28/2015 17:24,orbit,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2015-12-28 17:24:00
57789166,Jul/26/2019 11:52,spsmoj2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-07-26 11:52:00
14324462,Nov/18/2015 13:50,oxx1108#,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2015-11-18 13:50:00
73540510,Mar/18/2020 08:34,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-03-18 08:34:00
65613454,Nov/24/2019 04:36,spsmoj2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-24 04:36:00
76283028,Apr/12/2020 06:59,luogu_bot1,32C - Flea,FPC,Accepted,92 ms,0 KB,2020-04-12 06:59:00
61546558,Sep/30/2019 13:40,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-09-30 13:40:00
61776278,Oct/03/2019 14:52,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-03 14:52:00
69502886,Jan/25/2020 10:18,LHQing,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-25 10:18:00
139606,Oct/02/2010 16:59,gen,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-02 16:59:00
21460483,Oct/15/2016 17:58,syt,32C - Flea,GNU C++14,Accepted,30 ms,1900 KB,2016-10-15 17:58:00
139933,Oct/03/2010 01:17,Snich,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-03 01:17:00
61776291,Oct/03/2019 14:52,luogu_bot4,32C - Flea,GNU C++11,Accepted,92 ms,0 KB,2019-10-03 14:52:00
62900250,Oct/19/2019 06:45,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-10-19 06:45:00
59655691,Aug/29/2019 13:15,wuhuang1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-29 13:15:00
68848970,Jan/15/2020 11:18,is_mail,32C - Flea,GNU C++17,Accepted,62 ms,0 KB,2020-01-15 11:18:00
59618981,Aug/28/2019 16:38,Xing_Ling,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2019-08-28 16:38:00
7501569,Aug/18/2014 17:58,vjudge1,32C - Flea,GNU C++,Accepted,30 ms,0 KB,2014-08-18 17:58:00
7501571,Aug/18/2014 17:58,vjudge5,32C - Flea,GNU C++,Accepted,62 ms,0 KB,2014-08-18 17:58:00
27356218,May/26/2017 16:17,BatyrAkhmetov,32C - Flea,GNU C++14,Accepted,30 ms,0 KB,2017-05-26 16:17:00
16085631,Feb/17/2016 21:03,Momentum,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2016-02-17 21:03:00
59642084,Aug/29/2019 05:41,luogu_bot2,32C - Flea,GNU C++11,Accepted,92 ms,0 KB,2019-08-29 05:41:00
64541818,Nov/08/2019 22:00,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-08 22:00:00
64552105,Nov/09/2019 03:29,luogu_bot2,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-11-09 03:29:00
140957,Oct/08/2010 06:36,sazzad,32C - Flea,GNU C++,Accepted,30 ms,1300 KB,2010-10-08 06:36:00
9540537,Jan/24/2015 19:50,BUPT_birdstorm,32C - Flea,GNU C++0x,Accepted,62 ms,0 KB,2015-01-24 19:50:00
25969072,Mar/31/2017 09:13,muraharum,32C - Flea,GNU C++14,Accepted,30 ms,1900 KB,2017-03-31 09:13:00
138369,Oct/02/2010 11:49,serg_pet,32C - Flea,MS C++,Accepted,30 ms,1300 KB,2010-10-02 11:49:00
17397169,Apr/20/2016 12:47,.jeffrey,32C - Flea,GNU C++11,Accepted,30 ms,2200 KB,2016-04-20 12:47:00
35142202,Feb/11/2018 07:23,Patiala_Peg,32C - Flea,Python 2,Accepted,124 ms,4500 KB,2018-02-11 07:23:00
70410882,Feb/06/2020 08:09,luogu_bot5,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-02-06 08:09:00
69049407,Jan/18/2020 15:09,luogu_bot1,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2020-01-18 15:09:00
59646096,Aug/29/2019 08:51,luogu_bot4,32C - Flea,GNU C++11,Accepted,62 ms,0 KB,2019-08-29 08:51:00
14326438,Nov/18/2015 16:05,oxx1108,32C - Flea,GNU C++11,Accepted,30 ms,0 KB,2015-11-18 16:05:00
139383,Oct/02/2010 14:22,8888,32C - Flea,Python 2,Accepted,60 ms,2700 KB,2010-10-02 14:22:00
