27049068,May/12/2017 10:33,hhx,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-12 10:33:00
28814674,Jul/24/2017 08:13,_hoang,799C - Fountains,GNU C++11,Accepted,405 ms,2800 KB,2017-07-24 08:13:00
41589150,Aug/14/2018 16:08,vjudge1,799C - Fountains,GNU C++,Accepted,1435 ms,1600 KB,2018-08-14 16:08:00
50564322,Feb/27/2019 15:29,vjudge3,799C - Fountains,MS C++,Accepted,62 ms,1600 KB,2019-02-27 15:29:00
29690017,Aug/22/2017 20:43,ImagineDragons,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-08-22 20:43:00
65712476,Nov/25/2019 17:57,icecuber#,799C - Fountains,GNU C++14,Accepted,77 ms,2100 KB,2019-11-25 17:57:00
46958906,Dec/13/2018 09:42,Ashishgup,799C - Fountains,GNU C++17,Accepted,78 ms,1600 KB,2018-12-13 09:42:00
40553012,Jul/19/2018 18:47,vjudge1,799C - Fountains,GNU C++,Accepted,62 ms,800 KB,2018-07-19 18:47:00
31467404,Oct/18/2017 06:21,GStnt,799C - Fountains,GNU C++14,Accepted,62 ms,2700 KB,2017-10-18 06:21:00
51743985,Mar/23/2019 09:57,vjudge3,799C - Fountains,GNU C++11,Accepted,61 ms,800 KB,2019-03-23 09:57:00
28623432,Jul/17/2017 04:59,victor_ld,799C - Fountains,GNU C++11,Accepted,62 ms,2600 KB,2017-07-17 04:59:00
27101419,May/14/2017 09:06,Big_black_jujube,799C - Fountains,GNU C++14,Accepted,62 ms,7800 KB,2017-05-14 09:06:00
27021814,May/11/2017 19:07,Furrry,799C - Fountains,GNU C++11,Accepted,171 ms,4600 KB,2017-05-11 19:07:00
28565221,Jul/15/2017 09:06,wilson.ho,799C - Fountains,GNU C++14,Accepted,296 ms,2700 KB,2017-07-15 09:06:00
42615451,Sep/07/2018 16:27,vjudge5,799C - Fountains,GNU C++11,Accepted,139 ms,1200 KB,2018-09-07 16:27:00
27025741,May/11/2017 19:33,duckladydinh,799C - Fountains,GNU C++11,Accepted,498 ms,7100 KB,2017-05-11 19:33:00
34511315,Jan/24/2018 12:26,kulkarni.rachit,799C - Fountains,GNU C++14,Accepted,296 ms,2600 KB,2018-01-24 12:26:00
50724794,Mar/03/2019 12:28,vjudge1,799C - Fountains,GNU C++17,Accepted,311 ms,800 KB,2019-03-03 12:28:00
27045537,May/12/2017 05:57,DTDT,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-12 05:57:00
27924256,Jun/20/2017 14:55,XJT,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-06-20 14:55:00
51814026,Mar/25/2019 10:58,vjudge3,799C - Fountains,GNU C++14,Accepted,155 ms,1400 KB,2019-03-25 10:58:00
51746808,Mar/23/2019 10:58,vjudge2,799C - Fountains,GNU C++14,Accepted,140 ms,1200 KB,2019-03-23 10:58:00
27024624,May/11/2017 19:25,chenjb,799C - Fountains,GNU C++,Accepted,61 ms,1600 KB,2017-05-11 19:25:00
27091213,May/13/2017 17:17,JIYEON2__,799C - Fountains,GNU C++11,Accepted,421 ms,7800 KB,2017-05-13 17:17:00
71029043,Feb/14/2020 05:08,vjudge1,799C - Fountains,MS C++,Accepted,62 ms,800 KB,2020-02-14 05:08:00
30084882,Sep/04/2017 23:56,m7mdbadawy,799C - Fountains,Python 2,Accepted,577 ms,8800 KB,2017-09-04 23:56:00
40545572,Jul/19/2018 14:30,vjudge2,799C - Fountains,GNU C++,Accepted,62 ms,600 KB,2018-07-19 14:30:00
27232114,May/20/2017 12:06,yswness,799C - Fountains,GNU C++,Accepted,46 ms,800 KB,2017-05-20 12:06:00
27044415,May/12/2017 04:14,mstczuo,799C - Fountains,GNU C++11,Accepted,62 ms,2000 KB,2017-05-12 04:14:00
27299037,May/23/2017 13:25,yiauqqvx#,799C - Fountains,GNU C++14,Accepted,327 ms,800 KB,2017-05-23 13:25:00
51825175,Mar/25/2019 16:43,AK.,799C - Fountains,GNU C++17,Accepted,810 ms,1200 KB,2019-03-25 16:43:00
27055858,May/12/2017 17:00,Yokile_cc,799C - Fountains,GNU C++11,Accepted,62 ms,800 KB,2017-05-12 17:00:00
27025488,May/11/2017 19:31,strling,799C - Fountains,GNU C++11,Accepted,62 ms,4700 KB,2017-05-11 19:31:00
27479305,Jun/01/2017 10:04,AbstractKangaroo#,799C - Fountains,GNU C++11,Accepted,62 ms,4100 KB,2017-06-01 10:04:00
27054904,May/12/2017 16:10,mig,799C - Fountains,GNU C++11,Accepted,390 ms,2400 KB,2017-05-12 16:10:00
27019364,May/11/2017 18:53,rajat1603,799C - Fountains,GNU C++11,Accepted,62 ms,800 KB,2017-05-11 18:53:00
40550134,Jul/19/2018 16:53,vjudge5,799C - Fountains,GNU C++,Accepted,93 ms,1600 KB,2018-07-19 16:53:00
27927451,Jun/20/2017 17:54,FBD,799C - Fountains,GNU C++11,Accepted,405 ms,4500 KB,2017-06-20 17:54:00
27024989,May/11/2017 19:27,dyf,799C - Fountains,GNU C++11,Accepted,77 ms,3800 KB,2017-05-11 19:27:00
27061346,May/12/2017 22:43,travelers,799C - Fountains,GNU C++11,Accepted,390 ms,800 KB,2017-05-12 22:43:00
27225435,May/20/2017 02:32,hyejinJ,799C - Fountains,GNU C++11,Accepted,1450 ms,2200 KB,2017-05-20 02:32:00
55091608,Jun/04/2019 17:48,guru_console,799C - Fountains,GNU C++14,Accepted,1138 ms,2200 KB,2019-06-04 17:48:00
27047295,May/12/2017 08:29,eugalt,799C - Fountains,Python 3,Accepted,405 ms,9000 KB,2017-05-12 08:29:00
45399351,Nov/07/2018 10:22,luogu_bot2,799C - Fountains,GNU C++11,Accepted,61 ms,1400 KB,2018-11-07 10:22:00
27030866,May/11/2017 19:58,misha_sh,799C - Fountains,Python 3,Accepted,1014 ms,11300 KB,2017-05-11 19:58:00
27336903,May/25/2017 15:50,YJH143,799C - Fountains,GNU C++14,Accepted,61 ms,800 KB,2017-05-25 15:50:00
42673548,Sep/08/2018 15:22,vjudge4,799C - Fountains,GNU C++14,Accepted,155 ms,1900 KB,2018-09-08 15:22:00
28563924,Jul/15/2017 08:00,wilson.ho,799C - Fountains,GNU C++14,Accepted,1778 ms,4700 KB,2017-07-15 08:00:00
27025065,May/11/2017 19:28,nwi,799C - Fountains,Python 2,Accepted,514 ms,8700 KB,2017-05-11 19:28:00
27089519,May/13/2017 15:57,-Jimmy-,799C - Fountains,GNU C++,Accepted,31 ms,2300 KB,2017-05-13 15:57:00
27103800,May/14/2017 12:20,reku,799C - Fountains,GNU C++11,Accepted,405 ms,1600 KB,2017-05-14 12:20:00
56139539,Jun/27/2019 05:16,vjudge2,799C - Fountains,GNU C++17,Accepted,342 ms,3100 KB,2019-06-27 05:16:00
27018501,May/11/2017 18:49,20140355,799C - Fountains,GNU C++11,Accepted,62 ms,2200 KB,2017-05-11 18:49:00
27053000,May/12/2017 14:39,lsmll#,799C - Fountains,GNU C++,Accepted,46 ms,3900 KB,2017-05-12 14:39:00
27106838,May/14/2017 15:49,rawatds,799C - Fountains,GNU C++11,Accepted,78 ms,1900 KB,2017-05-14 15:49:00
51818575,Mar/25/2019 13:49,vjudge3,799C - Fountains,GNU C++11,Accepted,124 ms,1000 KB,2019-03-25 13:49:00
27199767,May/18/2017 18:30,subhmps,799C - Fountains,GNU C++14,Accepted,312 ms,800 KB,2017-05-18 18:30:00
27057927,May/12/2017 18:50,gps,799C - Fountains,GNU C++14,Accepted,62 ms,2300 KB,2017-05-12 18:50:00
27046232,May/12/2017 06:56,jackfoool,799C - Fountains,GNU C++14,Accepted,62 ms,2800 KB,2017-05-12 06:56:00
45399394,Nov/07/2018 10:24,luogu_bot4,799C - Fountains,GNU C++11,Accepted,62 ms,1400 KB,2018-11-07 10:24:00
27156599,May/16/2017 13:14,s_p,799C - Fountains,GNU C++14,Accepted,342 ms,2300 KB,2017-05-16 13:14:00
73376418,Mar/16/2020 05:19,General Soleimani: Arpa#,799C - Fountains,GNU C++17,Accepted,77 ms,1600 KB,2020-03-16 05:19:00
71528355,Feb/21/2020 08:16,vjudge3,799C - Fountains,GNU C++17,Accepted,78 ms,800 KB,2020-02-21 08:16:00
27681901,Jun/09/2017 06:45,1102301,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-06-09 06:45:00
27083989,May/13/2017 14:05,ascchrvalstr,799C - Fountains,GNU C++14,Accepted,139 ms,2000 KB,2017-05-13 14:05:00
27046130,May/12/2017 06:49,_ShadowSong,799C - Fountains,GNU C++,Accepted,46 ms,2200 KB,2017-05-12 06:49:00
27056120,May/12/2017 17:15,songyiqun,799C - Fountains,GNU C++,Accepted,46 ms,800 KB,2017-05-12 17:15:00
54984251,Jun/02/2019 17:48,hjk1030,799C - Fountains,GNU C++17,Accepted,62 ms,1600 KB,2019-06-02 17:48:00
56878753,Jul/12/2019 12:24,piyush123,799C - Fountains,GNU C++14,Accepted,1996 ms,1600 KB,2019-07-12 12:24:00
29904409,Aug/30/2017 02:33,stilinskiy,799C - Fountains,GNU C++14,Accepted,311 ms,4900 KB,2017-08-30 02:33:00
27062494,May/13/2017 00:30,pl_24,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-13 00:30:00
27096050,May/13/2017 22:09,color_me_red,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-13 22:09:00
27071989,May/13/2017 12:10,21August,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-13 12:10:00
40089661,Jul/08/2018 18:57,vjudge2,799C - Fountains,MS C++,Accepted,187 ms,2000 KB,2018-07-08 18:57:00
42613812,Sep/07/2018 15:37,vjudge5,799C - Fountains,MS C++,Accepted,217 ms,2200 KB,2018-09-07 15:37:00
40552274,Jul/19/2018 18:14,vjudge3,799C - Fountains,GNU C++,Accepted,77 ms,800 KB,2018-07-19 18:14:00
40562716,Jul/20/2018 05:17,vjudge5,799C - Fountains,GNU C++,Accepted,62 ms,600 KB,2018-07-20 05:17:00
27054951,May/12/2017 16:13,mig,799C - Fountains,GNU C++11,Accepted,139 ms,2400 KB,2017-05-12 16:13:00
27195943,May/18/2017 15:09,vjudge3,799C - Fountains,GNU C++,Accepted,405 ms,1600 KB,2017-05-18 15:09:00
29851217,Aug/28/2017 20:35,tcchung,799C - Fountains,GNU C++14,Accepted,343 ms,4000 KB,2017-08-28 20:35:00
27043955,May/12/2017 03:18,RNS_JKS,799C - Fountains,GNU C++11,Accepted,62 ms,3900 KB,2017-05-12 03:18:00
27021582,May/11/2017 19:05,yfzcsc,799C - Fountains,GNU C++11,Accepted,61 ms,1800 KB,2017-05-11 19:05:00
27052362,May/12/2017 14:06,luzhexuan,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-12 14:06:00
27195934,May/18/2017 15:09,vjudge2,799C - Fountains,GNU C++,Accepted,405 ms,1600 KB,2017-05-18 15:09:00
34331910,Jan/20/2018 00:56,.I.,799C - Fountains,GNU C++14,Accepted,62 ms,4100 KB,2018-01-20 00:56:00
27363584,May/26/2017 23:37,Hamzqq9,799C - Fountains,GNU C++,Accepted,62 ms,2800 KB,2017-05-26 23:37:00
28365431,Jul/08/2017 12:18,toandx,799C - Fountains,MS C++,Accepted,514 ms,3200 KB,2017-07-08 12:18:00
27044340,May/12/2017 04:05,PhanTrinh,799C - Fountains,GNU C++11,Accepted,46 ms,2400 KB,2017-05-12 04:05:00
27062694,May/13/2017 01:00,pl_24,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-13 01:00:00
27021690,May/11/2017 19:06,saba2000,799C - Fountains,GNU C++14,Accepted,312 ms,2900 KB,2017-05-11 19:06:00
27349733,May/26/2017 09:28,kitoha,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-26 09:28:00
27022551,May/11/2017 19:11,Ice_Cream,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-11 19:11:00
31905198,Oct/30/2017 23:28,TadijaSebez,799C - Fountains,GNU C++11,Accepted,93 ms,4500 KB,2017-10-30 23:28:00
27019032,May/11/2017 18:52,DEGwer,799C - Fountains,GNU C++,Accepted,62 ms,2100 KB,2017-05-11 18:52:00
27118136,May/15/2017 11:55,shijieyywd,799C - Fountains,GNU C++11,Accepted,62 ms,800 KB,2017-05-15 11:55:00
41589575,Aug/14/2018 16:22,vjudge4,799C - Fountains,GNU C++,Accepted,1450 ms,1600 KB,2018-08-14 16:22:00
27021049,May/11/2017 19:02,_D41_,799C - Fountains,GNU C++,Accepted,405 ms,1600 KB,2017-05-11 19:02:00
27323661,May/24/2017 19:51,aDarkSide,799C - Fountains,GNU C++11,Accepted,405 ms,800 KB,2017-05-24 19:51:00
27022775,May/11/2017 19:13,milisav,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-11 19:13:00
34608315,Jan/27/2018 17:21,nowing,799C - Fountains,GNU C++14,Accepted,62 ms,3800 KB,2018-01-27 17:21:00
56139265,Jun/27/2019 05:01,xr943038,799C - Fountains,GNU C++17,Accepted,327 ms,3100 KB,2019-06-27 05:01:00
27067515,May/13/2017 06:00,Hachikoo,799C - Fountains,GNU C++,Accepted,61 ms,800 KB,2017-05-13 06:00:00
