25668386,Mar/20/2017 17:24,nitvjudge2,79C - Beaver,GNU C++,Accepted,92 ms,2700 KB,2017-03-20 17:24:00
432504,May/05/2011 06:52,cuiaoxiang,79C - Beaver,GNU C++,Accepted,90 ms,1500 KB,2011-05-05 06:52:00
1216143,Feb/22/2012 18:08,w00w12l,79C - Beaver,GNU C++,Accepted,90 ms,1500 KB,2012-02-22 18:08:00
418262,Apr/30/2011 20:04,vout,79C - Beaver,GNU C++,Accepted,30 ms,1400 KB,2011-04-30 20:04:00
2610740,Nov/21/2012 18:29,arian,79C - Beaver,GNU C++,Accepted,250 ms,700 KB,2012-11-21 18:29:00
38541165,May/22/2018 19:07,raha2079,79C - Beaver,GNU C++14,Accepted,124 ms,900 KB,2018-05-22 19:07:00
16643145,Mar/11/2016 08:32,AminAnvari,79C - Beaver,GNU C++,Accepted,62 ms,700 KB,2016-03-11 08:32:00
418113,Apr/30/2011 19:59,hasi,79C - Beaver,MS C++,Accepted,130 ms,1900 KB,2011-04-30 19:59:00
25550290,Mar/16/2017 16:33,vjudge3,79C - Beaver,GNU C++,Accepted,62 ms,2700 KB,2017-03-16 16:33:00
418582,Apr/30/2011 20:17,magrady,79C - Beaver,GNU C++,Accepted,190 ms,14400 KB,2011-04-30 20:17:00
987401,Dec/26/2011 21:29,Azat_Yusupov#,79C - Beaver,Java 6,Accepted,160 ms,42200 KB,2011-12-26 21:29:00
51752771,Mar/23/2019 13:15,vjudge1,79C - Beaver,GNU C++14,Accepted,218 ms,13100 KB,2019-03-23 13:15:00
419973,Apr/30/2011 22:05,sekiye,79C - Beaver,Python 2,Accepted,840 ms,8200 KB,2011-04-30 22:05:00
420987,May/01/2011 12:47,dreamoon_love_AA,79C - Beaver,GNU C++,Accepted,80 ms,1900 KB,2011-05-01 12:47:00
20413404,Sep/06/2016 09:53,vjudge5,79C - Beaver,GNU C++,Accepted,92 ms,300 KB,2016-09-06 09:53:00
419342,Apr/30/2011 20:49,chviktor,79C - Beaver,MS C++,Accepted,60 ms,1600 KB,2011-04-30 20:49:00
20655465,Sep/16/2016 11:10,dxtpc,79C - Beaver,FPC,Accepted,60 ms,300 KB,2016-09-16 11:10:00
34926161,Feb/04/2018 19:13,ug17,79C - Beaver,GNU C++14,Accepted,92 ms,3000 KB,2018-02-04 19:13:00
876235,Nov/17/2011 20:37,Azat_Yusupov,79C - Beaver,Java 6,Accepted,160 ms,34400 KB,2011-11-17 20:37:00
417696,Apr/30/2011 19:47,yuscvscv,79C - Beaver,GNU C++,Accepted,170 ms,13300 KB,2011-04-30 19:47:00
16343373,Feb/26/2016 12:33,bayram98,79C - Beaver,GNU C++11,Accepted,92 ms,300 KB,2016-02-26 12:33:00
6098901,Mar/21/2014 17:43,vjudge2,79C - Beaver,GNU C++,Accepted,62 ms,700 KB,2014-03-21 17:43:00
417466,Apr/30/2011 19:41,Martin,79C - Beaver,GNU C++,Accepted,50 ms,1900 KB,2011-04-30 19:41:00
48575149,Jan/19/2019 16:43,harsha_1_2,79C - Beaver,GNU C++14,Accepted,92 ms,1000 KB,2019-01-19 16:43:00
421115,May/01/2011 15:06,Songuku95,79C - Beaver,FPC,Accepted,50 ms,1700 KB,2011-05-01 15:06:00
9791009,Feb/10/2015 19:13,cristina_borza,79C - Beaver,GNU C++,Accepted,92 ms,500 KB,2015-02-10 19:13:00
28407344,Jul/10/2017 15:44,vjudge4,79C - Beaver,GNU C++,Accepted,60 ms,2400 KB,2017-07-10 15:44:00
487373,Jun/14/2011 15:15,aan93,79C - Beaver,MS C++,Accepted,110 ms,1900 KB,2011-06-14 15:15:00
602276,Aug/11/2011 08:35,ytau,79C - Beaver,GNU C++,Accepted,30 ms,1800 KB,2011-08-11 08:35:00
420576,May/01/2011 05:15,portal,79C - Beaver,GNU C++,Accepted,250 ms,1600 KB,2011-05-01 05:15:00
417604,Apr/30/2011 19:45,rockaustin2k6,79C - Beaver,GNU C++,Accepted,30 ms,1500 KB,2011-04-30 19:45:00
28408122,Jul/10/2017 16:15,vjudge1,79C - Beaver,GNU C++,Accepted,30 ms,2400 KB,2017-07-10 16:15:00
421152,May/01/2011 16:07,casillas,79C - Beaver,GNU C++,Accepted,90 ms,1600 KB,2011-05-01 16:07:00
28409627,Jul/10/2017 17:22,vjudge5,79C - Beaver,GNU C++,Accepted,60 ms,2600 KB,2017-07-10 17:22:00
422198,May/02/2011 18:25,cxianliang,79C - Beaver,GNU C++0x,Accepted,280 ms,1600 KB,2011-05-02 18:25:00
417319,Apr/30/2011 19:37,xavier_lt,79C - Beaver,GNU C++,Accepted,50 ms,1800 KB,2011-04-30 19:37:00
16343368,Feb/26/2016 12:32,bayram98,79C - Beaver,GNU C++11,Accepted,124 ms,200 KB,2016-02-26 12:32:00
32080980,Nov/05/2017 19:52,vjudge4,79C - Beaver,GNU C++14,Accepted,124 ms,300 KB,2017-11-05 19:52:00
417856,Apr/30/2011 19:52,Shinta,79C - Beaver,GNU C++,Accepted,50 ms,2200 KB,2011-04-30 19:52:00
18729062,Jun/26/2016 06:42,charlyhlms,79C - Beaver,GNU C++11,Accepted,156 ms,200 KB,2016-06-26 06:42:00
29814374,Aug/26/2017 23:07,erfan._.m,79C - Beaver,GNU C++14,Accepted,124 ms,300 KB,2017-08-26 23:07:00
4527610,Sep/21/2013 10:08,saymyname,79C - Beaver,GNU C++,Accepted,30 ms,900 KB,2013-09-21 10:08:00
18961648,Jul/08/2016 08:05,manzanoivan,79C - Beaver,GNU C++11,Accepted,30 ms,300 KB,2016-07-08 08:05:00
11828973,Jun/29/2015 00:41,unknown_one,79C - Beaver,GNU C++11,Accepted,62 ms,1000 KB,2015-06-29 00:41:00
18690068,Jun/24/2016 01:15,frankzappa,79C - Beaver,GNU C++11,Accepted,30 ms,300 KB,2016-06-24 01:15:00
23720406,Jan/11/2017 17:41,Tenshi24,79C - Beaver,GNU C++14,Accepted,62 ms,4500 KB,2017-01-11 17:41:00
4193531,Jul/28/2013 12:32,vjudge3,79C - Beaver,GNU C++,Accepted,62 ms,500 KB,2013-07-28 12:32:00
4136163,Jul/22/2013 18:23,kia.masster,79C - Beaver,GNU C++,Accepted,390 ms,300 KB,2013-07-22 18:23:00
22671808,Dec/03/2016 11:12,Neverknow,79C - Beaver,GNU C++14,Accepted,92 ms,1400 KB,2016-12-03 11:12:00
3041723,Jan/31/2013 21:16,Electronick,79C - Beaver,FPC,Accepted,140 ms,400 KB,2013-01-31 21:16:00
2405476,Oct/21/2012 21:57,NULLspeed,79C - Beaver,GNU C,Accepted,31 ms,500 KB,2012-10-21 21:57:00
28402069,Jul/10/2017 11:12,vjudge4,79C - Beaver,GNU C++,Accepted,62 ms,2400 KB,2017-07-10 11:12:00
10601662,Apr/05/2015 15:38,vjudge1,79C - Beaver,GNU C++,Accepted,248 ms,700 KB,2015-04-05 15:38:00
29954094,Aug/31/2017 18:43,danya.smelskiy,79C - Beaver,GNU C++14,Accepted,30 ms,300 KB,2017-08-31 18:43:00
417711,Apr/30/2011 19:48,piloop,79C - Beaver,GNU C++,Accepted,60 ms,2300 KB,2011-04-30 19:48:00
422190,May/02/2011 18:19,cxianliang,79C - Beaver,GNU C++0x,Accepted,250 ms,1600 KB,2011-05-02 18:19:00
4571622,Sep/27/2013 11:09,abhipaliwal,79C - Beaver,GNU C++,Accepted,186 ms,13000 KB,2013-09-27 11:09:00
28408995,Jul/10/2017 16:53,ZZZZone,79C - Beaver,GNU C++14,Accepted,62 ms,2400 KB,2017-07-10 16:53:00
25547456,Mar/16/2017 15:00,guga,79C - Beaver,GNU C++11,Accepted,30 ms,2600 KB,2017-03-16 15:00:00
43948427,Oct/07/2018 17:55,rohanrko96.6,79C - Beaver,GNU C++17,Accepted,530 ms,300 KB,2018-10-07 17:55:00
43948462,Oct/07/2018 17:56,rohanrko96.6,79C - Beaver,GNU C++17,Accepted,530 ms,300 KB,2018-10-07 17:56:00
9726859,Feb/05/2015 15:14,Rusu,79C - Beaver,GNU C++,Accepted,92 ms,600 KB,2015-02-05 15:14:00
473393,May/31/2011 16:49,torrentk,79C - Beaver,GNU C++,Accepted,50 ms,1900 KB,2011-05-31 16:49:00
878461,Nov/19/2011 08:29,Akbarshox,79C - Beaver,Java 6,Accepted,220 ms,42200 KB,2011-11-19 08:29:00
14553414,Nov/29/2015 10:53,Eeyore,79C - Beaver,PyPy 2,Accepted,466 ms,4900 KB,2015-11-29 10:53:00
5615955,Jan/04/2014 17:01,Haibara502,79C - Beaver,GNU C++,Accepted,30 ms,500 KB,2014-01-04 17:01:00
49133085,Jan/29/2019 09:01,njchung99,79C - Beaver,GNU C++14,Accepted,92 ms,700 KB,2019-01-29 09:01:00
22680214,Dec/03/2016 18:44,amsen,79C - Beaver,GNU C++11,Accepted,62 ms,700 KB,2016-12-03 18:44:00
25824559,Mar/26/2017 20:18,plokmijn,79C - Beaver,GNU C++11,Accepted,92 ms,2500 KB,2017-03-26 20:18:00
14553377,Nov/29/2015 10:50,Eeyore,79C - Beaver,PyPy 2,Accepted,404 ms,3800 KB,2015-11-29 10:50:00
