74867,Dec/09/2010 22:20,watashi,16C - Monitor,Haskell,Accepted,30 ms,1500 KB,2010-12-09 22:20:00
423276,May/03/2011 21:55,AntonDubovik,16C - Monitor,Python 2,Accepted,170 ms,7500 KB,2011-05-03 21:55:00
28788840,Jul/23/2017 03:58,RMSZ005,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2017-07-23 03:58:00
43070340,Sep/19/2018 11:48,lamsd,16C - Monitor,Python 3,Accepted,140 ms,0 KB,2018-09-19 11:48:00
19046005,Jul/12/2016 11:21,DeadPillow,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2016-07-12 11:21:00
55723481,Jun/18/2019 19:30,no_one_07,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-06-18 19:30:00
39194892,Jun/12/2018 17:53,gs0622,16C - Monitor,GNU C++11,Accepted,30 ms,0 KB,2018-06-12 17:53:00
49536681,Feb/06/2019 19:19,romarioxokki,16C - Monitor,GNU C++17,Accepted,31 ms,300 KB,2019-02-06 19:19:00
53052441,Apr/20/2019 18:19,Nihad_Nabelsi,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-04-20 18:19:00
3360210,Mar/20/2013 14:00,FredaShi,16C - Monitor,Python 2,Accepted,62 ms,0 KB,2013-03-20 14:00:00
53096811,Apr/21/2019 16:59,1999abdo21,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-04-21 16:59:00
4203174,Jul/30/2013 12:01,judge,16C - Monitor,GNU C++,Accepted,30 ms,0 KB,2013-07-30 12:01:00
28793066,Jul/23/2017 09:15,itcoder,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-07-23 09:15:00
14298777,Nov/16/2015 16:59,orbit,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2015-11-16 16:59:00
31926849,Oct/31/2017 19:06,JulianasErd,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2017-10-31 19:06:00
35787810,Feb/28/2018 17:28,sagar57patil57,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2018-02-28 17:28:00
52513077,Apr/09/2019 05:01,ahmedibrahim404,16C - Monitor,GNU C++14,Accepted,31 ms,200 KB,2019-04-09 05:01:00
58143790,Aug/01/2019 22:34,Protego_totalum,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-08-01 22:34:00
2032976,Aug/18/2012 23:50,atubo,16C - Monitor,Python 2,Accepted,410 ms,7600 KB,2012-08-18 23:50:00
12395567,Aug/07/2015 04:04,mohammedehab2002,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-08-07 04:04:00
52566969,Apr/10/2019 15:47,Math_Master,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-04-10 15:47:00
11721063,Jun/23/2015 13:38,tmxk,16C - Monitor,Python 2,Accepted,62 ms,0 KB,2015-06-23 13:38:00
15987625,Feb/13/2016 16:11,KBL,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2016-02-13 16:11:00
34092664,Jan/11/2018 20:02,vjudge5,16C - Monitor,GNU C++,Accepted,15 ms,2000 KB,2018-01-11 20:02:00
58108201,Aug/01/2019 08:42,XZ20220135,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-08-01 08:42:00
31326004,Oct/15/2017 04:08,Mjgonzales#,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2017-10-15 04:08:00
73305,Jun/04/2010 17:35,sazzad,16C - Monitor,GNU C++,Accepted,30 ms,1300 KB,2010-06-04 17:35:00
27047452,May/12/2017 08:41,thecarrot,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2017-05-12 08:41:00
45325832,Nov/05/2018 15:53,themechanicalcoder,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2018-11-05 15:53:00
11075511,May/12/2015 09:45,bradyzhou,16C - Monitor,Python 3,Accepted,62 ms,0 KB,2015-05-12 09:45:00
52791192,Apr/15/2019 20:31,Ali_Zaiback,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-04-15 20:31:00
62741284,Oct/16/2019 22:52,25shubham,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-10-16 22:52:00
66113852,Dec/01/2019 12:39,sakib960,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-12-01 12:39:00
72691364,Mar/08/2020 00:05,vjudge2,16C - Monitor,GNU C++14,Accepted,31 ms,200 KB,2020-03-08 00:05:00
26960948,May/08/2017 19:45,Abeer_Mustafa,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2017-05-08 19:45:00
37643503,Apr/26/2018 20:03,Lionessa,16C - Monitor,GNU C++14,Accepted,15 ms,3300 KB,2018-04-26 20:03:00
52579520,Apr/10/2019 21:12,subhihazem,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2019-04-10 21:12:00
9396169,Jan/10/2015 11:31,coolcodersn,16C - Monitor,GNU C++,Accepted,30 ms,0 KB,2015-01-10 11:31:00
20395862,Sep/05/2016 11:35,murhaf2001.al,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-09-05 11:35:00
28425144,Jul/11/2017 14:30,Dain_Ironfoot,16C - Monitor,GNU C++11,Accepted,15 ms,2100 KB,2017-07-11 14:30:00
31003349,Oct/05/2017 00:13,Blimeo,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2017-10-05 00:13:00
34090625,Jan/11/2018 18:08,vjudge4,16C - Monitor,GNU C++,Accepted,15 ms,2000 KB,2018-01-11 18:08:00
60601870,Sep/15/2019 11:07,zkdxl,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-09-15 11:07:00
36773106,Mar/31/2018 15:03,TuDP99,16C - Monitor,GNU C++11,Accepted,30 ms,3400 KB,2018-03-31 15:03:00
28565086,Jul/15/2017 08:59,mohit28rawat#,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-07-15 08:59:00
58939030,Aug/17/2019 09:04,Self_patroit,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-08-17 09:04:00
21011334,Sep/30/2016 12:25,Smastoris123,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-09-30 12:25:00
13596363,Oct/13/2015 19:42,dashboard,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-10-13 19:42:00
21401495,Oct/13/2016 14:23,754986421653,16C - Monitor,GNU C++,Accepted,15 ms,2000 KB,2016-10-13 14:23:00
60769041,Sep/18/2019 15:02,mind_changer#,16C - Monitor,GNU C++17,Accepted,30 ms,0 KB,2019-09-18 15:02:00
1968344,Aug/01/2012 17:41,SPAND,16C - Monitor,GNU C++,Accepted,10 ms,1400 KB,2012-08-01 17:41:00
9273713,Dec/26/2014 11:14,cdexswzaq123,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2014-12-26 11:14:00
11349812,May/29/2015 22:00,grim_reaper#,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-05-29 22:00:00
14299059,Nov/16/2015 17:15,froghramar,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2015-11-16 17:15:00
26979860,May/09/2017 20:11,shoshi.aliyan,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2017-05-09 20:11:00
27755315,Jun/13/2017 15:26,upbeat,16C - Monitor,GNU C++14,Accepted,15 ms,0 KB,2017-06-13 15:26:00
57870722,Jul/28/2019 04:32,18034336,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-07-28 04:32:00
3294982,Mar/12/2013 18:04,aiiYuu,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2013-03-12 18:04:00
6816405,Jun/05/2014 08:13,vjudge1,16C - Monitor,GNU C++,Accepted,62 ms,0 KB,2014-06-05 08:13:00
9273653,Dec/26/2014 11:04,cdexswzaq123,16C - Monitor,GNU C++,Accepted,31 ms,0 KB,2014-12-26 11:04:00
277203,Feb/08/2011 16:53,Aleksey,16C - Monitor,Python 2,Accepted,80 ms,3000 KB,2011-02-08 16:53:00
14005864,Nov/01/2015 13:54,lone_rider,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-11-01 13:54:00
52579767,Apr/10/2019 21:22,Ahmad_Mohammad_Kouja,16C - Monitor,GNU C++14,Accepted,30 ms,0 KB,2019-04-10 21:22:00
15261138,Jan/09/2016 00:45,merolish,16C - Monitor,GNU C++11,Accepted,15 ms,0 KB,2016-01-09 00:45:00
59597080,Aug/28/2019 05:47,njwrz,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-08-28 05:47:00
59597132,Aug/28/2019 05:50,luogu_bot1,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-08-28 05:50:00
13424651,Oct/06/2015 04:10,osamash,16C - Monitor,GNU C++,Accepted,31 ms,0 KB,2015-10-06 04:10:00
58553515,Aug/11/2019 01:35,_MisPrint_,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-08-11 01:35:00
73715,Jun/08/2010 07:35,cielavenir,16C - Monitor,GNU C,Accepted,30 ms,1300 KB,2010-06-08 07:35:00
33442172,Dec/20/2017 03:29,MarcosK,16C - Monitor,GNU C++14,Accepted,15 ms,1900 KB,2017-12-20 03:29:00
50248575,Feb/20/2019 19:07,vjudge4,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-02-20 19:07:00
64655752,Nov/10/2019 22:13,flashmt,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-11-10 22:13:00
65573173,Nov/23/2019 11:31,EVON,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-11-23 11:31:00
9396197,Jan/10/2015 11:39,coolcodersn,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2015-01-10 11:39:00
