68338959,Jan/07/2020 04:28,cor001,297C - Splitting the Uniqueness,GNU C++11,Accepted,218 ms,1600 KB,2020-01-07 04:28:00
38421117,May/19/2018 10:20,sinus_070,297C - Splitting the Uniqueness,GNU C++17,Accepted,216 ms,3400 KB,2018-05-19 10:20:00
5861460,Feb/01/2014 12:31,mayukuner,297C - Splitting the Uniqueness,GNU C++0x,Accepted,186 ms,1500 KB,2014-02-01 12:31:00
11011723,May/06/2015 13:11,ptnk_1215_panaka_13,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1600 KB,2015-05-06 13:11:00
11279811,May/26/2015 17:15,Athee,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1600 KB,2015-05-26 17:15:00
21349740,Oct/11/2016 06:03,DTDT,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,5200 KB,2016-10-11 06:03:00
39759959,Jun/29/2018 09:17,Saturn,297C - Splitting the Uniqueness,GNU C++14,Accepted,498 ms,5600 KB,2018-06-29 09:17:00
3585635,Apr/21/2013 19:07,HoangNguyen,297C - Splitting the Uniqueness,GNU C++,Accepted,250 ms,1600 KB,2013-04-21 19:07:00
13786434,Oct/22/2015 10:30,harshil,297C - Splitting the Uniqueness,GNU C++11,Accepted,716 ms,2300 KB,2015-10-22 10:30:00
16530475,Mar/05/2016 12:27,vjudge5,298E - Splitting the Uniqueness,GNU C++,Accepted,186 ms,3100 KB,2016-03-05 12:27:00
26836370,May/04/2017 17:10,YanHan22,297C - Splitting the Uniqueness,GNU C++14,Accepted,186 ms,2000 KB,2017-05-04 17:10:00
79314733,May/07/2020 20:52,Test2311,297C - Splitting the Uniqueness,GNU C++17,Accepted,218 ms,6800 KB,2020-05-07 20:52:00
3609284,Apr/23/2013 09:22,136873448,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1700 KB,2013-04-23 09:22:00
3611207,Apr/23/2013 16:36,136873448,298E - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1700 KB,2013-04-23 16:36:00
71205596,Feb/16/2020 10:39,kyuna,298E - Splitting the Uniqueness,GNU C++14,Accepted,466 ms,1600 KB,2020-02-16 10:39:00
4687302,Oct/06/2013 16:53,vjudge1,297C - Splitting the Uniqueness,MS C++,Accepted,280 ms,1400 KB,2013-10-06 16:53:00
3601100,Apr/22/2013 17:55,alex20030190#,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1600 KB,2013-04-22 17:55:00
6242510,Apr/02/2014 17:13,709075442,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1600 KB,2014-04-02 17:13:00
55282527,Jun/08/2019 05:23,ITMO.cumBack,297C - Splitting the Uniqueness,GNU C++17,Accepted,184 ms,1600 KB,2019-06-08 05:23:00
11271850,May/26/2015 02:46,thesilione,297C - Splitting the Uniqueness,GNU C++11,Accepted,716 ms,1600 KB,2015-05-26 02:46:00
52265971,Apr/03/2019 14:22,Pigbrain,297C - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,1600 KB,2019-04-03 14:22:00
29699933,Aug/23/2017 10:03,vampire_slayer#,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1600 KB,2017-08-23 10:03:00
21790563,Oct/26/2016 12:24,vjudge5,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1400 KB,2016-10-26 12:24:00
3608382,Apr/23/2013 04:16,lzl65825,297C - Splitting the Uniqueness,GNU C++,Accepted,281 ms,3100 KB,2013-04-23 04:16:00
6352945,Apr/14/2014 11:18,Skeas,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,2400 KB,2014-04-14 11:18:00
3577571,Apr/20/2013 02:36,sping128,298E - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1500 KB,2013-04-20 02:36:00
3619230,Apr/25/2013 10:18,graysky,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1500 KB,2013-04-25 10:18:00
4687308,Oct/06/2013 16:54,vjudge3,297C - Splitting the Uniqueness,MS C++,Accepted,248 ms,1400 KB,2013-10-06 16:54:00
3609805,Apr/23/2013 11:56,dashuiren,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,1500 KB,2013-04-23 11:56:00
4687338,Oct/06/2013 17:02,vjudge2,297C - Splitting the Uniqueness,MS C++,Accepted,248 ms,1400 KB,2013-10-06 17:02:00
79644885,May/10/2020 14:05,zzy2333,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,5400 KB,2020-05-10 14:05:00
4941909,Oct/31/2013 13:02,oppsitre,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1600 KB,2013-10-31 13:02:00
3582408,Apr/20/2013 23:10,stevenkplus,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1500 KB,2013-04-20 23:10:00
3781685,May/27/2013 03:34,Jonis,297C - Splitting the Uniqueness,GNU C++,Accepted,265 ms,2400 KB,2013-05-27 03:34:00
4926811,Oct/29/2013 10:52,AloneWolf,297C - Splitting the Uniqueness,GNU C++,Accepted,93 ms,1500 KB,2013-10-29 10:52:00
5442197,Dec/15/2013 03:51,AlejandroFloresV,298E - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1600 KB,2013-12-15 03:51:00
17196772,Apr/07/2016 00:34,TheTerminalGuy,297C - Splitting the Uniqueness,GNU C++11,Accepted,374 ms,3700 KB,2016-04-07 00:34:00
6241573,Apr/02/2014 15:43,737566563,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1500 KB,2014-04-02 15:43:00
21586694,Oct/19/2016 11:51,weak_male,297C - Splitting the Uniqueness,GNU C++14,Accepted,216 ms,3000 KB,2016-10-19 11:51:00
3639217,Apr/27/2013 07:50,ayin,297C - Splitting the Uniqueness,GNU C++,Accepted,140 ms,2000 KB,2013-04-27 07:50:00
26075358,Apr/02/2017 13:24,livlivi,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,3400 KB,2017-04-02 13:24:00
21840158,Oct/28/2016 09:18,vjudge3,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,1200 KB,2016-10-28 09:18:00
55104084,Jun/05/2019 02:49,SoiMae,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1600 KB,2019-06-05 02:49:00
9662622,Feb/01/2015 10:36,pelak#,297C - Splitting the Uniqueness,GNU C++,Accepted,686 ms,1600 KB,2015-02-01 10:36:00
9662756,Feb/01/2015 10:52,pelak,298E - Splitting the Uniqueness,GNU C++,Accepted,686 ms,1600 KB,2015-02-01 10:52:00
3572417,Apr/19/2013 20:46,Milanin,297C - Splitting the Uniqueness,MS C++,Accepted,171 ms,1600 KB,2013-04-19 20:46:00
30547117,Sep/20/2017 16:35,ihave33cm,297C - Splitting the Uniqueness,GNU C++14,Accepted,186 ms,3900 KB,2017-09-20 16:35:00
19567074,Aug/01/2016 22:11,noor148,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,2300 KB,2016-08-01 22:11:00
3937909,Jun/23/2013 11:21,2011026137,298E - Splitting the Uniqueness,GNU C++,Accepted,281 ms,1500 KB,2013-06-23 11:21:00
12893689,Sep/08/2015 10:54,GabrielXO,297C - Splitting the Uniqueness,GNU C++,Accepted,686 ms,1600 KB,2015-09-08 10:54:00
12893717,Sep/08/2015 10:56,AHappyFlower,297C - Splitting the Uniqueness,GNU C++,Accepted,686 ms,1600 KB,2015-09-08 10:56:00
18104653,May/26/2016 16:18,cloverhxy,297C - Splitting the Uniqueness,GNU C++,Accepted,186 ms,17800 KB,2016-05-26 16:18:00
56510541,Jul/04/2019 13:08,megatron10599,297C - Splitting the Uniqueness,GNU C++14,Accepted,186 ms,1600 KB,2019-07-04 13:08:00
3579237,Apr/20/2013 11:43,hgame,297C - Splitting the Uniqueness,MS C++,Accepted,140 ms,1200 KB,2013-04-20 11:43:00
