31383262,Oct/16/2017 09:23,the_beast1315,702A - Maximum Increase,Python 2,Accepted,124 ms,5500 KB,2017-10-16 09:23:00
49293332,Jan/31/2019 23:32,galim665,702A - Maximum Increase,Python 3,Accepted,171 ms,8000 KB,2019-01-31 23:32:00
55510210,Jun/13/2019 00:28,chiragsoni812,702A - Maximum Increase,Python 3,Accepted,171 ms,8000 KB,2019-06-13 00:28:00
19487470,Jul/29/2016 18:30,ayush_kaushik,702A - Maximum Increase,Python 3,Accepted,124 ms,8300 KB,2016-07-29 18:30:00
24949301,Feb/24/2017 00:50,Unlenin,702A - Maximum Increase,Python 2,Accepted,124 ms,10000 KB,2017-02-24 00:50:00
35420929,Feb/17/2018 17:45,mateberishvili,702A - Maximum Increase,GNU C++,Accepted,234 ms,2000 KB,2018-02-17 17:45:00
48095522,Jan/08/2019 19:34,vjudge1,702A - Maximum Increase,PyPy 3,Accepted,202 ms,11000 KB,2019-01-08 19:34:00
53786178,May/05/2019 13:11,Yusuf652,702A - Maximum Increase,Python 3,Accepted,186 ms,8000 KB,2019-05-05 13:11:00
55676624,Jun/17/2019 13:46,frikhaa,702A - Maximum Increase,Python 3,Accepted,202 ms,8000 KB,2019-06-17 13:46:00
62332599,Oct/11/2019 00:46,BaJIepka,702A - Maximum Increase,PyPy 3,Accepted,233 ms,10900 KB,2019-10-11 00:46:00
74673206,Mar/28/2020 22:50,saitanuja01,702A - Maximum Increase,Python 3,Accepted,171 ms,8100 KB,2020-03-28 22:50:00
48424179,Jan/15/2019 17:07,Azizullo_Sadriddinov,702A - Maximum Increase,Python 3,Accepted,171 ms,8000 KB,2019-01-15 17:07:00
74781376,Mar/30/2020 06:08,AM_coder,702A - Maximum Increase,Python 3,Accepted,170 ms,8000 KB,2020-03-30 06:08:00
23342287,Dec/26/2016 17:40,frikha,702A - Maximum Increase,Python 3,Accepted,171 ms,12100 KB,2016-12-26 17:40:00
62946794,Oct/19/2019 20:39,Soumya_123,702A - Maximum Increase,Python 3,Accepted,155 ms,7300 KB,2019-10-19 20:39:00
63535097,Oct/27/2019 10:50,the_oathbreaker,702A - Maximum Increase,Python 3,Accepted,187 ms,8000 KB,2019-10-27 10:50:00
63926238,Oct/31/2019 16:05,shainkey98,702A - Maximum Increase,Python 3,Accepted,155 ms,7700 KB,2019-10-31 16:05:00
75590377,Apr/05/2020 19:53,code_marshal,702A - Maximum Increase,PyPy 2,Accepted,124 ms,7100 KB,2020-04-05 19:53:00
19498864,Jul/29/2016 20:15,af0706,702A - Maximum Increase,Python 3,Accepted,124 ms,8300 KB,2016-07-29 20:15:00
19833663,Aug/12/2016 20:07,AlKhawarizmiAliraqi,702A - Maximum Increase,Python 2,Accepted,124 ms,10000 KB,2016-08-12 20:07:00
19935790,Aug/17/2016 23:49,bradyzhou,702A - Maximum Increase,Python 3,Accepted,140 ms,12800 KB,2016-08-17 23:49:00
27619507,Jun/06/2017 21:00,Shravanthi_Reddy,702A - Maximum Increase,Python 3,Accepted,109 ms,8300 KB,2017-06-06 21:00:00
28468740,Jul/12/2017 12:07,Nodir_Bobiev,702A - Maximum Increase,Python 3,Accepted,139 ms,12300 KB,2017-07-12 12:07:00
34618133,Jan/28/2018 00:27,rumboalfuturo,702A - Maximum Increase,Python 3,Accepted,108 ms,13700 KB,2018-01-28 00:27:00
54822490,May/30/2019 07:11,rumboalfuturo,702A - Maximum Increase,Python 3,Accepted,155 ms,8000 KB,2019-05-30 07:11:00
