33671742,Dec/27/2017 17:59,PinkRabbit,572C - Lengthening Sticks,GNU C++14,Accepted,15 ms,1800 KB,2017-12-27 17:59:00
12696614,Aug/25/2015 17:04,trunghai95,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-25 17:04:00
12680519,Aug/24/2015 09:41,hossain.ruetcse,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-24 09:41:00
13750290,Oct/20/2015 14:39,DRERY,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-10-20 14:39:00
41964854,Aug/22/2018 14:44,MetaBro,571A - Lengthening Sticks,GNU C++14,Accepted,31 ms,0 KB,2018-08-22 14:44:00
24627141,Feb/13/2017 15:05,Tz_rain,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,2100 KB,2017-02-13 15:05:00
40098286,Jul/09/2018 05:10,vjudge5,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2018-07-09 05:10:00
48203238,Jan/11/2019 10:05,luogu_bot5,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-01-11 10:05:00
12672311,Aug/23/2015 14:22,Kuzey,572C - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-08-23 14:22:00
13703576,Oct/17/2015 22:57,yusufziya,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-10-17 22:57:00
12769666,Aug/30/2015 05:44,Amor727,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-08-30 05:44:00
52669293,Apr/13/2019 09:39,vjudge3,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-04-13 09:39:00
12672561,Aug/23/2015 14:44,Kuzey,571A - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 14:44:00
18633712,Jun/21/2016 19:55,hungchuhui,572C - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2016-06-21 19:55:00
12676207,Aug/23/2015 20:59,saisumit,571A - Lengthening Sticks,GNU C++11,Accepted,30 ms,0 KB,2015-08-23 20:59:00
15079370,Dec/29/2015 07:01,suchir,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-12-29 07:01:00
12669210,Aug/23/2015 09:41,sasikanth,572C - Lengthening Sticks,GNU C++,Accepted,31 ms,0 KB,2015-08-23 09:41:00
41330052,Aug/08/2018 11:10,rd29k#,572C - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-08-08 11:10:00
47330670,Dec/21/2018 15:45,luogu_bot2,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2018-12-21 15:45:00
12677554,Aug/24/2015 00:12,allanyin,572C - Lengthening Sticks,Python 2,Accepted,795 ms,0 KB,2015-08-24 00:12:00
17181973,Apr/06/2016 11:08,freebsdx,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,1800 KB,2016-04-06 11:08:00
14689633,Dec/07/2015 20:27,Rajib_119,571A - Lengthening Sticks,GNU C++,Accepted,15 ms,0 KB,2015-12-07 20:27:00
12841090,Sep/04/2015 16:20,PlayfulPanda,571A - Lengthening Sticks,GNU C++11,Accepted,15 ms,0 KB,2015-09-04 16:20:00
59883736,Sep/02/2019 09:42,luogu_bot2,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-09-02 09:42:00
64632380,Nov/10/2019 13:34,liuandi,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-11-10 13:34:00
67153650,Dec/18/2019 14:44,ysy20021208,571A - Lengthening Sticks,GNU C++11,Accepted,31 ms,0 KB,2019-12-18 14:44:00
17086893,Apr/01/2016 11:34,vjudge2,571A - Lengthening Sticks,MS C++,Accepted,31 ms,2000 KB,2016-04-01 11:34:00
