8805973,Nov/22/2014 22:07,thewalrus,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-22 22:07:00
8586055,Nov/06/2014 11:16,Sunnat,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-06 11:16:00
9677267,Feb/02/2015 17:58,scorpio19,485A - Factory,Python 2,Accepted,124 ms,3400 KB,2015-02-02 17:58:00
31882257,Oct/30/2017 09:08,Lachesis_Swarna,485A - Factory,GNU C++,Accepted,30 ms,0 KB,2017-10-30 09:08:00
10128481,Mar/03/2015 08:36,enrush,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-03-03 08:36:00
12626566,Aug/21/2015 13:51,someone23#,485A - Factory,MS C++,Accepted,15 ms,0 KB,2015-08-21 13:51:00
8807744,Nov/23/2014 03:33,grrdmatching,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-23 03:33:00
9056071,Dec/09/2014 10:30,dori,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-12-09 10:30:00
35726944,Feb/26/2018 12:47,2017ccut_wuqishuo,485A - Factory,GNU C++14,Accepted,15 ms,2000 KB,2018-02-26 12:47:00
45201009,Nov/02/2018 12:57,vjudge4,485A - Factory,GNU C++17,Accepted,30 ms,200 KB,2018-11-02 12:57:00
65228128,Nov/17/2019 06:12,kchau,485A - Factory,PyPy 3,Accepted,140 ms,0 KB,2019-11-17 06:12:00
76420769,Apr/12/2020 21:53,vikash_vian,485A - Factory,PyPy 3,Accepted,155 ms,1200 KB,2020-04-12 21:53:00
8597458,Nov/07/2014 03:09,.-.,485A - Factory,Python 3,Accepted,62 ms,0 KB,2014-11-07 03:09:00
23522298,Jan/03/2017 21:25,Rudy,485A - Factory,GNU C++,Accepted,15 ms,2000 KB,2017-01-03 21:25:00
61245995,Sep/25/2019 03:09,LittleBeetle,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-09-25 03:09:00
74279445,Mar/25/2020 13:39,ShArt23,485A - Factory,PyPy 3,Accepted,171 ms,1300 KB,2020-03-25 13:39:00
9069762,Dec/10/2014 11:38,Roodle,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-12-10 11:38:00
22884924,Dec/11/2016 19:45,Nike_VML,485A - Factory,Python 3,Accepted,62 ms,0 KB,2016-12-11 19:45:00
8560942,Nov/05/2014 19:37,bulat.s,485A - Factory,Python 2,Accepted,92 ms,0 KB,2014-11-05 19:37:00
8647561,Nov/11/2014 13:53,LadySylvanas,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-11 13:53:00
15235375,Jan/08/2016 13:27,binuu2679#,485A - Factory,Python 2,Accepted,109 ms,3400 KB,2016-01-08 13:27:00
8567602,Nov/05/2014 20:16,ilyahan,485A - Factory,Python 3,Accepted,93 ms,0 KB,2014-11-05 20:16:00
8580522,Nov/06/2014 02:10,dahem,485A - Factory,Python 2,Accepted,233 ms,0 KB,2014-11-06 02:10:00
8585540,Nov/06/2014 10:43,CHVRCHES,485A - Factory,Python 3,Accepted,61 ms,0 KB,2014-11-06 10:43:00
8585627,Nov/06/2014 10:49,CHVRCHES,485A - Factory,Python 3,Accepted,46 ms,0 KB,2014-11-06 10:49:00
8585634,Nov/06/2014 10:49,CHVRCHES,485A - Factory,Python 3,Accepted,46 ms,0 KB,2014-11-06 10:49:00
8585641,Nov/06/2014 10:50,CHVRCHES,485A - Factory,Python 3,Accepted,46 ms,0 KB,2014-11-06 10:50:00
8585646,Nov/06/2014 10:50,CHVRCHES,485A - Factory,Python 3,Accepted,46 ms,0 KB,2014-11-06 10:50:00
8606341,Nov/07/2014 19:05,kojimai,485A - Factory,Python 2,Accepted,61 ms,0 KB,2014-11-07 19:05:00
8614062,Nov/08/2014 14:56,VasiliyTheCat,485A - Factory,FPC,Accepted,15 ms,0 KB,2014-11-08 14:56:00
8670014,Nov/12/2014 13:38,Newer123,485A - Factory,Python 2,Accepted,62 ms,0 KB,2014-11-12 13:38:00
10767914,Apr/18/2015 15:57,Aly.Othman10,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2015-04-18 15:57:00
23617305,Jan/07/2017 08:43,Shinigami007,485A - Factory,GNU C++14,Accepted,15 ms,1900 KB,2017-01-07 08:43:00
79662074,May/10/2020 17:27,nothing9928,485A - Factory,GNU C++17,Accepted,31 ms,3700 KB,2020-05-10 17:27:00
8585533,Nov/06/2014 10:43,CHVRCHES,485A - Factory,Python 3,Accepted,77 ms,0 KB,2014-11-06 10:43:00
8624638,Nov/09/2014 19:34,con_nha_nguoi_ta,485A - Factory,FPC,Accepted,31 ms,0 KB,2014-11-09 19:34:00
8560535,Nov/05/2014 19:35,brodo,485A - Factory,Python 2,Accepted,93 ms,1600 KB,2014-11-05 19:35:00
8585412,Nov/06/2014 10:36,CHVRCHES,485A - Factory,Python 3,Accepted,62 ms,0 KB,2014-11-06 10:36:00
9290450,Dec/28/2014 13:54,clarinet758,485A - Factory,Python 2,Accepted,140 ms,0 KB,2014-12-28 13:54:00
10819439,Apr/22/2015 09:50,harunsami,485A - Factory,GNU C,Accepted,30 ms,1800 KB,2015-04-22 09:50:00
10833011,Apr/23/2015 12:22,hasann,485A - Factory,GNU C++,Accepted,15 ms,1900 KB,2015-04-23 12:22:00
29203223,Aug/04/2017 22:51,Qumeric,485A - Factory,Python 3,Accepted,93 ms,4500 KB,2017-08-04 22:51:00
24435215,Feb/04/2017 18:33,YazanRi,485A - Factory,GNU C++14,Accepted,15 ms,1900 KB,2017-02-04 18:33:00
8560442,Nov/05/2014 19:34,CHVRCHES,485A - Factory,Python 3,Accepted,109 ms,0 KB,2014-11-05 19:34:00
9418499,Jan/12/2015 19:26,zetilovn,485A - Factory,Python 3,Accepted,93 ms,400 KB,2015-01-12 19:26:00
10699300,Apr/14/2015 03:17,tawfique.bd,485A - Factory,Python 3,Accepted,61 ms,0 KB,2015-04-14 03:17:00
8685812,Nov/13/2014 18:35,zq13,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-13 18:35:00
10822704,Apr/22/2015 15:44,BestTrollEver,485A - Factory,GNU C++,Accepted,15 ms,1800 KB,2015-04-22 15:44:00
11712784,Jun/22/2015 20:30,Chasty,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-06-22 20:30:00
11734675,Jun/24/2015 13:49,hznu1,485A - Factory,GNU C++,Accepted,31 ms,0 KB,2015-06-24 13:49:00
18104264,May/26/2016 15:48,dreamhuan,485A - Factory,GNU C++11,Accepted,15 ms,2200 KB,2016-05-26 15:48:00
8586335,Nov/06/2014 11:35,dive5617#,485A - Factory,GNU C++,Accepted,31 ms,0 KB,2014-11-06 11:35:00
8602957,Nov/07/2014 15:54,vaibhavcse101,485A - Factory,GNU C,Accepted,31 ms,100 KB,2014-11-07 15:54:00
8692327,Nov/14/2014 14:25,The_Assassin43,485A - Factory,GNU C,Accepted,15 ms,0 KB,2014-11-14 14:25:00
50538046,Feb/26/2019 19:41,innocent_coder,485A - Factory,GNU C++17,Accepted,31 ms,0 KB,2019-02-26 19:41:00
9204977,Dec/20/2014 12:55,roiti46#,485A - Factory,Python 2,Accepted,576 ms,16000 KB,2014-12-20 12:55:00
9204984,Dec/20/2014 12:55,roiti46#,485A - Factory,Python 2,Accepted,77 ms,0 KB,2014-12-20 12:55:00
9403163,Jan/11/2015 16:12,yugle7,485A - Factory,Python 3,Accepted,77 ms,0 KB,2015-01-11 16:12:00
13920819,Oct/28/2015 21:13,130705009,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-10-28 21:13:00
75949480,Apr/09/2020 07:29,karthikprakashramadoss,485A - Factory,Python 3,Accepted,109 ms,0 KB,2020-04-09 07:29:00
77013926,Apr/16/2020 22:58,thukrake_mera_pyaar,485A - Factory,Python 3,Accepted,140 ms,0 KB,2020-04-16 22:58:00
8598757,Nov/07/2014 08:39,asteri,485A - Factory,GNU C,Accepted,15 ms,0 KB,2014-11-07 08:39:00
8713489,Nov/16/2014 21:29,hjkawadiya,485A - Factory,GNU C,Accepted,46 ms,0 KB,2014-11-16 21:29:00
10767424,Apr/18/2015 15:18,luka2002,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-04-18 15:18:00
13133519,Sep/22/2015 02:05,mortaza9,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-09-22 02:05:00
18826950,Jun/30/2016 19:00,ArissaV,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2016-06-30 19:00:00
8603437,Nov/07/2014 16:32,ilovealyona,485A - Factory,Python 2,Accepted,61 ms,0 KB,2014-11-07 16:32:00
46907400,Dec/11/2018 17:59,michicode,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2018-12-11 17:59:00
34472089,Jan/23/2018 10:24,laoliumang,485A - Factory,Python 2,Accepted,62 ms,4500 KB,2018-01-23 10:24:00
9093905,Dec/12/2014 20:03,saivivek51,485A - Factory,GNU C,Accepted,30 ms,0 KB,2014-12-12 20:03:00
8709852,Nov/16/2014 12:29,ak08,485A - Factory,Python 2,Accepted,92 ms,1600 KB,2014-11-16 12:29:00
8836831,Nov/24/2014 17:24,z423x5c6,485A - Factory,Python 3,Accepted,139 ms,5100 KB,2014-11-24 17:24:00
9088142,Dec/12/2014 10:21,Latko,485A - Factory,Python 3,Accepted,623 ms,0 KB,2014-12-12 10:21:00
13801152,Oct/23/2015 05:00,froghramar,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2015-10-23 05:00:00
57322993,Jul/19/2019 13:53,shenmadongdong,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-07-19 13:53:00
8581036,Nov/06/2014 03:25,Levantiy,485A - Factory,Python 3,Accepted,93 ms,400 KB,2014-11-06 03:25:00
8586000,Nov/06/2014 11:12,AIdancer,485A - Factory,Python 2,Accepted,77 ms,0 KB,2014-11-06 11:12:00
9232847,Dec/23/2014 15:59,2435060210,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-12-23 15:59:00
9813741,Feb/13/2015 09:41,JeffreyLC,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-02-13 09:41:00
59251985,Aug/22/2019 07:32,limabeans,485A - Factory,PyPy 3,Accepted,140 ms,0 KB,2019-08-22 07:32:00
67151967,Dec/18/2019 14:08,vectorishere,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-12-18 14:08:00
74279423,Mar/25/2020 13:38,Sevlll,485A - Factory,PyPy 3,Accepted,155 ms,10200 KB,2020-03-25 13:38:00
8624504,Nov/09/2014 19:18,imperio,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-09 19:18:00
79960151,May/13/2020 11:48,krishna369,485A - Factory,PyPy 3,Accepted,155 ms,20900 KB,2020-05-13 11:48:00
9552330,Jan/25/2015 20:53,thuytiendang20695,485A - Factory,GNU C++0x,Accepted,30 ms,0 KB,2015-01-25 20:53:00
9745275,Feb/07/2015 17:06,GNU_GCC,485A - Factory,Python 3,Accepted,108 ms,0 KB,2015-02-07 17:06:00
8586556,Nov/06/2014 11:49,mss175,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-06 11:49:00
8587282,Nov/06/2014 12:40,terry182,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2014-11-06 12:40:00
12340239,Aug/04/2015 18:18,OriginalM,485A - Factory,FPC,Accepted,15 ms,0 KB,2015-08-04 18:18:00
16504176,Mar/04/2016 01:26,yigezhe,485A - Factory,GNU C,Accepted,31 ms,0 KB,2016-03-04 01:26:00
8591085,Nov/06/2014 16:46,sunjie7,485A - Factory,Python 2,Accepted,109 ms,400 KB,2014-11-06 16:46:00
8594240,Nov/06/2014 20:33,Nero138,485A - Factory,FPC,Accepted,62 ms,0 KB,2014-11-06 20:33:00
8598190,Nov/07/2014 06:30,nealzane,485A - Factory,Python 2,Accepted,109 ms,400 KB,2014-11-07 06:30:00
12264542,Jul/29/2015 15:38,mukulchandel,485A - Factory,Python 3,Accepted,62 ms,0 KB,2015-07-29 15:38:00
28914766,Jul/26/2017 23:56,naimur_rahman,485A - Factory,GNU C++14,Accepted,15 ms,1900 KB,2017-07-26 23:56:00
8562036,Nov/05/2014 19:41,Gotzillaz,485A - Factory,Python 2,Accepted,92 ms,0 KB,2014-11-05 19:41:00
68135137,Jan/03/2020 21:34,karandeep09,485A - Factory,GNU C++14,Accepted,30 ms,0 KB,2020-01-03 21:34:00
8565276,Nov/05/2014 19:54,hatsuyuki15,485A - Factory,Python 3,Accepted,109 ms,4900 KB,2014-11-05 19:54:00
9304731,Dec/30/2014 14:19,Misaki_Nakahara,485A - Factory,Python 2,Accepted,140 ms,0 KB,2014-12-30 14:19:00
49079515,Jan/28/2019 08:34,luogu_bot2,485A - Factory,GNU C++11,Accepted,31 ms,0 KB,2019-01-28 08:34:00
10096307,Mar/01/2015 16:02,Toshiksvg,485A - Factory,GNU C++,Accepted,15 ms,0 KB,2015-03-01 16:02:00
8627876,Nov/10/2014 05:58,yummy,485A - Factory,GNU C++0x,Accepted,15 ms,0 KB,2014-11-10 05:58:00
9743612,Feb/07/2015 12:37,hakobyan.tigran,485A - Factory,GNU C++0x,Accepted,31 ms,0 KB,2015-02-07 12:37:00
11107697,May/15/2015 16:35,saba2000#,485A - Factory,MS C++,Accepted,15 ms,0 KB,2015-05-15 16:35:00
19312828,Jul/22/2016 07:10,DiegoC,485A - Factory,GNU C++11,Accepted,15 ms,0 KB,2016-07-22 07:10:00
49663216,Feb/09/2019 16:20,ashok123,485A - Factory,PyPy 3,Accepted,139 ms,0 KB,2019-02-09 16:20:00
21322379,Oct/09/2016 19:10,firas_ghanem,485A - Factory,GNU C++11,Accepted,15 ms,2000 KB,2016-10-09 19:10:00
74229655,Mar/24/2020 21:03,ranjithm2001,485A - Factory,Python 3,Accepted,155 ms,0 KB,2020-03-24 21:03:00
8644559,Nov/11/2014 03:41,yermak0v,485A - Factory,Python 2,Accepted,46 ms,0 KB,2014-11-11 03:41:00
