61832453,Oct/04/2019 09:58,rodrigods,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-10-04 09:58:00
42861211,Sep/14/2018 15:58,Kurisu__,870A - Search for Pretty Integers,Python 3,Accepted,140 ms,300 KB,2018-09-14 15:58:00
65034070,Nov/15/2019 14:00,chiragsoni812,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-11-15 14:00:00
37800374,May/01/2018 16:45,arsrivish2,872A - Search for Pretty Integers,Python 3,Accepted,93 ms,6900 KB,2018-05-01 16:45:00
31340333,Oct/15/2017 11:24,AliceG,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:24:00
31375393,Oct/15/2017 21:45,USEaglE,872A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-10-15 21:45:00
53316154,Apr/26/2019 13:25,k1rt,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-04-26 13:25:00
31336462,Oct/15/2017 11:14,kishertka,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:14:00
32815723,Nov/30/2017 23:03,alexey_kuldoshin,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5500 KB,2017-11-30 23:03:00
40886307,Jul/28/2018 16:05,luogu_bot5,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2018-07-28 16:05:00
45930973,Nov/18/2018 20:04,Cirno42,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2018-11-18 20:04:00
31365205,Oct/15/2017 15:44,luke0201,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 15:44:00
31342596,Oct/15/2017 11:30,vishal_itachi,872A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-10-15 11:30:00
31416804,Oct/16/2017 18:40,cifra,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-16 18:40:00
31370507,Oct/15/2017 18:21,goulin,872A - Search for Pretty Integers,Python 2,Accepted,62 ms,4500 KB,2017-10-15 18:21:00
31510681,Oct/19/2017 17:05,Just__Nick,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-19 17:05:00
32196175,Nov/10/2017 16:20,"gfsddfsg: OlegF, denmanorwat#",870A - Search for Pretty Integers,Python 3,Accepted,77 ms,0 KB,2017-11-10 16:20:00
32557502,Nov/22/2017 20:08,Pearho,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,0 KB,2017-11-22 20:08:00
43701630,Oct/02/2018 21:56,jeykolton,870A - Search for Pretty Integers,Python 3,Accepted,139 ms,0 KB,2018-10-02 21:56:00
51652676,Mar/21/2019 22:34,vjudge1,870A - Search for Pretty Integers,Python 2,Accepted,171 ms,0 KB,2019-03-21 22:34:00
53087279,Apr/21/2019 12:30,essi,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-04-21 12:30:00
71278353,Feb/17/2020 15:56,stars_in_the_sky,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2020-02-17 15:56:00
71278408,Feb/17/2020 15:57,stars_in_the_sky,872A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2020-02-17 15:57:00
31335030,Oct/15/2017 11:11,exp101t,870A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-10-15 11:11:00
57015556,Jul/14/2019 14:26,propashii,870A - Search for Pretty Integers,PyPy 3,Accepted,139 ms,0 KB,2019-07-14 14:26:00
58186447,Aug/02/2019 20:21,Akshitsharma_21,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-08-02 20:21:00
31336408,Oct/15/2017 11:14,iromanagureev,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:14:00
31365844,Oct/15/2017 16:03,komendart,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 16:03:00
46257025,Nov/26/2018 20:23,6yprep,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2018-11-26 20:23:00
31346760,Oct/15/2017 11:45,_4dr_,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:45:00
32180664,Nov/09/2017 23:07,Peterian#,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,0 KB,2017-11-09 23:07:00
58546677,Aug/10/2019 20:06,garg11,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-08-10 20:06:00
58680787,Aug/12/2019 21:50,rkkksss,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-08-12 21:50:00
31334724,Oct/15/2017 11:11,aleksandr.kovalchukov,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:11:00
31335993,Oct/15/2017 11:13,siddhant22,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:13:00
32196315,Nov/10/2017 16:25,"gfsddfsg: OlegF, denmanorwat#",870A - Search for Pretty Integers,Python 3,Accepted,62 ms,0 KB,2017-11-10 16:25:00
42861497,Sep/14/2018 16:07,Kurisu__,870A - Search for Pretty Integers,Python 3,Accepted,139 ms,300 KB,2018-09-14 16:07:00
44420120,Oct/17/2018 00:43,figdan,870A - Search for Pretty Integers,PyPy 2,Accepted,124 ms,0 KB,2018-10-17 00:43:00
31343950,Oct/15/2017 11:35,bober2801,870A - Search for Pretty Integers,Python 3,Accepted,61 ms,5400 KB,2017-10-15 11:35:00
31697475,Oct/25/2017 05:59,shivam_1708,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,0 KB,2017-10-25 05:59:00
36387301,Mar/18/2018 14:51,daleks,870A - Search for Pretty Integers,Python 3,Accepted,93 ms,6900 KB,2018-03-18 14:51:00
57280093,Jul/18/2019 15:25,Ajay_Modi,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-07-18 15:25:00
31362536,Oct/15/2017 14:35,duke1,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 14:35:00
33264229,Dec/15/2017 15:48,Mohit3754,870A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-12-15 15:48:00
59442972,Aug/25/2019 15:02,_viru_,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-08-25 15:02:00
60775470,Sep/18/2019 17:12,gp409,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-09-18 17:12:00
31334822,Oct/15/2017 11:11,zhukovp0101,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:11:00
31355081,Oct/15/2017 12:28,viking20131,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 12:28:00
66571281,Dec/10/2019 07:43,Kirito_re,870A - Search for Pretty Integers,PyPy 3,Accepted,155 ms,0 KB,2019-12-10 07:43:00
31341922,Oct/15/2017 11:28,andrey300902,870A - Search for Pretty Integers,Python 3,Accepted,78 ms,5400 KB,2017-10-15 11:28:00
31432825,Oct/16/2017 23:42,Nada_,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-16 23:42:00
31341827,Oct/15/2017 11:28,Dimon_danone,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:28:00
31354357,Oct/15/2017 12:23,Aleks5d,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 12:23:00
35139678,Feb/11/2018 02:59,niquefa_diego,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5500 KB,2018-02-11 02:59:00
74794267,Mar/30/2020 10:13,Nishant_Rao,870A - Search for Pretty Integers,PyPy 3,Accepted,140 ms,0 KB,2020-03-30 10:13:00
31345971,Oct/15/2017 11:42,arsenij911,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:42:00
31336580,Oct/15/2017 11:14,gsuble,870A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-10-15 11:14:00
31352251,Oct/15/2017 12:11,Mentos035,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 12:11:00
54528847,May/23/2019 19:00,Akash_123,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-05-23 19:00:00
60448204,Sep/12/2019 17:55,mohi07,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-09-12 17:55:00
44420824,Oct/17/2018 01:29,_alebarros,870A - Search for Pretty Integers,PyPy 2,Accepted,124 ms,0 KB,2018-10-17 01:29:00
31345974,Oct/15/2017 11:42,Ghoustchat,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:42:00
48066527,Jan/07/2019 21:29,Mtaylor,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,0 KB,2019-01-07 21:29:00
31372097,Oct/15/2017 19:17,flygrounder,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 19:17:00
31344381,Oct/15/2017 11:36,Makler,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:36:00
31375452,Oct/15/2017 21:47,USEaglE,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 21:47:00
33005840,Dec/07/2017 19:26,Arhimason#,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5500 KB,2017-12-07 19:26:00
44431121,Oct/17/2018 10:41,kolemaxx,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2018-10-17 10:41:00
31333432,Oct/15/2017 11:08,TanyaCheremkhina,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:08:00
31452622,Oct/17/2017 17:43,rafalk342,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-17 17:43:00
31532545,Oct/20/2017 15:18,DanGolov,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-20 15:18:00
31602334,Oct/22/2017 14:41,sunhong,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-22 14:41:00
33599182,Dec/24/2017 21:36,MSteine,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5500 KB,2017-12-24 21:36:00
31334551,Oct/15/2017 11:11,Marble1,870A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:11:00
31334872,Oct/15/2017 11:11,Mad_Andrei,872A - Search for Pretty Integers,Python 3,Accepted,77 ms,5400 KB,2017-10-15 11:11:00
62763638,Oct/17/2019 10:50,nagordeev0106,870A - Search for Pretty Integers,Python 3,Accepted,124 ms,0 KB,2019-10-17 10:50:00
74306856,Mar/25/2020 18:25,rasool.thr,870A - Search for Pretty Integers,Python 3,Accepted,109 ms,300 KB,2020-03-25 18:25:00
31336088,Oct/15/2017 11:13,JustAni,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:13:00
31337539,Oct/15/2017 11:16,SarasDeras,870A - Search for Pretty Integers,PyPy 3,Accepted,109 ms,22300 KB,2017-10-15 11:16:00
36930113,Apr/03/2018 21:35,rjkz2792009,870A - Search for Pretty Integers,Python 3,Accepted,93 ms,6900 KB,2018-04-03 21:35:00
31364763,Oct/15/2017 15:30,aadish#,872A - Search for Pretty Integers,Python 3,Accepted,61 ms,5400 KB,2017-10-15 15:30:00
31345087,Oct/15/2017 11:39,Oper_80,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:39:00
32377694,Nov/17/2017 15:18,Jiburiru,870A - Search for Pretty Integers,Python 3,Accepted,61 ms,0 KB,2017-11-17 15:18:00
31336350,Oct/15/2017 11:14,bandi.enkh,872A - Search for Pretty Integers,Python 3,Accepted,62 ms,5400 KB,2017-10-15 11:14:00
