51864338,Mar/26/2019 17:29,darko_,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-03-26 17:29:00
56254239,Jun/29/2019 08:23,Aradam,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-06-29 08:23:00
30908269,Oct/01/2017 15:14,Koi_ga_umareru,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-01 15:14:00
74310247,Mar/25/2020 18:52,ByMykel,867A - Between the Offices,Python 3,Accepted,108 ms,0 KB,2020-03-25 18:52:00
76706208,Apr/14/2020 17:49,boehmer6669,867A - Between the Offices,PyPy 3,Accepted,139 ms,0 KB,2020-04-14 17:49:00
76711667,Apr/14/2020 18:39,gvvivek01,867A - Between the Offices,Python 3,Accepted,93 ms,0 KB,2020-04-14 18:39:00
77725161,Apr/23/2020 10:48,Machina,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2020-04-23 10:48:00
30872870,Sep/30/2017 20:08,SoSooding,867A - Between the Offices,Python 2,Accepted,46 ms,0 KB,2017-09-30 20:08:00
36061365,Mar/08/2018 08:24,xiaowuc1,867A - Between the Offices,Python 2,Accepted,62 ms,4500 KB,2018-03-08 08:24:00
50434410,Feb/24/2019 18:39,Kirillov_Alexey,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-02-24 18:39:00
54363838,May/19/2019 02:34,Songpa-guFlowerDeer,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-05-19 02:34:00
60400082,Sep/11/2019 19:21,hugjz,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-09-11 19:21:00
63488013,Oct/26/2019 16:58,Sumaiyah,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-10-26 16:58:00
76906522,Apr/15/2020 23:52,xuey,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2020-04-15 23:52:00
31090023,Oct/06/2017 21:19,iamlerushka,867A - Between the Offices,Python 3,Accepted,62 ms,0 KB,2017-10-06 21:19:00
32911879,Dec/04/2017 06:24,newpie,867A - Between the Offices,Python 3,Accepted,62 ms,5400 KB,2017-12-04 06:24:00
78437262,Apr/29/2020 06:33,evgenyc,867A - Between the Offices,Python 3,Accepted,93 ms,0 KB,2020-04-29 06:33:00
30915315,Oct/01/2017 20:40,rishi_sharma99#,867A - Between the Offices,Python 3,Accepted,61 ms,0 KB,2017-10-01 20:40:00
46208131,Nov/25/2018 18:36,ARSHIA,867A - Between the Offices,PyPy 3,Accepted,140 ms,0 KB,2018-11-25 18:36:00
47968197,Jan/05/2019 16:11,daotiennamhlvl,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-01-05 16:11:00
58141768,Aug/01/2019 21:31,Venom_007,867A - Between the Offices,Python 3,Accepted,124 ms,0 KB,2019-08-01 21:31:00
53190284,Apr/23/2019 15:32,vjudge2,867A - Between the Offices,Python 3,Accepted,109 ms,0 KB,2019-04-23 15:32:00
