33595086,Dec/24/2017 17:07,iLoveIOI,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 17:07:00
33640815,Dec/26/2017 12:04,diplon,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-26 12:04:00
35182979,Feb/12/2018 18:54,N2001,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2018-02-12 18:54:00
35224737,Feb/14/2018 10:00,Elhamslmn,907A - Masha and Bears,GNU C++,Accepted,15 ms,2100 KB,2018-02-14 10:00:00
40736712,Jul/25/2018 13:16,noorieh_Esmaili,907A - Masha and Bears,GNU C++,Accepted,30 ms,0 KB,2018-07-25 13:16:00
69961875,Feb/01/2020 14:40,Kiriaya,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2020-02-01 14:40:00
33611390,Dec/25/2017 11:05,1627405131_ws,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-25 11:05:00
64341256,Nov/06/2019 05:54,zs__std,907A - Masha and Bears,Python 3,Accepted,109 ms,0 KB,2019-11-06 05:54:00
33618870,Dec/25/2017 17:07,__Apocrypha,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-25 17:07:00
49680286,Feb/10/2019 03:15,luogu_bot3,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2019-02-10 03:15:00
49766241,Feb/11/2019 14:48,luogu_bot2,907A - Masha and Bears,GNU C++11,Accepted,31 ms,0 KB,2019-02-11 14:48:00
33577352,Dec/23/2017 22:47,Mad_screwdriver,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-23 22:47:00
33550085,Dec/23/2017 17:36,sugam1111,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-23 17:36:00
33844230,Jan/01/2018 12:15,wtfit,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2018-01-01 12:15:00
34269459,Jan/18/2018 10:24,Wuxing,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-18 10:24:00
34271564,Jan/18/2018 12:05,square1111,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-18 12:05:00
34972260,Feb/06/2018 16:37,X-Ra-X,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-02-06 16:37:00
33583552,Dec/24/2017 07:42,manassingh557,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 07:42:00
34258884,Jan/17/2018 20:54,poojz.797,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2018-01-17 20:54:00
34521468,Jan/24/2018 18:28,psquare,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2018-01-24 18:28:00
64722015,Nov/12/2019 07:20,luogu_bot1,907A - Masha and Bears,FPC,Accepted,31 ms,0 KB,2019-11-12 07:20:00
54170992,May/15/2019 14:02,Test2311,907A - Masha and Bears,GNU C++17,Accepted,31 ms,0 KB,2019-05-15 14:02:00
33584312,Dec/24/2017 08:39,jlbcljb,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 08:39:00
33595027,Dec/24/2017 17:05,MaghrabyZ,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 17:05:00
33582672,Dec/24/2017 06:17,Ram_Negative,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-24 06:17:00
33700777,Dec/28/2017 07:59,orailly,907A - Masha and Bears,Python 3,Accepted,122 ms,5400 KB,2017-12-28 07:59:00
33582663,Dec/24/2017 06:16,Hoppa,907A - Masha and Bears,GNU C++11,Accepted,15 ms,2000 KB,2017-12-24 06:16:00
33948727,Jan/05/2018 21:28,Killer_Mind,907A - Masha and Bears,GNU C++14,Accepted,30 ms,1900 KB,2018-01-05 21:28:00
34116759,Jan/13/2018 04:14,xiefff,907A - Masha and Bears,GNU C++,Accepted,15 ms,1800 KB,2018-01-13 04:14:00
33863500,Jan/02/2018 15:23,AndreiM28,907A - Masha and Bears,GNU C++,Accepted,30 ms,2000 KB,2018-01-02 15:23:00
33574093,Dec/23/2017 20:28,nilesh8757,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 20:28:00
33574162,Dec/23/2017 20:30,fr0qt,907A - Masha and Bears,GNU C++14,Accepted,15 ms,1900 KB,2017-12-23 20:30:00
33577021,Dec/23/2017 22:32,ayush19,907A - Masha and Bears,GNU C,Accepted,15 ms,1800 KB,2017-12-23 22:32:00
33577856,Dec/23/2017 23:18,QIAUP,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-23 23:18:00
33584308,Dec/24/2017 08:39,qianzhengjie,907A - Masha and Bears,GNU C++,Accepted,15 ms,2000 KB,2017-12-24 08:39:00
33611098,Dec/25/2017 10:50,remestel,907A - Masha and Bears,Python 3,Accepted,62 ms,5500 KB,2017-12-25 10:50:00
