39050714,Jun/08/2018 19:18,Paixao,8A - Train and Peter,Python 3,Accepted,186 ms,200 KB,2018-06-08 19:18:00
73749416,Mar/20/2020 03:13,thech0sen1#,8A - Train and Peter,PyPy 3,Accepted,342 ms,700 KB,2020-03-20 03:13:00
78008992,Apr/25/2020 12:42,NekoBoyy,8A - Train and Peter,PyPy 3,Accepted,312 ms,700 KB,2020-04-25 12:42:00
52455479,Apr/07/2019 14:34,teitoku,8A - Train and Peter,PyPy 3,Accepted,342 ms,1900 KB,2019-04-07 14:34:00
69227743,Jan/21/2020 11:05,vjudge2,8A - Train and Peter,Python 3,Accepted,248 ms,600 KB,2020-01-21 11:05:00
37123,Apr/08/2010 22:20,kusano,8A - Train and Peter,Python 2,Accepted,60 ms,2900 KB,2010-04-08 22:20:00
6585660,May/11/2014 10:56,Qumeric,8A - Train and Peter,Python 3,Accepted,124 ms,100 KB,2014-05-11 10:56:00
38636072,May/26/2018 17:21,andinet,8A - Train and Peter,Perl,Accepted,62 ms,0 KB,2018-05-26 17:21:00
34306,Apr/08/2010 19:59,kusano,8A - Train and Peter,Python 2,Accepted,110 ms,2900 KB,2010-04-08 19:59:00
36119271,Mar/09/2018 17:01,vadim.tisse,8A - Train and Peter,Python 3,Accepted,154 ms,5700 KB,2018-03-09 17:01:00
55403669,Jun/10/2019 18:22,A_Ashgr,8A - Train and Peter,Python 3,Accepted,248 ms,200 KB,2019-06-10 18:22:00
73604479,Mar/18/2020 22:42,Vasiliy_48,8A - Train and Peter,Python 3,Accepted,248 ms,500 KB,2020-03-18 22:42:00
856977,Nov/11/2011 01:48,paykoob,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-11-11 01:48:00
53695182,May/03/2019 10:20,daotiennamhlvl,8A - Train and Peter,Python 3,Accepted,218 ms,200 KB,2019-05-03 10:20:00
51416725,Mar/17/2019 17:24,cs1g,8A - Train and Peter,PyPy 3,Accepted,342 ms,1900 KB,2019-03-17 17:24:00
652194,Aug/30/2011 16:18,shevaknu,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2011-08-30 16:18:00
78485155,Apr/29/2020 17:19,andreea0110,8A - Train and Peter,Python 3,Accepted,218 ms,600 KB,2020-04-29 17:19:00
18815419,Jun/30/2016 06:18,orailly,8A - Train and Peter,Python 3,Accepted,154 ms,200 KB,2016-06-30 06:18:00
23648134,Jan/08/2017 17:52,mosendz,8A - Train and Peter,Python 3,Accepted,154 ms,4700 KB,2017-01-08 17:52:00
69011697,Jan/18/2020 06:56,Alex_Wei,8A - Train and Peter,GNU C++11,Accepted,92 ms,200 KB,2020-01-18 06:56:00
35503,Apr/08/2010 20:34,insane,8A - Train and Peter,Python 2,Accepted,90 ms,3000 KB,2010-04-08 20:34:00
66884408,Dec/14/2019 20:42,drishti_2301,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-12-14 20:42:00
24705626,Feb/16/2017 00:18,elistark,8A - Train and Peter,Python 2,Accepted,124 ms,4900 KB,2017-02-16 00:18:00
79264746,May/07/2020 14:43,linachip,8A - Train and Peter,Python 3,Accepted,218 ms,7100 KB,2020-05-07 14:43:00
62594146,Oct/15/2019 03:03,zkdxl,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-10-15 03:03:00
72669590,Mar/07/2020 17:27,Rametago,8A - Train and Peter,Python 3,Accepted,218 ms,600 KB,2020-03-07 17:27:00
55398677,Jun/10/2019 15:59,vjudge1,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-06-10 15:59:00
57914478,Jul/29/2019 02:53,lopare,8A - Train and Peter,GNU C++11,Accepted,92 ms,200 KB,2019-07-29 02:53:00
28652471,Jul/18/2017 05:17,rgkbitw,8A - Train and Peter,Python 3,Accepted,124 ms,4700 KB,2017-07-18 05:17:00
7245143,Jul/26/2014 00:17,t.janssen52,8A - Train and Peter,Python 2,Accepted,124 ms,400 KB,2014-07-26 00:17:00
69908769,Jan/31/2020 17:49,ak_taniya124,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2020-01-31 17:49:00
44298254,Oct/14/2018 13:28,khaconoc,8A - Train and Peter,GNU C++11,Accepted,92 ms,200 KB,2018-10-14 13:28:00
55398640,Jun/10/2019 15:58,tianming5,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2019-06-10 15:58:00
66483325,Dec/08/2019 07:40,nabid_anzum,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-12-08 07:40:00
35476,Apr/08/2010 20:33,kronos,8A - Train and Peter,Ruby,Accepted,90 ms,4000 KB,2010-04-08 20:33:00
