2744092,Dec/09/2012 21:04,serega.belarus,254A - Cards with Numbers,GNU C++,Accepted,390 ms,2500 KB,2012-12-09 21:04:00
78962175,May/04/2020 14:34,shantol,254A - Cards with Numbers,PyPy 3,Accepted,888 ms,42200 KB,2020-05-04 14:34:00
2735599,Dec/09/2012 14:18,akashdeep,254A - Cards with Numbers,GNU C++,Accepted,359 ms,8000 KB,2012-12-09 14:18:00
2826967,Dec/25/2012 23:49,alderamin,254A - Cards with Numbers,GNU C++,Accepted,375 ms,2500 KB,2012-12-25 23:49:00
58952359,Aug/17/2019 14:30,vjudge5,254A - Cards with Numbers,GNU C++14,Accepted,202 ms,2500 KB,2019-08-17 14:30:00
8470944,Oct/29/2014 18:41,apusko,254A - Cards with Numbers,Python 3,Accepted,935 ms,45400 KB,2014-10-29 18:41:00
14422804,Nov/23/2015 10:39,Kanish_The_Vista,254A - Cards with Numbers,GNU C++11,Accepted,202 ms,2300 KB,2015-11-23 10:39:00
2768021,Dec/15/2012 02:18,Stalker,254A - Cards with Numbers,FPC,Accepted,203 ms,200 KB,2012-12-15 02:18:00
3972594,Jun/28/2013 18:57,sona_444,254A - Cards with Numbers,GNU C,Accepted,359 ms,2500 KB,2013-06-28 18:57:00
4003559,Jul/02/2013 18:50,gct,254A - Cards with Numbers,GNU C,Accepted,359 ms,2500 KB,2013-07-02 18:50:00
5651526,Jan/10/2014 13:53,xim97,254A - Cards with Numbers,FPC,Accepted,109 ms,200 KB,2014-01-10 13:53:00
5784141,Jan/24/2014 14:17,KuRbI,254A - Cards with Numbers,GNU C++,Accepted,592 ms,2500 KB,2014-01-24 14:17:00
69095672,Jan/19/2020 14:56,vjudge4,254A - Cards with Numbers,MS C++,Accepted,202 ms,3700 KB,2020-01-19 14:56:00
2746507,Dec/10/2012 13:31,nealzane,254A - Cards with Numbers,GNU C++,Accepted,421 ms,6400 KB,2012-12-10 13:31:00
2791629,Dec/18/2012 20:35,tom__bo,254A - Cards with Numbers,GNU C++,Accepted,390 ms,6900 KB,2012-12-18 20:35:00
17008721,Mar/28/2016 22:22,Depinder,254A - Cards with Numbers,GNU C++,Accepted,249 ms,8300 KB,2016-03-28 22:22:00
12020999,Jul/12/2015 19:12,Rabahjamal,254A - Cards with Numbers,GNU C++,Accepted,217 ms,2400 KB,2015-07-12 19:12:00
19430506,Jul/27/2016 01:40,Deathly_Hallows,254A - Cards with Numbers,GNU C++11,Accepted,202 ms,2500 KB,2016-07-27 01:40:00
70183300,Feb/03/2020 23:35,anurag6861,254A - Cards with Numbers,GNU C++14,Accepted,998 ms,12500 KB,2020-02-03 23:35:00
70761842,Feb/11/2020 05:09,vjudge3,254A - Cards with Numbers,MS C++,Accepted,202 ms,3700 KB,2020-02-11 05:09:00
75734849,Apr/07/2020 13:47,Thyaga,254A - Cards with Numbers,GNU C++17,Accepted,218 ms,2500 KB,2020-04-07 13:47:00
7744052,Sep/11/2014 18:37,gagagapapa,254A - Cards with Numbers,GNU C++,Accepted,202 ms,2500 KB,2014-09-11 18:37:00
9328539,Dec/31/2014 03:12,HumanSlaughter,254A - Cards with Numbers,GNU C++,Accepted,280 ms,7300 KB,2014-12-31 03:12:00
2902429,Jan/10/2013 17:26,alex20030190,254A - Cards with Numbers,GNU C++,Accepted,375 ms,2500 KB,2013-01-10 17:26:00
25494051,Mar/15/2017 12:22,harryshrm1,254A - Cards with Numbers,GNU C++14,Accepted,702 ms,14400 KB,2017-03-15 12:22:00
20475895,Sep/09/2016 13:03,nada.adel303,254A - Cards with Numbers,GNU C++11,Accepted,280 ms,2300 KB,2016-09-09 13:03:00
2737116,Dec/09/2012 14:37,rpk74m,254A - Cards with Numbers,GNU C++0x,Accepted,281 ms,6400 KB,2012-12-09 14:37:00
4323641,Aug/22/2013 15:02,proflaurian,254A - Cards with Numbers,GNU C++,Accepted,436 ms,2500 KB,2013-08-22 15:02:00
5914420,Feb/07/2014 08:54,mj12430101,254A - Cards with Numbers,GNU C++,Accepted,217 ms,2500 KB,2014-02-07 08:54:00
5912819,Feb/06/2014 23:55,t.janssen52,254A - Cards with Numbers,Python 2,Accepted,811 ms,44200 KB,2014-02-06 23:55:00
5404339,Dec/10/2013 19:34,aflexon,254A - Cards with Numbers,FPC,Accepted,109 ms,200 KB,2013-12-10 19:34:00
68702088,Jan/13/2020 12:48,vjudge1,254A - Cards with Numbers,MS C++,Accepted,202 ms,3700 KB,2020-01-13 12:48:00
7720532,Sep/08/2014 15:22,Anmol2307,254A - Cards with Numbers,GNU C++,Accepted,249 ms,9000 KB,2014-09-08 15:22:00
47177113,Dec/17/2018 21:09,Himanshu1446,254A - Cards with Numbers,GNU C++14,Accepted,312 ms,9000 KB,2018-12-17 21:09:00
54903368,Jun/01/2019 10:44,-renaissance-,254A - Cards with Numbers,GNU C++14,Accepted,982 ms,4700 KB,2019-06-01 10:44:00
29843746,Aug/28/2017 14:04,ola2100,254A - Cards with Numbers,GNU C++14,Accepted,686 ms,4700 KB,2017-08-28 14:04:00
2761185,Dec/13/2012 19:59,loshca,254A - Cards with Numbers,Delphi,Accepted,203 ms,100 KB,2012-12-13 19:59:00
26867525,May/04/2017 23:38,yurigurgenidze,254A - Cards with Numbers,GNU C++11,Accepted,264 ms,4900 KB,2017-05-04 23:38:00
2749915,Dec/11/2012 11:14,lftlft321#,254A - Cards with Numbers,GNU C++,Accepted,375 ms,2500 KB,2012-12-11 11:14:00
3176616,Feb/23/2013 19:16,bhuvi0728,254A - Cards with Numbers,GNU C++,Accepted,343 ms,2500 KB,2013-02-23 19:16:00
6795074,Jun/04/2014 12:44,dj_typhoon,254A - Cards with Numbers,MS C++,Accepted,249 ms,2500 KB,2014-06-04 12:44:00
