52604261,Apr/11/2019 16:15,Tosic,183A - Headquarters,GNU C++14,Accepted,92 ms,200 KB,2019-04-11 16:15:00
43518516,Sep/28/2018 09:46,pufanyi,183A - Headquarters,GNU C++11,Accepted,530 ms,300 KB,2018-09-28 09:46:00
56738588,Jul/09/2019 09:37,vjudge4,183A - Headquarters,GNU C++17,Accepted,404 ms,4700 KB,2019-07-09 09:37:00
1632292,Apr/27/2012 19:14,* Sereja,183A - Headquarters,FPC,Accepted,80 ms,1000 KB,2012-04-27 19:14:00
42003913,Aug/23/2018 20:04,codegeass0717#,183A - Headquarters,GNU C++14,Accepted,468 ms,0 KB,2018-08-23 20:04:00
56741065,Jul/09/2019 10:43,vjudge1,183A - Headquarters,GNU C++11,Accepted,436 ms,0 KB,2019-07-09 10:43:00
1647953,May/01/2012 17:34,cc272309126,183A - Headquarters,GNU C++,Accepted,330 ms,1400 KB,2012-05-01 17:34:00
56740928,Jul/09/2019 10:40,vjudge4,183A - Headquarters,GNU C++17,Accepted,404 ms,0 KB,2019-07-09 10:40:00
9399078,Jan/10/2015 20:56,pacu,183A - Headquarters,MS C++,Accepted,156 ms,0 KB,2015-01-10 20:56:00
1631590,Apr/27/2012 18:06,* dhh1995,183A - Headquarters,GNU C++,Accepted,80 ms,1400 KB,2012-04-27 18:06:00
41927397,Aug/21/2018 11:12,yp155136#,183A - Headquarters,GNU C++14,Accepted,436 ms,0 KB,2018-08-21 11:12:00
1633230,Apr/28/2012 10:54,Archon.JK,183A - Headquarters,GNU C++0x,Accepted,310 ms,1400 KB,2012-04-28 10:54:00
4169070,Jul/26/2013 14:23,KrK#,183A - Headquarters,GNU C++,Accepted,187 ms,100 KB,2013-07-26 14:23:00
40547826,Jul/19/2018 15:44,shkl,183A - Headquarters,GNU C++11,Accepted,530 ms,0 KB,2018-07-19 15:44:00
7052174,Jul/09/2014 13:39,vjudge3,183A - Headquarters,GNU C++,Accepted,248 ms,0 KB,2014-07-09 13:39:00
42025715,Aug/24/2018 15:20,qazwsxedcrfvtg14#,183A - Headquarters,GNU C++14,Accepted,92 ms,0 KB,2018-08-24 15:20:00
43518606,Sep/28/2018 09:50,sxd666,183A - Headquarters,GNU C++11,Accepted,590 ms,300 KB,2018-09-28 09:50:00
54448531,May/21/2019 15:29,AlphaWA,183A - Headquarters,GNU C++11,Accepted,498 ms,0 KB,2019-05-21 15:29:00
1633121,Apr/28/2012 09:16,Riatre,183A - Headquarters,GNU C++,Accepted,90 ms,1400 KB,2012-04-28 09:16:00
42026801,Aug/24/2018 15:59,enutroh#,183A - Headquarters,GNU C++11,Accepted,590 ms,0 KB,2018-08-24 15:59:00
1742782,May/30/2012 16:01,xyz111,183A - Headquarters,GNU C++,Accepted,190 ms,1400 KB,2012-05-30 16:01:00
7055607,Jul/10/2014 04:30,vjudge1,183A - Headquarters,GNU C++,Accepted,248 ms,0 KB,2014-07-10 04:30:00
41967971,Aug/22/2018 16:22,waynetuinfor#,183A - Headquarters,GNU C++14,Accepted,92 ms,0 KB,2018-08-22 16:22:00
7055638,Jul/10/2014 04:54,vjudge2,183A - Headquarters,GNU C++,Accepted,124 ms,0 KB,2014-07-10 04:54:00
