74730094,Mar/29/2020 15:34,shimolnaha108,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2020-03-29 15:34:00
57862215,Jul/27/2019 21:27,LintuStorm,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-07-27 21:27:00
30470720,Sep/18/2017 17:27,alizhou,17A - Noldbach problem,GNU C++,Accepted,30 ms,1900 KB,2017-09-18 17:27:00
38484816,May/21/2018 16:39,elmondrobin98,17A - Noldbach problem,GNU C++17,Accepted,60 ms,0 KB,2018-05-21 16:39:00
60216706,Sep/07/2019 15:06,alizhou,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-09-07 15:06:00
78410697,Apr/28/2020 20:37,Vedanshu,17A - Noldbach problem,PyPy 3,Accepted,280 ms,1300 KB,2020-04-28 20:37:00
26101996,Apr/03/2017 17:36,TANCHINGUYEN,17A - Noldbach problem,GNU C++14,Accepted,30 ms,1900 KB,2017-04-03 17:36:00
8170242,Oct/11/2014 05:42,woyeshizuile,17A - Noldbach problem,GNU C++,Accepted,62 ms,0 KB,2014-10-11 05:42:00
11635178,Jun/18/2015 18:52,ITDOI,17A - Noldbach problem,GNU C++11,Accepted,60 ms,0 KB,2015-06-18 18:52:00
20652048,Sep/16/2016 06:51,ankarthikeyan15,17A - Noldbach problem,GNU C++11,Accepted,30 ms,0 KB,2016-09-16 06:51:00
74315583,Mar/25/2020 19:47,Vasiliy_48,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2020-03-25 19:47:00
23620201,Jan/07/2017 11:50,vjudge2,17A - Noldbach problem,GNU C++,Accepted,30 ms,2000 KB,2017-01-07 11:50:00
29621545,Aug/20/2017 15:58,Qumeric,17A - Noldbach problem,Python 3,Accepted,154 ms,0 KB,2017-08-20 15:58:00
30583996,Sep/21/2017 18:20,shifanyiakioi,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2017-09-21 18:20:00
26362255,Apr/14/2017 19:29,Munkhdulguun1,17A - Noldbach problem,GNU C++14,Accepted,30 ms,1900 KB,2017-04-14 19:29:00
28389984,Jul/09/2017 18:25,I_Love_U_Sohan,17A - Noldbach problem,GNU C++,Accepted,60 ms,1900 KB,2017-07-09 18:25:00
8167639,Oct/10/2014 20:20,arnoldjulians,17A - Noldbach problem,Go,Accepted,92 ms,0 KB,2014-10-10 20:20:00
8312994,Oct/19/2014 14:19,teamsande,17A - Noldbach problem,Go,Accepted,92 ms,0 KB,2014-10-19 14:19:00
57013156,Jul/14/2019 13:18,vjudge3,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-07-14 13:18:00
78687,Jun/12/2010 14:20,cielavenir,17A - Noldbach problem,GNU C,Accepted,30 ms,1300 KB,2010-06-12 14:20:00
6057118,Mar/17/2014 22:15,saichandu6,17A - Noldbach problem,GNU C,Accepted,60 ms,0 KB,2014-03-17 22:15:00
35448119,Feb/18/2018 17:12,annonymuss,17A - Noldbach problem,GNU C++14,Accepted,30 ms,1800 KB,2018-02-18 17:12:00
78686,Jun/12/2010 14:19,cielavenir,17A - Noldbach problem,GNU C,Accepted,30 ms,1300 KB,2010-06-12 14:19:00
68230361,Jan/05/2020 11:56,Nifty1303,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2020-01-05 11:56:00
10238320,Mar/11/2015 17:43,mihir,17A - Noldbach problem,GNU C++0x,Accepted,62 ms,0 KB,2015-03-11 17:43:00
29822532,Aug/27/2017 12:03,atriwal,17A - Noldbach problem,GNU C++14,Accepted,30 ms,0 KB,2017-08-27 12:03:00
78591,Jun/11/2010 20:41,klepikov.ilya,17A - Noldbach problem,Python 2,Accepted,60 ms,2700 KB,2010-06-11 20:41:00
78592,Jun/11/2010 20:41,klepikov.ilya,17A - Noldbach problem,Python 2,Accepted,60 ms,2700 KB,2010-06-11 20:41:00
1847664,Jul/01/2012 17:48,hijack,17A - Noldbach problem,Python 2,Accepted,90 ms,2900 KB,2012-07-01 17:48:00
568867,Jul/29/2011 03:57,SkorKNURE,17A - Noldbach problem,Python 2,Accepted,60 ms,2800 KB,2011-07-29 03:57:00
33228869,Dec/14/2017 06:31,Selvyfitriani31,17A - Noldbach problem,Python 3,Accepted,124 ms,5500 KB,2017-12-14 06:31:00
8517888,Nov/01/2014 23:47,abdo.gamal.coder,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-11-01 23:47:00
71443733,Feb/19/2020 17:33,luogu_bot3,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2020-02-19 17:33:00
78449890,Apr/29/2020 10:21,ovadenco.i,17A - Noldbach problem,GNU C++11,Accepted,62 ms,100 KB,2020-04-29 10:21:00
23666143,Jan/09/2017 18:43,Shinigami007,17A - Noldbach problem,GNU C++14,Accepted,30 ms,1900 KB,2017-01-09 18:43:00
19973193,Aug/20/2016 04:08,dxm439,17A - Noldbach problem,GNU C++,Accepted,30 ms,1800 KB,2016-08-20 04:08:00
241630,Jan/07/2011 23:16,Aleksey,17A - Noldbach problem,Python 2,Accepted,60 ms,2700 KB,2011-01-07 23:16:00
27114245,May/15/2017 04:27,cristiansantos25,17A - Noldbach problem,GNU C++11,Accepted,30 ms,0 KB,2017-05-15 04:27:00
2962208,Jan/20/2013 11:50,chernoff,17A - Noldbach problem,Haskell,Accepted,15 ms,0 KB,2013-01-20 11:50:00
13519898,Oct/10/2015 03:28,sugar,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2015-10-10 03:28:00
543908,Jul/13/2011 08:58,kevin4314,17A - Noldbach problem,Python 2,Accepted,50 ms,2800 KB,2011-07-13 08:58:00
29553123,Aug/18/2017 15:28,Mad_Andrei1,17A - Noldbach problem,Python 3,Accepted,124 ms,0 KB,2017-08-18 15:28:00
56234009,Jun/28/2019 18:23,Saidov_Abdullo,17A - Noldbach problem,GNU C++14,Accepted,62 ms,0 KB,2019-06-28 18:23:00
78685,Jun/12/2010 14:18,cielavenir,17A - Noldbach problem,GNU C,Accepted,30 ms,1300 KB,2010-06-12 14:18:00
46267234,Nov/27/2018 07:32,A-Safarkhon,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2018-11-27 07:32:00
476378,Jun/06/2011 07:30,daftcoder,17A - Noldbach problem,GNU C++,Accepted,30 ms,1400 KB,2011-06-06 07:30:00
1507131,Apr/09/2012 18:23,135678942570,17A - Noldbach problem,GNU C++,Accepted,30 ms,1400 KB,2012-04-09 18:23:00
6765405,Jun/01/2014 15:58,marty.stranger,17A - Noldbach problem,Haskell,Accepted,62 ms,0 KB,2014-06-01 15:58:00
6765443,Jun/01/2014 16:07,marty.stranger,17A - Noldbach problem,Haskell,Accepted,30 ms,0 KB,2014-06-01 16:07:00
703328,Sep/16/2011 01:49,alculquicondor,17A - Noldbach problem,Python 2,Accepted,60 ms,2800 KB,2011-09-16 01:49:00
12885574,Sep/07/2015 17:19,kwakwa,17A - Noldbach problem,GNU C,Accepted,30 ms,0 KB,2015-09-07 17:19:00
76925105,Apr/16/2020 07:00,sjbr,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2020-04-16 07:00:00
62321183,Oct/10/2019 19:48,_viru_,17A - Noldbach problem,PyPy 3,Accepted,312 ms,1300 KB,2019-10-10 19:48:00
18038826,May/23/2016 07:04,hznu1,17A - Noldbach problem,GNU C++,Accepted,30 ms,2200 KB,2016-05-23 07:04:00
46995295,Dec/14/2018 10:59,luogu_bot2,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2018-12-14 10:59:00
6314335,Apr/10/2014 23:33,t.janssen52,17A - Noldbach problem,Python 2,Accepted,124 ms,0 KB,2014-04-10 23:33:00
576201,Aug/02/2011 18:23,tmt514,17A - Noldbach problem,GNU C++,Accepted,30 ms,1300 KB,2011-08-02 18:23:00
6269126,Apr/06/2014 11:43,AcOnFingers,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2014-04-06 11:43:00
9365305,Jan/05/2015 14:10,Ayazbayev_D,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2015-01-05 14:10:00
75156,Jun/10/2010 19:10,die.saito,17A - Noldbach problem,Haskell,Accepted,50 ms,2000 KB,2010-06-10 19:10:00
2962206,Jan/20/2013 11:48,chernoff,17A - Noldbach problem,Haskell,Accepted,15 ms,0 KB,2013-01-20 11:48:00
261662,Jan/25/2011 16:46,ftiasch,17A - Noldbach problem,Python 2,Accepted,60 ms,2700 KB,2011-01-25 16:46:00
5501719,Dec/24/2013 15:14,mashashma,17A - Noldbach problem,Python 2,Accepted,92 ms,0 KB,2013-12-24 15:14:00
48883466,Jan/24/2019 14:22,wangyiming8050,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-01-24 14:22:00
38442742,May/20/2018 00:15,Xeronn,17A - Noldbach problem,Python 2,Accepted,218 ms,100 KB,2018-05-20 00:15:00
45507177,Nov/10/2018 14:13,Rustt,17A - Noldbach problem,Python 3,Accepted,218 ms,0 KB,2018-11-10 14:13:00
48782777,Jan/23/2019 10:30,djp_sdly,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2019-01-23 10:30:00
1847663,Jul/01/2012 17:46,hijack,17A - Noldbach problem,Python 2,Accepted,110 ms,2900 KB,2012-07-01 17:46:00
67294507,Dec/20/2019 19:32,vjudge3,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2019-12-20 19:32:00
985504,Dec/25/2011 17:14,Damir,17A - Noldbach problem,GNU C++,Accepted,30 ms,1400 KB,2011-12-25 17:14:00
10538380,Apr/01/2015 07:24,st-Firdavs,17A - Noldbach problem,GNU C++,Accepted,62 ms,100 KB,2015-04-01 07:24:00
14566671,Nov/30/2015 10:30,Nymphet,17A - Noldbach problem,Python 3,Accepted,154 ms,0 KB,2015-11-30 10:30:00
2926406,Jan/15/2013 12:37,Alkochza,17A - Noldbach problem,GNU C++,Accepted,15 ms,0 KB,2013-01-15 12:37:00
13798110,Oct/22/2015 21:40,tis_1405050,17A - Noldbach problem,GNU C++,Accepted,62 ms,0 KB,2015-10-22 21:40:00
30656327,Sep/24/2017 07:00,XianHZ,17A - Noldbach problem,GNU C++,Accepted,30 ms,0 KB,2017-09-24 07:00:00
47289138,Dec/20/2018 11:06,Sab1tov,17A - Noldbach problem,GNU C++14,Accepted,62 ms,0 KB,2018-12-20 11:06:00
836079,Nov/05/2011 13:33,EarlOfDitches,17A - Noldbach problem,GNU C++,Accepted,30 ms,1400 KB,2011-11-05 13:33:00
3038323,Jan/30/2013 23:15,hariprasath,17A - Noldbach problem,GNU C,Accepted,15 ms,0 KB,2013-01-30 23:15:00
5994327,Mar/11/2014 13:06,surendrasingh9426,17A - Noldbach problem,GNU C++,Accepted,62 ms,0 KB,2014-03-11 13:06:00
69654825,Jan/28/2020 09:58,wan-_-s,17A - Noldbach problem,GNU C++17,Accepted,62 ms,0 KB,2020-01-28 09:58:00
4610024,Sep/30/2013 09:45,classius,17A - Noldbach problem,GNU C++0x,Accepted,30 ms,0 KB,2013-09-30 09:45:00
74919,Jun/10/2010 19:05,Ra16bit,17A - Noldbach problem,GNU C++,Accepted,30 ms,1300 KB,2010-06-10 19:05:00
564103,Jul/24/2011 22:02,sqybi,17A - Noldbach problem,Python 2,Accepted,60 ms,2900 KB,2011-07-24 22:02:00
31214785,Oct/11/2017 14:36,kenan01,17A - Noldbach problem,GNU C++11,Accepted,30 ms,100 KB,2017-10-11 14:36:00
52937051,Apr/18/2019 10:05,daotiennamhlvl,17A - Noldbach problem,Python 3,Accepted,248 ms,0 KB,2019-04-18 10:05:00
2210475,Sep/18/2012 23:54,arefeen89,17A - Noldbach problem,GNU C++,Accepted,30 ms,1500 KB,2012-09-18 23:54:00
12837373,Sep/04/2015 09:34,I_Love_Zzq,17A - Noldbach problem,GNU C++,Accepted,30 ms,100 KB,2015-09-04 09:34:00
74274674,Mar/25/2020 12:41,_HARINI,17A - Noldbach problem,GNU C++11,Accepted,62 ms,0 KB,2020-03-25 12:41:00
76496736,Apr/13/2020 16:58,NoHumanity,17A - Noldbach problem,GNU C11,Accepted,60 ms,0 KB,2020-04-13 16:58:00
