41537747,Aug/12/2018 22:09,guaNa,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2018-08-12 22:09:00
41983140,Aug/23/2018 06:39,Mk_Python_v1,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2018-08-23 06:39:00
42094111,Aug/25/2018 18:00,tortoise1,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-08-25 18:00:00
43979023,Oct/08/2018 03:35,Cathos,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-10-08 03:35:00
44918296,Oct/26/2018 19:34,Mission2020,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-10-26 19:34:00
45375611,Nov/06/2018 15:12,overpython,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-11-06 15:12:00
45879910,Nov/17/2018 16:30,Akr5515,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-11-17 16:30:00
46551006,Dec/03/2018 20:51,khalil.247,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-12-03 20:51:00
46786982,Dec/09/2018 10:04,utkarshkumar1102,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-12-09 10:04:00
46994520,Dec/14/2018 10:30,18k4,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2018-12-14 10:30:00
49319207,Feb/01/2019 14:33,sravani_2508,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-02-01 14:33:00
49400105,Feb/03/2019 17:22,soumyathoutam,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-02-03 17:22:00
49449398,Feb/04/2019 09:05,manishkonduri8,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2019-02-04 09:05:00
49816387,Feb/12/2019 09:10,s_16b01a0525,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-02-12 09:10:00
